Quarter,Time,Tm,Detail,PIT,CIN
2.0,2:27,Steelers,Chris Boswell 39 yard field goal,3,0
,0:37,Steelers,Chris Boswell 30 yard field goal,6,0
3.0,10:09,Steelers,Chris Boswell 34 yard field goal,9,0
,5:02,Steelers,Martavis Bryant 10 yard pass from Ben Roethlisberger (pass failed),15,0
4.0,13:57,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),15,7
,5:12,Bengals,Mike Nugent 36 yard field goal,15,10
,1:50,Bengals,A.J. Green 25 yard pass from A.J. McCarron (run failed),15,16
,0:14,Steelers,Chris Boswell 35 yard field goal,18,16
