Quarter,Time,Tm,Detail,CLE,TEN
1,10:55,Browns,Andre' Davis 14 yard pass from Tim Couch (Phil Dawson kick),7,0
,1:40,Titans,Eddie George 2 yard rush (Joe Nedney kick),7,7
2,8:55,Titans,John Simon 12 yard pass from Steve McNair (Joe Nedney kick),7,14
,2:56,Titans,Andre Dyson 16 yard interception return (Joe Nedney kick),7,21
3,1:25,Browns,Dennis Northcutt 74 yard punt return (Phil Dawson kick),14,21
4,5:06,Titans,Kevin Dyson 7 yard pass from Steve McNair (Joe Nedney kick),14,28
,2:35,Browns,Andre' Davis 12 yard pass from Tim Couch (Phil Dawson kick),21,28
,0:12,Browns,Dennis Northcutt 8 yard pass from Tim Couch (Phil Dawson kick),28,28
OT,10:47,Browns,Phil Dawson 33 yard field goal,31,28
