Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Joe Nedney kicks off 72 yards, returned by Andra Davis for 25 yards (tackle by Rich Coady). Andra Davis fumbles, recovered by Andra Davis at CLE-22",0.000,0.410
1,15:00,1,10,CLE 22,0,0,Tim Couch pass complete to Andra Davis for 30 yards (tackle by Donald Mitchell),0.410,2.390
1,15:00,1,10,TEN 48,0,0,Tim Couch for 4 yards (tackle by Carlos Hall),2.390,2.390
1,13:45,2,6,TEN 44,0,0,"Tim Couch sacked by Henry Ford for -2 yards. Penalty on Barry Stokes: Offensive Holding, 10 yards (no play)",2.390,1.040
1,13:19,2,16,CLE 46,0,0,Tim Couch pass complete to Jamel White for 9 yards (tackle by Kevin Carter),1.040,1.550
1,12:45,3,7,TEN 45,0,0,"Tim Couch pass incomplete intended for Andra Davis. Penalty on Samari Rolle: Defensive Pass Interference, 11 yards (no play)",1.550,3.310
1,12:40,1,10,TEN 34,0,0,Tim Couch pass complete to Quincy Morgan for 3 yards (tackle by Samari Rolle),3.310,3.180
1,12:30,2,7,TEN 31,0,0,"Penalty on Robaire Smith: Defensive Offside, 5 yards (no play)",3.180,3.850
1,12:22,2,2,TEN 26,0,0,William Green left guard for 1 yard (tackle by Albert Haynesworth),3.850,3.270
1,11:41,3,1,TEN 25,0,0,Tim Couch pass complete to Steve Heiden for 11 yards (tackle by Lance Schulters),3.270,4.650
1,11:00,1,10,TEN 14,6,0,"Tim Couch pass complete to Andra Davis for 14 yards, touchdown",4.650,7.000
1,11:00,,,TEN 14,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,11:00,,,CLE 30,7,0,"Phil Dawson kicks off 60 yards, returned by John Simon for 16 yards (tackle by Brant Boyer)",0.000,0.670
1,10:50,1,10,TEN 26,7,0,Eddie George right guard for 2 yards (tackle by Earl Holmes),0.670,0.400
1,10:14,2,8,TEN 28,7,0,Eddie George middle for 1 yard (tackle by Gerard Warren),0.400,-0.160
1,9:32,3,7,TEN 29,7,0,Steve McNair pass complete to Frank Wycheck for 6 yards (tackle by Gerard Warren and Kevin Bentley),-0.160,-1.040
1,8:45,4,1,TEN 35,7,0,"Craig Hentrich punts 49 yards, returned by Dennis Northcutt for 5 yards (tackle by Justin McCareins)",-1.040,-0.340
1,8:35,1,10,CLE 21,7,0,Tim Couch sacked by John Thornton for -8 yards,0.340,-1.350
1,8:06,2,18,CLE 13,7,0,William Green left guard for 4 yards (tackle by Keith Bulluck and John Thornton),-1.350,-1.590
1,7:22,3,14,CLE 17,7,0,Tim Couch pass incomplete intended for Jamel White (defended by Carlos Hall),-1.590,-2.320
1,7:22,4,14,CLE 17,7,0,"Chris Gardocki punts 47 yards, returned by John Simon for 30 yards (tackle by Chris Gardocki)",-2.320,-3.310
1,7:03,1,10,CLE 34,7,0,Steve McNair pass incomplete intended for Eddie George,3.310,2.770
1,6:59,2,10,CLE 34,7,0,Eddie George left guard for 8 yards (tackle by Robert Griffith),2.770,3.140
1,6:59,3,2,CLE 26,7,0,Eddie George middle for 1 yard (tackle by Orpheus Roye),3.140,1.950
1,6:59,4,1,CLE 25,7,0,Steve McNair middle for 2 yards (tackle by Kenard Lang),1.950,4.040
,,,,,,,"CLE challenged the ruling, and the original play was overturned.",,
1,5:02,1,10,CLE 23,7,0,Eddie George for 4 yards (tackle by Daylon McCutcheon),4.040,4.050
1,4:40,2,6,CLE 19,7,0,Eddie George middle for 1 yard (tackle by Courtney Brown and Robert Griffith),4.050,3.490
1,4:03,3,5,CLE 18,7,0,Steve McNair pass complete to Eddie George for 8 yards (tackle by Kevin Bentley and Robert Griffith),3.490,4.910
1,3:30,1,10,CLE 10,7,0,Mike Green left guard for 2 yards (tackle by Daylon McCutcheon),4.910,4.570
1,2:31,2,8,CLE 8,7,0,Steve McNair pass incomplete intended for Eddie George (defended by Gerard Warren),4.570,3.580
1,2:28,3,8,CLE 8,7,0,"Steve McNair pass incomplete intended for Kevin Dyson (defended by Kevin Bentley). Penalty on Kevin Bentley: Defensive Pass Interference, 6 yards (no play)",3.580,6.740
1,2:25,1,2,CLE 2,7,0,Greg Comella left tackle for no gain (tackle by Courtney Brown),6.740,5.720
1,1:44,2,2,CLE 2,7,6,"Eddie George right tackle for 2 yards, touchdown",5.720,7.000
1,1:44,,,CLE 2,7,7,Joe Nedney kicks extra point good,0.000,0.000
1,1:44,,,TEN 30,7,7,"Joe Nedney kicks off 69 yards, returned by Andra Davis for 21 yards (tackle by Eddie Berlin)",0.000,0.410
1,1:40,1,10,CLE 22,7,7,William Green left end for 1 yard (tackle by Keith Bulluck),0.410,0.000
1,0:55,2,9,CLE 23,7,7,Tim Couch pass complete to Aaron Shea for 8 yards (tackle by Andre Dyson),0.000,0.370
1,0:27,3,1,CLE 31,7,7,William Green middle for no gain (tackle by Peter Sirmon),0.370,-1.310
Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,CLE 31,7,7,"Chris Gardocki punts 42 yards, out of bounds",-1.310,-0.740
2,14:52,1,10,TEN 27,7,7,Steve McNair pass complete to Eddie George for 4 yards (tackle by Darren Hambrick),0.740,0.740
2,14:15,2,6,TEN 31,7,7,Steve McNair pass complete to Eddie George for 3 yards (tackle by Dwayne Rudd),0.740,0.430
2,13:29,3,3,TEN 34,7,7,Steve McNair pass complete to Frank Wycheck for no gain. Penalty on Frank Wycheck: Offensive Holding (Declined),0.430,-1.110
2,13:05,4,3,TEN 34,7,7,"Craig Hentrich punts 54 yards, returned by Dennis Northcutt for 26 yards",-1.110,-1.470
2,12:50,1,10,CLE 38,7,7,"Tim Couch pass complete to William Green for 5 yards (tackle by Andre Dyson and Robaire Smith). William Green fumbles (forced by Andre Dyson), recovered by Donald Mitchell at CLE-43",1.470,-2.720
2,12:37,1,10,CLE 43,7,7,Eddie George middle for 4 yards (tackle by Robert Griffith),2.720,2.720
2,12:01,2,6,CLE 39,7,7,Eddie George middle for 7 yards (tackle by Robert Griffith),2.720,3.450
2,11:28,1,10,CLE 32,7,7,Eddie George right guard for 2 yards (tackle by Earl Holmes),3.450,3.170
2,10:52,2,8,CLE 30,7,7,Steve McNair pass complete to Eddie George for 6 yards (tackle by Darren Hambrick),3.170,3.270
2,10:06,3,2,CLE 24,7,7,"John Simon left end for 1 yard (tackle by Courtney Brown). Penalty on Orpheus Roye: Personal Foul, 12 yards",3.270,4.840
2,9:39,1,10,CLE 11,7,7,Eddie George middle for -1 yards (tackle by Earl Holmes),4.840,3.980
2,8:59,2,11,CLE 12,7,13,"Steve McNair pass complete to John Simon for 12 yards, touchdown",3.980,7.000
2,8:59,,,CLE 12,7,14,"Joe Nedney kicks extra point good. Penalty on Ben Taylor: Defensive Holding, 5 yards",0.000,0.000
2,8:59,,,TEN 35,7,14,"Joe Nedney kicks off 66 yards, returned by Andra Davis for 19 yards (tackle by John Simon). Penalty on Andra Davis: Offensive Holding, 9 yards",0.000,-0.380
2,8:55,1,10,CLE 9,7,14,William Green middle for 6 yards (tackle by Peter Sirmon),-0.380,-0.280
2,8:14,2,4,CLE 15,7,14,Tim Couch pass complete to Kevin Johnson for 6 yards (tackle by Peter Sirmon and Andre Dyson),-0.280,0.340
2,8:14,1,10,CLE 21,7,14,"Penalty on Albert Haynesworth: Encroachment, 5 yards (no play)",0.340,1.070
2,7:22,1,5,CLE 26,7,14,"Tim Couch pass incomplete intended for Kevin Johnson (defended by Tank Williams). Penalty on Lance Schulters: Defensive Pass Interference, 19 yards (no play)",1.070,1.930
2,7:15,1,10,CLE 45,7,14,Jamel White left tackle for 6 yards (tackle by Robaire Smith and Samari Rolle),1.930,2.190
2,6:37,2,4,TEN 49,7,14,"Tim Couch middle for 10 yards (tackle by Henry Ford and Frank Chamberlin). Penalty on Samari Rolle: Illegal Contact, 5 yards",2.190,3.310
2,6:05,1,10,TEN 34,7,14,Jamel White left tackle for no gain (tackle by Kevin Carter),3.310,2.770
2,5:25,2,10,TEN 34,7,14,Jamel White middle for -1 yards (tackle by Kevin Aldridge),2.770,1.950
2,4:45,3,11,TEN 35,7,14,Tim Couch pass incomplete intended for Kevin Johnson,1.950,0.970
2,4:45,4,11,TEN 35,7,14,Phil Dawson 52 yard field goal no good,0.970,-1.800
2,4:36,1,10,TEN 43,7,14,Steve McNair for 4 yards,1.800,1.790
2,4:04,2,6,TEN 47,7,14,Eddie George middle for 2 yards (tackle by Earl Holmes),1.790,1.350
2,3:22,3,4,TEN 49,7,14,Steve McNair pass incomplete intended for Derrick Mason,1.350,-0.130
2,3:18,4,4,TEN 49,7,14,"Craig Hentrich punts 40 yards, fair catch by Dennis Northcutt. Penalty on Kalvin Pearson: Illegal Block Above the Waist, 5 yards",-0.130,0.380
2,3:10,1,10,CLE 6,7,14,Tim Couch pass incomplete intended for Kevin Johnson,-0.380,-0.780
2,3:06,2,10,CLE 6,7,14,Tim Couch pass incomplete intended for Andra Davis (defended by Albert Haynesworth),-0.780,-1.420
2,3:06,3,10,CLE 6,7,14,"Penalty on Kevin Carter: Defensive Offside, 5 yards (no play)",-1.420,-0.840
2,3:03,3,5,CLE 11,7,20,"Tim Couch pass incomplete intended for Kevin Johnson is intercepted by Andre Dyson at CLE-16 and returned for 16 yards, touchdown",-0.840,-7.000
2,2:56,,,CLE 11,7,21,Joe Nedney kicks extra point good,0.000,0.000
2,2:56,,,TEN 30,7,21,"Joe Nedney kicks off 65 yards, returned by Andra Davis for 17 yards (tackle by John Simon)",0.000,0.410
2,2:56,1,10,CLE 22,7,21,Tim Couch pass complete to Kevin Johnson for 3 yards (tackle by Donald Mitchell),0.410,0.270
2,2:29,2,7,CLE 25,7,21,Tim Couch pass complete to Kevin Johnson for 9 yards (tackle by Donald Mitchell),0.270,1.200
2,2:12,1,10,CLE 34,7,21,Tim Couch pass complete to Mark Campbell for 5 yards (tackle by Keith Bulluck),1.200,1.330
2,2:00,2,5,CLE 39,7,21,Tim Couch pass incomplete intended for Quincy Morgan,1.330,0.630
2,1:55,3,5,CLE 39,7,21,Tim Couch pass complete to Kevin Johnson for 5 yards (tackle by Keith Bulluck),0.630,1.860
2,1:29,1,10,CLE 44,7,21,Tim Couch pass incomplete intended for Andra Davis (defended by Andre Dyson),1.860,1.320
2,1:22,1,10,CLE 44,,,Timeout #1 by Tennessee Titans,1.860,1.320
2,1:22,2,10,CLE 44,7,21,Tim Couch pass complete to Jamel White for 7 yards (tackle by Donald Mitchell),1.320,1.550
2,1:01,3,3,TEN 49,7,21,Tim Couch pass complete to Quincy Morgan for 1 yard (tackle by Samari Rolle),1.550,0.070
2,0:47,3,3,TEN 49,,,Timeout #2 by Tennessee Titans,1.550,0.070
2,0:47,4,2,TEN 48,7,21,Chris Gardocki punts 43 yards,0.070,0.380
2,0:34,1,10,TEN 6,7,21,Mike Green middle for -1 yards (tackle by Orpheus Roye),-0.380,-0.850
Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,7,21,"Phil Dawson kicks off 70 yards, returned by Eddie Berlin for 23 yards (tackle by Chris Akins). Penalty on Peter Sirmon: Offensive Holding",0.000,0.480
3,15:00,1,10,TEN 23,7,21,Eddie George left guard for 1 yard (tackle by Orpheus Roye and Gerard Warren),0.480,0.070
3,14:06,2,9,TEN 24,7,21,Eddie George right tackle for 8 yards (tackle by Robert Griffith),0.070,0.430
3,13:51,3,1,TEN 32,7,21,Eddie George middle for no gain (tackle by Earl Holmes),0.430,-1.240
3,12:58,4,1,TEN 32,7,21,"Craig Hentrich punts 52 yards, out of bounds",-1.240,0.140
3,12:51,1,10,CLE 16,7,21,Tim Couch pass complete to Kevin Johnson for 28 yards (tackle by Lance Schulters),-0.140,1.860
3,12:07,1,10,CLE 44,7,21,"Tim Couch pass incomplete intended for Mark Campbell. Penalty on Keith Bulluck: Defensive Pass Interference, 7 yards (no play)",1.860,2.320
3,12:07,1,10,TEN 49,7,21,"William Green left guard for -2 yards (tackle by Keith Bulluck). William Green fumbles (forced by Keith Bulluck), recovered by Lance Schulters at CLE-49",2.320,-2.320
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
3,11:59,1,10,CLE 49,7,21,Steve McNair pass complete to Greg Comella for 7 yards (tackle by Dwayne Rudd),2.320,2.730
3,11:17,2,3,CLE 42,7,21,Steve McNair pass incomplete intended for Derrick Mason,2.730,2.020
3,11:12,3,3,CLE 42,7,21,Eddie George middle for 4 yards (tackle by Robert Griffith),2.020,3.050
3,10:29,1,10,CLE 38,7,21,"Steve McNair for no gain. Steve McNair fumbles, recovered by Steve McNair at CLE-40",3.050,2.240
3,9:54,2,12,CLE 40,7,21,Steve McNair pass incomplete intended for Derrick Mason (defended by Anthony Henry),2.240,1.550
3,9:46,3,12,CLE 40,7,21,Steve McNair pass incomplete intended for Kevin Dyson,1.550,0.590
3,9:38,4,12,CLE 40,7,21,"Craig Hentrich punts 31 yards, fair catch by Dennis Northcutt",0.590,0.380
3,9:31,1,10,CLE 9,7,21,William Green middle for 2 yards (tackle by Keith Bulluck),-0.380,-0.630
3,8:49,2,8,CLE 11,7,21,Tim Couch left tackle for 9 yards (tackle by Lance Schulters),-0.630,0.280
3,8:04,1,10,CLE 20,7,21,Tim Couch pass complete to Quincy Morgan for 9 yards,0.280,0.950
3,7:41,2,1,CLE 29,7,21,William Green left tackle for 14 yards (tackle by Tank Williams and Frank Chamberlin). Penalty on Kevin Aldridge: Defensive Offside (Declined),0.950,1.800
3,7:10,1,10,CLE 43,7,21,Tim Couch pass complete to Jamel White for 3 yards (tackle by Keith Bulluck),1.800,1.660
3,6:31,2,7,CLE 46,7,21,Tim Couch pass complete to Dennis Northcutt for 5 yards (tackle by Lance Schulters and Mike Echols),1.660,1.620
3,5:46,2,7,CLE 46,,,Timeout #2 by Cleveland Browns,1.660,1.620
3,5:46,3,2,TEN 49,7,21,Tim Couch pass incomplete intended for Jamel White,1.620,0.000
3,5:41,4,2,TEN 49,7,21,"Chris Gardocki punts 49 yards, touchback",0.000,-0.280
3,5:31,1,10,TEN 20,7,21,Eddie George middle for 2 yards (tackle by Kenard Lang),0.280,0.000
3,4:46,2,8,TEN 22,7,21,Steve McNair pass complete to Derrick Mason for 10 yards (tackle by Anthony Henry),0.000,1.070
3,4:03,1,10,TEN 32,7,21,"Eddie George middle for 4 yards (tackle by Kenard Lang). Penalty on Gennaro DiNapoli: Offensive Holding, 10 yards (no play)",1.070,0.410
3,3:45,1,20,TEN 22,7,21,Mike Green middle for 7 yards (tackle by Kevin Bentley and Andra Davis),0.410,0.120
3,3:05,2,13,TEN 29,7,21,Steve McNair pass complete to John Simon for 3 yards (tackle by Daylon McCutcheon),0.120,-0.160
3,2:08,3,10,TEN 32,7,21,Steve McNair pass complete to Derrick Mason for 5 yards (tackle by Daylon McCutcheon),-0.160,-0.910
3,1:41,4,5,TEN 37,13,21,"Craig Hentrich punts 37 yards, returned by Dennis Northcutt for 74 yards, touchdown",-0.910,-7.000
3,1:25,,,TEN 37,14,21,Phil Dawson kicks extra point good,0.000,0.000
3,1:25,,,CLE 30,14,21,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,1:25,1,10,TEN 20,14,21,Steve McNair pass incomplete intended for Derrick Mason (defended by Robert Griffith),0.280,-0.270
3,1:19,2,10,TEN 20,14,21,Eddie George middle for 1 yard (tackle by Dwayne Rudd),-0.270,-0.820
3,0:40,3,9,TEN 21,14,21,Steve McNair pass incomplete intended for Justin McCareins,-0.820,-1.960
3,0:33,4,9,TEN 21,14,21,"Craig Hentrich punts 36 yards. Penalty on Chris Akins: Illegal Block Above the Waist, 10 yards",-1.960,-1.140
3,0:25,1,10,CLE 33,14,21,Tim Couch pass complete to Jamel White for 3 yards (tackle by Lance Schulters and Mike Echols),1.140,1.000
Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,CLE 36,14,21,Tim Couch pass complete to Dennis Northcutt for 11 yards (tackle by Tank Williams),1.000,2.060
4,14:19,1,10,CLE 47,14,21,Tim Couch pass incomplete intended for Jamel White,2.060,1.520
4,14:15,2,10,CLE 47,14,21,"Tim Couch sacked by Kevin Carter and Carlos Hall for 0 yards. Penalty on Henry Ford: Defensive Offside, 5 yards (no play)",1.520,2.190
4,13:54,2,5,TEN 48,14,21,Jamel White right tackle for 4 yards (tackle by Keith Bulluck),2.190,2.020
4,13:07,2,5,TEN 48,,,Timeout #3 by Cleveland Browns,2.190,2.020
4,13:07,3,1,TEN 44,14,21,Tim Couch pass incomplete intended for Quincy Morgan (defended by Samari Rolle),2.020,0.330
4,13:02,4,1,TEN 44,14,21,"Chris Gardocki punts 27 yards, fair catch by John Simon",0.330,0.060
4,12:55,1,10,TEN 17,14,21,Eddie George right end for no gain (tackle by Daylon McCutcheon),-0.060,-0.580
4,12:14,2,10,TEN 17,14,21,Steve McNair pass complete to Derrick Mason for 16 yards (tackle by Corey Fuller),-0.580,1.140
4,11:36,1,10,TEN 33,14,21,Eddie George right tackle for -2 yards (tackle by Kenard Lang),1.140,0.320
4,10:55,2,12,TEN 31,14,21,Steve McNair pass complete to Eddie George for 14 yards (tackle by Dwayne Rudd and Robert Griffith),0.320,1.930
4,10:24,1,10,TEN 45,14,21,Steve McNair pass complete to Greg Comella for 6 yards (tackle by Earl Holmes and Dwayne Rudd),1.930,2.190
4,9:43,2,4,CLE 49,14,21,Eddie George left end for 5 yards (tackle by Dwayne Rudd),2.190,2.650
4,9:00,1,10,CLE 44,14,21,Steve McNair sacked by Kenard Lang for -6 yards,2.650,1.300
4,8:27,2,16,,14,21,Mike Green left tackle for 1 yard (tackle by Orpheus Roye),1.300,0.760
4,7:41,3,15,CLE 49,14,21,Steve McNair left end for 12 yards (tackle by Daylon McCutcheon),0.760,0.790
4,6:53,4,3,CLE 37,14,21,"Craig Hentrich punts 28 yards, muffed catch by Dennis Northcutt, recovered by Mike Green and returned for no gain",0.790,5.140
4,6:44,1,9,CLE 9,14,21,Eddie George middle for 1 yard (tackle by Earl Holmes),5.140,4.570
4,5:58,2,8,CLE 8,14,21,Eddie George left end for 6 yards (tackle by Earl Holmes),4.570,4.950
4,5:11,2,8,CLE 8,,,Timeout #1 by Tennessee Titans,4.570,4.950
4,5:11,3,2,CLE 2,14,21,"Penalty on Frank Wycheck: False Start, 5 yards (no play)",4.950,3.810
4,5:11,3,7,CLE 7,14,27,"Steve McNair pass complete to Kevin Dyson for 7 yards, touchdown",3.810,7.000
4,5:11,,,CLE 7,14,28,Joe Nedney kicks extra point good,0.000,0.000
4,5:11,,,TEN 30,14,28,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
4,5:06,1,10,CLE 20,14,28,Tim Couch pass incomplete intended for Jamel White (defended by John Thornton),0.280,-0.270
4,5:02,2,10,CLE 20,14,28,Tim Couch pass complete to Jamel White for 3 yards (tackle by Kevin Carter),-0.270,-0.560
4,4:39,3,7,CLE 23,14,28,Tim Couch pass complete to Kevin Johnson for 21 yards,-0.560,1.860
4,4:33,1,10,CLE 44,14,28,Tim Couch pass complete to Jamel White for 7 yards (tackle by Kevin Aldridge),1.860,2.260
4,4:07,2,3,TEN 49,14,28,Tim Couch pass complete to Kevin Johnson for 8 yards (tackle by Lance Schulters),2.260,2.850
4,3:48,1,10,TEN 41,14,28,Tim Couch pass incomplete intended for Quincy Morgan (defended by Rich Coady),2.850,2.310
4,3:42,2,10,TEN 41,14,28,Tim Couch pass complete to Jamel White for 1 yard (tackle by Lance Schulters),2.310,1.750
4,3:08,3,9,TEN 40,14,28,Tim Couch pass complete to Quincy Morgan for 17 yards (tackle by Mike Echols),1.750,4.040
4,2:58,1,10,TEN 23,14,28,Tim Couch pass complete to Jamel White for 6 yards (tackle by Kevin Aldridge and Mike Echols). Penalty on Albert Haynesworth: Defensive Offside (Declined),4.040,4.380
4,2:49,2,4,TEN 17,14,28,"Tim Couch pass incomplete intended for Dennis Northcutt. Penalty on Kevin Carter: Defensive Offside, 5 yards (no play)",4.380,4.780
4,2:45,1,10,TEN 12,14,28,Tim Couch pass incomplete intended for Quincy Morgan,4.780,4.100
4,2:41,2,10,TEN 12,20,28,"Tim Couch pass complete to Andra Davis for 12 yards, touchdown",4.100,7.000
4,2:41,,,TEN 12,21,28,Phil Dawson kicks extra point good,0.000,0.000
4,2:41,,,CLE 30,21,28,"Phil Dawson kicks onside 28 yards, recovered by Dennis Northcutt (onside kick successful)",0.000,2.790
,,,,,,,"TEN challenged the ruling, and the play was upheld.",,
4,2:35,1,10,TEN 42,21,28,Tim Couch pass complete to Kevin Johnson for 5 yards (tackle by Lance Schulters),2.790,2.920
4,2:16,2,5,TEN 37,21,28,Tim Couch sacked by John Thornton and Kevin Carter for 0 yards,2.920,2.210
4,2:00,3,5,TEN 37,21,28,"Penalty on Kevin Carter: Defensive Offside, 4 yards (no play)",2.210,2.740
4,2:00,3,1,TEN 33,21,28,Jamel White for 9 yards (tackle by Mike Echols),2.740,3.970
4,1:36,1,10,TEN 24,21,28,Tim Couch sacked by Kevin Carter for -7 yards,3.970,2.490
4,1:16,2,17,TEN 31,21,28,Tim Couch pass complete to Mark Campbell for 6 yards (tackle by Mike Echols),2.490,2.610
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,0:52,3,11,TEN 25,21,28,Tim Couch pass complete to Andra Davis for 12 yards (tackle by Mike Echols),2.610,4.710
4,0:44,1,10,TEN 13,21,28,Tim Couch pass complete to Kevin Johnson for 5 yards (tackle by Tank Williams),4.710,4.960
4,0:25,2,5,TEN 8,21,28,Tim Couch pass incomplete intended for Jamel White,4.960,4.100
4,0:18,3,5,TEN 8,27,28,"Tim Couch pass complete to Dennis Northcutt for 8 yards, touchdown",4.100,7.000
4,0:18,,,TEN 8,28,28,Phil Dawson kicks extra point good,0.000,0.000
4,0:18,,,CLE 30,28,28,"Phil Dawson kicks off 65 yards, returned by Eddie Berlin for 19 yards (tackle by Anthony Henry). Penalty on Drew Bennett: Offensive Holding, 10 yards",0.000,-0.380
4,0:12,1,10,TEN 10,28,28,Steve McNair kneels for -1 yards,-0.380,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,CLE,TEN,Detail,EPB,EPA
,,,,,,,"Browns won the coin toss, Browns to receive the overtime kickoff.",,
OT,15:00,,,TEN 30,28,28,"Joe Nedney kicks off 70 yards, touchback",0.000,0.280
OT,15:00,1,10,CLE 20,28,28,Jamel White right end for 6 yards (tackle by Mike Echols and Keith Bulluck),0.280,0.540
