Unnamed: 0,CLE,TEN
First Downs,26,13
Rush-Yds-TDs,20-92-0,34-86-1
Cmp-Att-Yd-TD-INT,36-50-326-3-1,15-23-107-2-0
Sacked-Yards,3-15,1-6
Net Pass Yards,311,101
Total Yards,403,187
Fumbles-Lost,4-3,1-0
Turnovers,4,0
Penalties-Yards,7-57,13-96
Third Down Conv.,8-15,3-13
Fourth Down Conv.,0-0,1-1
Time of Possession,31:02,33:11
