Unnamed: 0,ATL,JAX
First Downs,17,16
Rush-Yds-TDs,22-127-0,32-105-0
Cmp-Att-Yd-TD-INT,19-31-191-1-2,23-30-207-1-0
Sacked-Yards,4-31,2-12
Net Pass Yards,160,195
Total Yards,287,300
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,3-50,3-25
Third Down Conv.,6-12,5-14
Fourth Down Conv.,0-1,1-2
Time of Possession,27:09,32:51
