Unnamed: 0,JAX,TEN
First Downs,27,14
Rush-Yds-TDs,23-82-1,24-70-1
Cmp-Att-Yd-TD-INT,32-46-336-1-1,17-28-233-0-0
Sacked-Yards,6-39,3-13
Net Pass Yards,297,220
Total Yards,379,290
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,6-35,5-48
Third Down Conv.,8-15,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:07,28:53
