Unnamed: 0,NYG,TAM
First Downs,17,24
Rush-Yds-TDs,19-72-2,32-144-0
Cmp-Att-Yd-TD-INT,23-36-336-2-0,23-37-380-3-1
Sacked-Yards,5-24,4-25
Net Pass Yards,312,355
Total Yards,384,499
Fumbles-Lost,3-2,0-0
Turnovers,2,1
Penalties-Yards,6-59,4-30
Third Down Conv.,6-13,4-14
Fourth Down Conv.,1-1,1-1
Time of Possession,26:48,33:12
