Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Peyton Barber up the middle for 7 yards (tackle by Ryan Connelly and Deandre Baker),0.610,1.010
1,14:25,2,3,TAM 32,0,0,Jameis Winston pass complete deep middle to Mike Evans for 18 yards (tackle by Janoris Jenkins). Penalty on Deandre Baker: Illegal Contact (Declined),1.010,2.260
1,14:02,1,10,TAM 50,0,0,Jameis Winston sacked by Markus Golden for -6 yards,2.260,0.900
1,13:19,2,16,TAM 44,0,0,Jameis Winston pass complete short right to Mike Evans for 14 yards (tackle by Jabrill Peppers),0.900,2.080
1,12:34,3,2,NYG 42,0,0,Jameis Winston up the middle for 1 yard (tackle by Lorenzo Carter),2.080,0.530
1,11:54,4,1,NYG 41,0,0,Peyton Barber left guard for 3 yards (tackle by Lorenzo Carter),0.530,3.050
1,11:20,1,10,NYG 38,0,0,Breshad Perriman left end for 13 yards (tackle by Deandre Baker and Alec Ogletree),3.050,3.910
1,10:39,1,10,NYG 25,0,0,Peyton Barber up the middle for 4 yards (tackle by Jabrill Peppers),3.910,3.900
1,10:00,2,6,NYG 21,0,0,Jameis Winston pass incomplete deep left intended for O.J. Howard,3.900,3.200
1,9:54,3,6,NYG 21,0,6,"Jameis Winston pass complete deep right to Mike Evans for 21 yards, touchdown, touchdown",3.200,7.000
1,9:47,,,NYG 15,0,6,Matt Gay kicks extra point no good wide left,0.000,-1.000
1,9:47,,,TAM 35,0,6,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,9:47,1,10,NYG 25,0,6,Daniel Jones pass complete short right to Evan Engram for 18 yards (tackle by Jordan Whitehead),0.610,1.800
1,9:16,1,10,NYG 43,0,6,Saquon Barkley up the middle for -1 yards (tackle by Shaquil Barrett),1.800,1.120
1,8:36,2,11,NYG 42,0,6,Saquon Barkley right end for 2 yards (tackle by Carl Nassib),1.120,0.690
1,7:58,3,9,NYG 44,0,6,Daniel Jones pass complete deep left to Sterling Shepard for 26 yards (tackle by Sean Murphy-Bunting),0.690,3.580
1,7:28,1,10,TAM 30,0,6,Sterling Shepard left end for 2 yards (tackle by Shaquil Barrett),3.580,3.300
1,6:56,2,8,TAM 28,0,6,Saquon Barkley up the middle for 2 yards (tackle by Anthony Nelson and Carl Nassib),3.300,2.870
1,6:13,3,6,TAM 26,0,6,Daniel Jones pass complete short right to Evan Engram for 6 yards (tackle by M.J. Stewart),2.870,4.240
1,5:28,1,10,TAM 20,0,6,Saquon Barkley left guard for -1 yards (tackle by Vita Vea and Ndamukong Suh),4.240,3.560
1,4:59,2,11,TAM 21,0,6,Daniel Jones pass complete short left to Saquon Barkley for 3 yards (tackle by Lavonte David),3.560,3.220
1,4:15,3,8,TAM 18,0,6,Daniel Jones pass incomplete short left intended for Russell Shepard (defended by Kevin Minter),3.220,2.250
1,4:11,4,8,TAM 18,3,6,Aldrick Rosas 36 yard field goal good,2.250,3.000
1,4:07,,,NYG 35,3,6,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
1,4:07,1,10,TAM 25,3,6,Ronald Jones left tackle for no gain (tackle by Ryan Connelly),0.610,0.060
1,3:33,2,10,TAM 25,3,6,Jameis Winston pass complete short left to Ronald Jones for 41 yards (tackle by Antoine Bethea),0.060,3.310
1,2:51,1,10,NYG 34,3,6,Ronald Jones left guard for 5 yards (tackle by Antoine Bethea),3.310,3.450
1,2:12,2,5,NYG 29,3,6,Jameis Winston pass incomplete short left intended for Mike Evans,3.450,2.740
1,2:05,3,5,NYG 29,3,6,Jameis Winston pass complete short right to Breshad Perriman for 6 yards (tackle by Deandre Baker),2.740,4.040
1,1:34,1,10,NYG 23,3,6,Ronald Jones up the middle for 2 yards (tackle by Alec Ogletree),4.040,3.770
1,0:53,2,8,NYG 21,3,6,Jameis Winston pass complete short middle to O.J. Howard for 18 yards (tackle by Jabrill Peppers),3.770,6.510
1,0:28,1,3,NYG 3,3,6,Jameis Winston pass incomplete short middle intended for Mike Evans,6.510,5.530
1,0:23,2,3,NYG 3,3,12,"Jameis Winston pass complete short left to Mike Evans for 3 yards, touchdown",5.530,7.000
1,0:21,,,NYG 15,3,12,Matt Gay kicks extra point blocked by Dexter Lawrence,0.000,-1.000
1,0:21,,,TAM 35,3,12,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
