Quarter,Time,Tm,Detail,NYG,TAM
1.0,9:47,Buccaneers,Mike Evans 21 yard pass from Jameis Winston (Matt Gay kick failed),0,6
,4:07,Giants,Aldrick Rosas 36 yard field goal,3,6
,0:21,Buccaneers,Mike Evans 3 yard pass from Jameis Winston (Matt Gay kick failed),3,12
2.0,9:58,Giants,Daniel Jones 7 yard rush (Aldrick Rosas kick),10,12
,7:35,Buccaneers,Matt Gay 47 yard field goal,10,15
,4:06,Buccaneers,Matt Gay 27 yard field goal,10,18
,1:26,Buccaneers,Mike Evans 20 yard pass from Jameis Winston (Matt Gay kick),10,25
,0:00,Buccaneers,Matt Gay 52 yard field goal,10,28
3.0,14:48,Giants,Evan Engram 75 yard pass from Daniel Jones (Sterling Shepard pass from Daniel Jones),18,28
,8:14,Giants,Sterling Shepard 7 yard pass from Daniel Jones (Aldrick Rosas kick),25,28
4.0,6:00,Buccaneers,Matt Gay 23 yard field goal,25,31
,1:16,Giants,Daniel Jones 7 yard rush (Aldrick Rosas kick),32,31
