Unnamed: 0,JAX,DAL
First Downs,20,25
Rush-Yds-TDs,34-149-1,22-50-1
Cmp-Att-Yd-TD-INT,17-21-260-4-0,34-49-379-1-4
Sacked-Yards,3-22,2-14
Net Pass Yards,238,365
Total Yards,387,415
Fumbles-Lost,1-1,1-0
Turnovers,1,4
Penalties-Yards,6-36,3-20
Third Down Conv.,6-12,6-13
Fourth Down Conv.,0-0,2-3
Time of Possession,32:35,27:25
