Quarter,Time,Tm,Detail,JAX,DAL
1.0,10:46,Cowboys,David Buehler 34 yard field goal,0,3
,7:50,Jaguars,Mike Sims-Walker 10 yard pass from David Garrard (Josh Scobee kick),7,3
2.0,9:43,Jaguars,Marcedes Lewis 42 yard pass from David Garrard (Josh Scobee kick),14,3
3.0,12:14,Jaguars,Mike Thomas 15 yard pass from David Garrard (Josh Scobee kick),21,3
,9:01,Jaguars,Marcedes Lewis 9 yard pass from David Garrard (Josh Scobee kick),28,3
4.0,12:29,Cowboys,Marion Barber III 1 yard rush (David Buehler kick),28,10
,5:50,Jaguars,David Garrard 2 yard rush (Josh Scobee kick),35,10
,2:29,Cowboys,Jason Witten 8 yard pass from Jon Kitna (David Buehler kick),35,17
