Unnamed: 0,CLE,PIT
First Downs,17,22
Rush-Yds-TDs,21-69-0,35-121-1
Cmp-Att-Yd-TD-INT,23-33-281-1-2,16-27-257-3-1
Sacked-Yards,6-23,0-0
Net Pass Yards,258,257
Total Yards,327,378
Fumbles-Lost,2-1,1-0
Turnovers,3,1
Penalties-Yards,3-41,4-25
Third Down Conv.,6-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:04,31:56
