Unnamed: 0,CIN,IND
First Downs,23,19
Rush-Yds-TDs,24-173-2,25-87-2
Cmp-Att-Yd-TD-INT,31-43-244-1-3,21-34-224-2-1
Sacked-Yards,1-7,0-0
Net Pass Yards,237,224
Total Yards,410,311
Fumbles-Lost,3-1,0-0
Turnovers,4,1
Penalties-Yards,6-63,5-71
Third Down Conv.,2-11,6-14
Fourth Down Conv.,2-3,0-0
Time of Possession,30:45,29:15
