Unnamed: 0,PIT,KAN
First Downs,18,15
Rush-Yds-TDs,28-108-0,34-90-0
Cmp-Att-Yd-TD-INT,21-31-193-1-1,18-28-167-0-3
Sacked-Yards,1-11,1-5
Net Pass Yards,182,162
Total Yards,290,252
Fumbles-Lost,1-1,1-1
Turnovers,2,4
Penalties-Yards,6-50,4-20
Third Down Conv.,3-11,6-15
Fourth Down Conv.,1-1,2-2
Time of Possession,33:30,26:30
