Quarter,Time,Tm,Detail,PIT,KAN
1.0,10:40,Chiefs,Ryan Succop 41 yard field goal,0,3
2.0,13:29,Steelers,Shaun Suisham 21 yard field goal,3,3
,10:53,Steelers,Weslye Saunders 2 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,3
,4:30,Chiefs,Ryan Succop 49 yard field goal,10,6
,0:00,Steelers,Shaun Suisham 49 yard field goal,13,6
4.0,7:11,Chiefs,Ryan Succop 40 yard field goal,13,9
