Quarter,Time,Down,ToGo,Location,CHI,JAX,Detail,EPB,EPA
1,9:45,3,5,CHI 14,0,0,Matt Forte up the middle for 10 yards (tackle by Dawan Landry),-0.840,0.540
1,9:13,1,10,CHI 24,0,0,Jay Cutler pass complete short right to Kellen Davis for 15 yards (tackle by Rashean Mathis),0.540,1.530
1,8:32,1,10,CHI 39,0,0,Jay Cutler pass complete short right to Brandon Marshall for 11 yards (tackle by Russell Allen),1.530,2.260
1,7:54,1,10,,0,0,Matt Forte right end for 14 yards (tackle by Russell Allen and Kyle Bosworth),2.260,3.180
1,7:14,1,10,JAX 36,0,0,Michael Bush up the middle for 9 yards (tackle by Paul Posluszny),3.180,3.850
1,6:33,2,1,JAX 27,0,0,Jay Cutler pass complete short left to Kellen Davis for 11 yards (tackle by Dawan Landry),3.850,4.510
1,5:44,1,10,JAX 16,0,0,"Penalty on Jay Cutler: Delay of Game, 5 yards (no play)",4.510,4.170
1,5:17,1,15,JAX 21,0,0,Jay Cutler pass incomplete deep left intended for Kellen Davis,4.170,3.280
1,5:10,2,15,JAX 21,0,0,Matt Forte right end for 7 yards (tackle by Rashean Mathis),3.280,3.370
1,4:31,3,8,JAX 14,0,0,Jay Cutler pass incomplete short left intended for Alshon Jeffery,3.370,2.510
1,4:26,4,8,JAX 14,3,0,Robbie Gould 32 yard field goal good,2.510,3.000
1,4:23,,,CHI 35,3,0,"Robbie Gould kicks off 60 yards, returned by Rashad Jennings for 21 yards (tackle by D.J. Moore)",0.000,0.670
1,4:17,1,10,JAX 26,3,0,Maurice Jones-Drew right end for -2 yards (tackle by Major Wright),0.670,-0.140
1,3:39,2,12,JAX 24,3,0,Blaine Gabbert pass incomplete short right intended for Cecil Shorts,-0.140,-0.820
1,3:37,3,12,JAX 24,3,0,Blaine Gabbert pass complete short right to Justin Blackmon for 13 yards (tackle by Tim Jennings),-0.820,1.400
1,3:11,1,10,JAX 37,3,0,Maurice Jones-Drew left end for 20 yards (tackle by Chris Conte),1.400,2.720
1,2:25,1,10,CHI 43,3,0,Blaine Gabbert pass incomplete short right intended for Mike Thomas (defended by Tim Jennings),2.720,2.180
1,2:19,2,10,CHI 43,3,0,Rashad Jennings left end for -4 yards (tackle by D.J. Moore),2.180,0.960
1,1:36,3,14,CHI 47,3,0,Blaine Gabbert pass complete deep right to Justin Blackmon for 19 yards (tackle by Brian Urlacher),0.960,3.710
1,0:50,1,10,CHI 28,3,0,Blaine Gabbert pass incomplete short right intended for Kevin Elliott,3.710,3.170
1,0:46,2,10,CHI 28,3,0,Maurice Jones-Drew left end for 2 yards (tackle by Charles Tillman),3.170,2.740
1,0:08,3,8,CHI 26,3,0,Blaine Gabbert pass complete short left to Marcedes Lewis for 14 yards (tackle by Charles Tillman),2.740,4.780
Quarter,Time,Down,ToGo,Location,CHI,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 12,3,0,"Penalty on Eben Britton: False Start, 5 yards (no play)",4.780,4.320
2,15:00,1,15,CHI 17,3,0,Blaine Gabbert pass incomplete deep left intended for Marcedes Lewis (defended by Nick Roach),4.320,3.420
2,14:54,2,15,CHI 17,3,0,Blaine Gabbert pass incomplete deep middle intended for Marcedes Lewis,3.420,2.840
2,14:49,3,15,CHI 17,3,0,Blaine Gabbert pass complete short right to Mike Thomas for 4 yards (tackle by Major Wright),2.840,2.570
2,14:06,4,11,CHI 13,3,3,Josh Scobee 31 yard field goal good,2.570,3.000
2,14:02,,,JAX 35,3,3,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
2,14:02,1,10,CHI 20,3,3,Jay Cutler pass complete short left to Brandon Marshall for 11 yards (tackle by Derek Cox),0.280,1.000
2,13:24,1,10,CHI 31,3,3,Matt Forte up the middle for 2 yards (tackle by Terrance Knighton and Austen Lane),1.000,0.730
2,12:53,2,8,CHI 33,3,3,Jay Cutler pass complete short right to Alshon Jeffery for 10 yards (tackle by Rashean Mathis),0.730,1.800
2,12:42,1,10,CHI 43,3,3,Matt Forte left end for 7 yards (tackle by Paul Posluszny),1.800,2.200
2,12:12,2,3,,3,3,Matt Forte up the middle for 5 yards (tackle by C.J. Mosley),2.200,2.590
2,11:41,1,10,JAX 45,3,3,Michael Bush up the middle for 2 yards (tackle by C.J. Mosley),2.590,2.310
2,11:10,2,8,JAX 43,3,3,"Jay Cutler pass incomplete short right intended for Alshon Jeffery. Penalty on Alshon Jeffery: Offensive Pass Interference, 10 yards (no play)",2.310,0.960
2,11:05,2,18,CHI 47,3,3,Jay Cutler left end for 13 yards (tackle by Aaron Ross),0.960,2.010
2,10:36,3,5,JAX 40,3,3,Jay Cutler pass incomplete short left intended for Matt Forte,2.010,0.590
2,10:30,4,5,JAX 40,3,3,Adam Podlesh punts 37 yards,0.590,0.380
2,10:20,1,10,JAX 3,3,3,Maurice Jones-Drew up the middle for 1 yard (tackle by Israel Idonije),-0.380,-0.710
2,9:41,2,9,JAX 4,3,3,Blaine Gabbert pass complete short right to Mike Thomas for 5 yards (tackle by Tim Jennings),-0.710,-0.720
2,9:30,3,4,JAX 9,3,3,Blaine Gabbert pass incomplete short right intended for Mike Thomas,-0.720,-2.490
2,9:24,4,4,JAX 9,3,3,"Bryan Anger punts 65 yards, returned by Devin Hester for 4 yards (tackle by Julian Stanford)",-2.490,-0.940
2,9:10,1,10,CHI 30,3,3,Matt Forte left guard for -2 yards (tackle by Terrance Knighton),0.940,0.120
2,8:37,2,12,CHI 28,3,3,Jay Cutler pass complete short right to Brandon Marshall for 7 yards (tackle by Aaron Ross),0.120,0.370
2,7:55,3,5,CHI 35,3,3,Jay Cutler pass incomplete deep left intended for Brandon Marshall (defended by Derek Cox),0.370,-1.040
2,7:49,4,5,CHI 35,3,3,"Adam Podlesh punts 43 yards, fair catch by Aaron Ross",-1.040,-0.410
2,7:42,1,10,JAX 22,3,3,Maurice Jones-Drew left end for 1 yard (tackle by Chris Conte),0.410,0.000
2,7:02,2,9,JAX 23,3,3,Blaine Gabbert pass complete short left to Justin Blackmon for 8 yards (tackle by Charles Tillman),0.000,0.370
2,6:20,3,1,JAX 31,3,3,Blaine Gabbert up the middle for 2 yards (tackle by Lance Briggs),0.370,1.140
2,5:37,1,10,JAX 33,3,3,"Blaine Gabbert pass complete short left to Justin Blackmon for 19 yards (tackle by Tim Jennings). Penalty on Cameron Bradfield: Offensive Holding, 10 yards (no play)",1.140,0.480
2,5:12,1,20,JAX 23,3,3,Maurice Jones-Drew up the middle for 2 yards (tackle by Lance Briggs),0.480,-0.490
2,4:35,2,18,JAX 25,3,3,Blaine Gabbert pass complete short left to Kevin Elliott for 11 yards (tackle by D.J. Moore),-0.490,0.300
2,4:03,3,7,JAX 36,3,3,Blaine Gabbert pass complete short right to Cecil Shorts for 9 yards (tackle by Tim Jennings),0.300,1.930
2,3:29,1,10,JAX 45,3,3,Maurice Jones-Drew up the middle for 1 yard (tackle by Matt Toeaina and Israel Idonije),1.930,1.520
2,2:53,2,9,JAX 46,3,3,Blaine Gabbert pass complete deep right to Cecil Shorts for 34 yards (tackle by Tim Jennings),1.520,4.240
2,2:14,1,10,CHI 20,3,3,Maurice Jones-Drew up the middle for -1 yards (tackle by Chris Conte),4.240,3.560
2,2:00,2,11,CHI 21,3,3,"Blaine Gabbert sacked by Corey Wootton for -7 yards. Blaine Gabbert fumbles (forced by Corey Wootton), recovered by Julius Peppers at CHI-23 (tackle by Eugene Monroe)",3.560,-0.480
2,1:55,1,10,CHI 23,3,3,Jay Cutler pass complete short right to Matt Forte for 8 yards (tackle by Paul Posluszny),0.480,1.010
2,1:32,2,2,CHI 31,3,3,Jay Cutler pass complete short left to Matt Forte for 12 yards (tackle by Dawan Landry),1.010,1.800
2,1:05,1,10,CHI 43,3,3,"Jay Cutler pass complete short right to Kellen Davis for 12 yards (tackle by Dawan Landry). Penalty on Gabe Carimi: Offensive Holding, 10 yards (no play)",1.800,1.140
2,0:57,1,20,CHI 33,3,3,Jay Cutler pass complete short right to Brandon Marshall for 15 yards (tackle by Paul Posluszny),1.140,0.000
2,0:48,,,,3,3,Timeout #1 by Chicago Bears,0.000,1.930
2,0:48,2,5,CHI 48,3,3,Jay Cutler pass incomplete deep right intended for Devin Hester,1.930,1.220
2,0:43,3,5,CHI 48,3,3,Jay Cutler pass complete short middle to Devin Hester for 10 yards (tackle by Rashean Mathis),1.220,0.000
2,0:35,,,,3,3,Timeout #2 by Chicago Bears,0.000,2.790
2,0:35,1,10,JAX 42,3,3,Jay Cutler pass incomplete deep left intended for Brandon Marshall,2.790,2.240
2,0:30,2,10,JAX 42,3,3,Jay Cutler pass incomplete short right intended for Matt Forte,2.240,0.000
2,0:26,,,,3,3,Timeout #3 by Chicago Bears,0.000,1.550
2,0:26,3,10,JAX 42,3,3,Jay Cutler pass incomplete short right intended for Dane Sanzenbacher,1.550,0.460
2,0:20,4,10,JAX 42,3,3,"Adam Podlesh punts 42 yards, touchback",0.460,-0.280
2,0:12,1,10,JAX 20,3,3,Blaine Gabbert kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,CHI,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,,,"Josh Scobee kicks off 72 yards, returned by Devin Hester for 28 yards (tackle by Julian Stanford). Penalty on Sherrick McManis: Offensive Holding, 10 yards",,
3,15:00,1,10,CHI 11,3,3,Matt Forte up the middle for 3 yards (tackle by Kyle Bosworth),-0.370,-0.530
3,14:12,2,7,CHI 14,3,3,Jay Cutler pass incomplete deep right intended for Brandon Marshall,-0.530,-1.070
3,14:12,3,7,CHI 14,3,3,Jay Cutler pass complete deep middle to Brandon Marshall for 18 yards (tackle by Paul Posluszny),-1.070,1.070
3,13:31,1,10,CHI 32,3,3,Matt Forte up the middle for no gain (tackle by Russell Allen),1.070,0.530
3,12:49,2,10,CHI 32,3,3,Jay Cutler pass complete short middle to Brandon Marshall for 7 yards (tackle by Rashean Mathis),0.530,0.760
3,12:06,3,3,CHI 39,3,3,Jay Cutler pass complete short left to Dane Sanzenbacher for 7 yards (tackle by Derek Cox),0.760,1.990
3,11:31,1,10,CHI 46,3,3,Jay Cutler sacked by Austen Lane for -5 yards,1.990,0.780
3,11:02,2,15,CHI 41,3,3,Jay Cutler pass complete short middle to Brandon Marshall for 6 yards (tackle by Russell Allen),0.780,0.890
3,10:22,3,9,CHI 47,3,3,Jay Cutler pass complete short middle to Brandon Marshall for 8 yards (tackle by Derek Cox),0.890,0.270
3,9:34,4,1,JAX 45,3,3,"Jay Cutler pass complete short middle to Brandon Marshall for 12 yards (tackle by Kyle Bosworth). Penalty on JAX: Roughing the Passer, 15 yards",0.270,4.370
3,9:09,1,10,JAX 18,3,3,Matt Forte up the middle for 4 yards (tackle by Terrance Knighton),4.370,4.430
3,8:35,2,6,JAX 14,3,3,Matt Forte up the middle for -2 yards (tackle by C.J. Mosley),4.430,3.300
3,7:50,3,8,JAX 16,3,3,Jay Cutler right end for 9 yards (tackle by Dwight Lowery),3.300,5.600
3,7:26,1,7,JAX 7,3,3,Jay Cutler pass incomplete short left intended for Michael Bush,5.600,4.760
3,7:22,2,7,JAX 7,3,3,Jay Cutler pass complete short middle to Brandon Marshall for 4 yards (tackle by Paul Posluszny),4.760,4.720
3,6:39,3,3,JAX 3,3,3,"Penalty on Gabe Carimi: False Start, 5 yards (no play)",4.720,3.580
3,6:16,3,8,JAX 8,3,3,"Penalty on Gabe Carimi: False Start, 5 yards (no play)",3.580,3.060
3,5:53,3,13,JAX 13,3,3,Jay Cutler pass incomplete short middle intended for Brandon Marshall (defended by Dwight Lowery),3.060,2.570
3,5:46,4,13,JAX 13,6,3,Robbie Gould 31 yard field goal good,2.570,3.000
3,5:42,,,CHI 35,6,3,"Robbie Gould kicks off 66 yards, returned by Rashad Jennings for 26 yards (tackle by Armando Allen)",0.000,0.610
3,5:35,1,10,JAX 25,6,3,"Maurice Jones-Drew left end for no gain (tackle by Lance Briggs). Penalty on Eugene Monroe: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,5:16,1,20,JAX 15,12,3,"Blaine Gabbert pass incomplete deep left intended for Justin Blackmon is intercepted by Charles Tillman at JAX-36 and returned for 36 yards, touchdown",-0.410,-7.000
3,,,,JAX 2,13,3,Robbie Gould kicks extra point good,0.000,0.000
3,5:04,,,CHI 35,13,3,"Robbie Gould kicks off 71 yards, returned by Rashad Jennings for 18 yards (tackle by Anthony Walters). Penalty on Greg Jones: Offensive Holding, 6 yards",0.000,-0.380
3,4:59,1,10,JAX 6,13,3,"Penalty on Uche Nwaneri: False Start, 3 yards (no play)",-0.380,-0.490
3,4:58,1,13,JAX 3,13,3,Blaine Gabbert pass incomplete deep right intended for Justin Blackmon,-0.490,-1.000
3,4:58,2,13,JAX 3,13,3,Blaine Gabbert pass complete short middle to Marcedes Lewis for 5 yards (tackle by D.J. Moore),-1.000,-1.190
3,4:10,3,8,JAX 8,13,3,Blaine Gabbert sacked by Lance Briggs for -6 yards,-1.190,-2.490
3,3:43,4,14,JAX 2,13,3,"Bryan Anger punts 55 yards, returned by Devin Hester for 12 yards (tackle by Julian Stanford). Penalty on Sherrick McManis: Offensive Holding, 10 yards",-2.490,-1.140
3,3:31,1,10,CHI 33,13,3,Jay Cutler pass complete short left to Michael Bush for 11 yards (tackle by Julian Stanford),1.140,1.860
3,2:51,1,10,CHI 44,13,3,Michael Bush up the middle for 4 yards (tackle by Tyson Alualu),1.860,1.860
3,2:13,2,6,CHI 48,13,3,Jay Cutler pass incomplete short right intended for Kyle Adams,1.860,1.160
3,2:08,3,6,CHI 48,13,3,Jay Cutler pass complete deep right to Brandon Marshall for 21 yards (tackle by Derek Cox),1.160,3.510
3,1:20,1,10,JAX 31,13,3,Jay Cutler pass incomplete short left intended for Alshon Jeffery,3.510,2.970
3,1:16,2,10,JAX 31,13,3,Jay Cutler pass incomplete short left intended for Devin Hester (defended by Rashean Mathis),2.970,2.280
3,1:16,3,10,JAX 31,13,3,"Penalty on Kellen Davis: False Start, 5 yards (no play)",2.280,1.620
3,1:09,3,15,JAX 36,13,3,Jay Cutler pass complete short right to Michael Bush for 15 yards (tackle by Paul Posluszny),1.620,4.170
3,0:24,1,10,JAX 21,13,3,Michael Bush up the middle for 11 yards (tackle by Dawan Landry),4.170,4.910
Quarter,Time,Down,ToGo,Location,CHI,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 10,19,3,"Jay Cutler pass complete short right to Alshon Jeffery for 10 yards, touchdown",4.910,7.000
4,15:00,,,JAX 2,20,3,Robbie Gould kicks extra point good,0.000,0.000
4,14:55,,,CHI 35,20,3,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
4,14:55,1,10,JAX 20,20,3,Blaine Gabbert pass complete short left to Marcedes Lewis for -1 yards (tackle by Brian Urlacher),0.280,-0.460
4,14:18,2,11,JAX 19,20,3,Maurice Jones-Drew up the middle for 27 yards (tackle by Chris Conte),-0.460,1.990
4,13:40,1,10,JAX 46,20,3,Blaine Gabbert pass complete short middle to Maurice Jones-Drew for 3 yards (tackle by Nick Roach),1.990,1.860
4,13:04,2,7,JAX 49,20,3,Blaine Gabbert pass incomplete short middle intended for Justin Blackmon,1.860,1.160
4,12:59,3,7,JAX 49,20,3,Blaine Gabbert pass incomplete short right intended for Justin Blackmon,1.160,-0.130
4,12:55,4,7,JAX 49,20,3,"Bryan Anger punts 38 yards, returned by Devin Hester for -2 yards (tackle by Jalen Parmele). Penalty on Devin Hester: Face Mask (15 Yards), 5 yards",-0.130,0.380
4,12:40,1,10,CHI 6,20,3,Matt Forte up the middle for 4 yards (tackle by Austen Lane),-0.380,-0.490
4,11:56,2,6,CHI 10,20,3,Jay Cutler pass complete deep right to Devin Hester for 39 yards (tackle by Rashean Mathis),-0.490,2.190
,,,,,,,"JAX challenged the pass completion ruling, and the play was upheld.",,
4,11:40,1,10,CHI 49,20,3,Matt Forte up the middle for 9 yards (tackle by Kyle Bosworth),2.190,2.860
4,10:56,2,1,JAX 42,20,3,Matt Forte up the middle for 11 yards (tackle by Dawan Landry),2.860,3.510
4,10:12,1,10,JAX 31,20,3,Matt Forte right end for 7 yards (tackle by Kyle Bosworth),3.510,3.910
4,9:25,2,3,JAX 24,20,3,Matt Forte up the middle for no gain (tackle by C.J. Mosley),3.910,3.200
4,8:44,3,3,JAX 24,26,3,"Jay Cutler pass complete deep right to Brandon Marshall for 24 yards, touchdown",3.200,7.000
4,8:44,,,JAX 2,27,3,Robbie Gould kicks extra point good,0.000,0.000
4,8:37,,,CHI 35,27,3,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
4,8:37,1,10,JAX 20,27,3,Blaine Gabbert pass complete short left to Kevin Elliott for 6 yards (tackle by Charles Tillman),0.280,0.540
4,8:12,2,4,JAX 26,27,3,Blaine Gabbert pass incomplete short middle intended for Mike Thomas,0.540,-0.160
4,8:09,3,4,JAX 26,27,3,"Blaine Gabbert pass incomplete short right intended for Mike Thomas (defended by D.J. Moore). Penalty on Israel Idonije: Defensive Offside, 5 yards (no play)",-0.160,1.000
4,8:05,1,10,JAX 31,33,3,"Blaine Gabbert pass incomplete short middle intended for Maurice Jones-Drew is intercepted by Lance Briggs at JAX-36 and returned for 36 yards, touchdown",1.000,-7.000
4,,,,JAX 2,34,3,Robbie Gould kicks extra point good,0.000,0.000
4,7:54,,,CHI 35,34,3,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
4,7:54,1,10,JAX 20,34,3,Blaine Gabbert sacked by Corey Wootton for -5 yards,0.280,-1.070
4,7:36,2,15,JAX 15,34,3,Blaine Gabbert pass complete short right to Mike Thomas for 3 yards (tackle by Tim Jennings),-1.070,-1.330
4,7:03,3,12,JAX 18,34,3,Blaine Gabbert pass complete short right to Marcedes Lewis for 5 yards (tackle by Geno Hayes),-1.330,-1.830
4,6:50,4,7,JAX 23,34,3,Bryan Anger punts 50 yards,-1.830,-0.740
4,6:31,1,10,CHI 27,34,3,Matt Forte up the middle for 4 yards (tackle by Dawan Landry),0.740,0.740
4,5:49,2,6,CHI 31,34,3,Matt Forte up the middle for 3 yards (tackle by Paul Posluszny),0.740,0.430
4,5:06,3,3,CHI 34,34,3,Matt Forte right end for 7 yards (tackle by Terrance Knighton),0.430,1.660
4,4:20,1,10,CHI 41,34,3,Armando Allen up the middle for 5 yards (tackle by Tyson Alualu),1.660,1.800
4,3:36,2,5,CHI 46,34,3,Armando Allen up the middle for 4 yards (tackle by C.J. Mosley and Paul Posluszny),1.800,1.620
4,2:52,3,1,,34,3,Armando Allen up the middle for 3 yards (tackle by Daryl Smith),1.620,2.460
4,2:07,1,10,JAX 47,34,3,Armando Allen up the middle for 1 yard (tackle by Dawan Landry and Daryl Smith),2.460,2.050
4,2:00,2,9,JAX 46,40,3,"Armando Allen up the middle for 46 yards, touchdown",2.050,7.000
4,2:00,,,JAX 2,41,3,Robbie Gould kicks extra point good,0.000,0.000
4,1:49,,,CHI 35,41,3,"Robbie Gould kicks off 65 yards, touchback",0.000,0.280
4,1:49,1,10,JAX 20,41,3,"Rashad Jennings up the middle for -2 yards (tackle by Amobi Okoye). Penalty on Matt Toeaina: Defensive Offside, 5 yards (no play)",0.280,1.010
4,1:45,1,5,JAX 25,41,3,Rashad Jennings up the middle for 4 yards (tackle by Blake Costanzo),1.010,0.950
4,1:13,2,1,JAX 29,41,3,Blaine Gabbert pass incomplete short left intended for Justin Blackmon (defended by Geno Hayes),0.950,0.230
4,1:08,3,1,JAX 29,41,3,"Rashad Jennings up the middle for 2 yards (tackle by Matt Toeaina). Penalty on Corey Wootton: Defensive Offside, 5 yards (no play)",0.230,1.200
4,1:03,1,10,JAX 34,41,3,Rashad Jennings up the middle for 3 yards (tackle by Blake Costanzo),1.200,1.060
4,0:38,2,7,JAX 37,41,3,Blaine Gabbert pass incomplete short left intended for Mike Thomas,1.060,0.370
4,0:30,3,7,JAX 37,41,3,Blaine Gabbert pass complete short left to Marcedes Lewis for 1 yard (tackle by Geno Hayes),0.370,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
