Unnamed: 0,PIT,OAK
First Downs,24,21
Rush-Yds-TDs,20-54-0,21-119-1
Cmp-Att-Yd-TD-INT,36-49-384-4-0,24-34-209-3-1
Sacked-Yards,1-5,1-7
Net Pass Yards,379,202
Total Yards,433,321
Fumbles-Lost,4-2,0-0
Turnovers,2,1
Penalties-Yards,10-81,3-25
Third Down Conv.,8-14,7-12
Fourth Down Conv.,2-2,0-0
Time of Possession,36:15,23:45
