Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
1,10:33,,,OAK 35,7,7,"Sebastian Janikowski kicks off 66 yards, returned by Chris Rainey for 20 yards (tackle by Phillip Adams)",0.000,0.150
1,10:28,1,10,PIT 19,7,7,Ben Roethlisberger pass complete short right to Isaac Redman for 4 yards (tackle by Michael Huff and Tommy Kelly),0.150,0.210
1,9:42,2,6,PIT 23,7,7,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown (defended by Philip Wheeler),0.210,-0.550
1,9:37,3,6,PIT 23,7,7,Ben Roethlisberger pass complete short middle to Mike Wallace for 16 yards (tackle by Matt Giordano),-0.550,1.530
1,8:51,1,10,PIT 39,7,7,Ben Roethlisberger pass incomplete short left intended for Emmanuel Sanders,1.530,0.990
1,8:48,2,10,PIT 39,7,7,Ben Roethlisberger up the middle for 8 yards (tackle by Lamarr Houston),0.990,1.360
1,8:01,3,2,PIT 47,7,7,Ben Roethlisberger pass complete short right to Emmanuel Sanders for 7 yards (tackle by Tyvon Branch),1.360,2.520
1,7:21,1,10,OAK 46,7,7,Ben Roethlisberger pass complete short left to Isaac Redman for 11 yards (tackle by Rolando McClain and Desmond Bryant),2.520,3.250
1,6:32,1,10,OAK 35,7,7,Ben Roethlisberger pass complete short right to Antonio Brown for 14 yards (tackle by Michael Huff),3.250,4.170
1,6:01,1,10,OAK 21,7,7,Jonathan Dwyer up the middle for 3 yards (tackle by Rolando McClain),4.170,4.040
1,5:18,2,7,OAK 18,7,7,Ben Roethlisberger pass complete short middle to Mike Wallace for 14 yards (tackle by Matt Giordano),4.040,6.280
1,4:34,1,4,OAK 4,7,7,Jonathan Dwyer right tackle for no gain (tackle by Michael Huff and Tyvon Branch),6.280,5.340
1,3:53,2,4,OAK 4,13,7,"Ben Roethlisberger pass complete short middle to Heath Miller for 4 yards, touchdown",5.340,7.000
1,3:53,,,OAK 2,14,7,Shaun Suisham kicks extra point good,0.000,0.000
1,3:49,,,PIT 35,14,7,"Shaun Suisham kicks off 65 yards, touchback",0.000,0.280
1,3:49,1,10,OAK 20,14,7,Carson Palmer pass complete short left to Darren McFadden for -3 yards (tackle by Ryan Clark and Casey Hampton),0.280,-0.790
1,3:07,2,13,OAK 17,14,7,Carson Palmer pass incomplete short left intended for Denarius Moore,-0.790,-1.510
1,3:03,3,13,OAK 17,14,7,Carson Palmer sacked by LaMarr Woodley for -7 yards,-1.510,-2.490
1,2:37,4,20,OAK 10,14,7,"Shane Lechler punts 60 yards, returned by Antonio Brown for 22 yards (tackle by Matt Giordano)",-2.490,-2.390
1,2:20,1,10,OAK 48,14,7,Ben Roethlisberger pass incomplete,2.390,1.850
1,2:13,2,10,OAK 48,14,7,"Penalty on Ramon Foster: False Start, 5 yards (no play)",1.850,1.170
1,2:13,2,15,PIT 47,14,7,"Isaac Redman up the middle for no gain (tackle by Philip Wheeler and Matt Giordano). Penalty on Willie Colon: Offensive Holding, 10 yards (no play)",1.170,-0.180
1,1:43,2,25,PIT 37,14,7,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown,-0.180,0.000
1,1:37,,,,14,7,Timeout #2 by Pittsburgh Steelers,0.000,-0.820
1,1:37,3,25,PIT 37,14,7,Ben Roethlisberger pass complete short left to Chris Rainey for 14 yards (tackle by Lamarr Houston),-0.820,0.000
1,1:03,4,11,OAK 49,14,7,"Drew Butler punts 35 yards, fair catch by Phillip Adams",0.000,0.280
1,0:57,1,10,OAK 14,14,7,Darren McFadden up the middle for 1 yard (tackle by Larry Foote),-0.280,-0.640
1,0:20,2,9,OAK 15,14,7,Darren McFadden left tackle for 3 yards (tackle by Evander Hood),-0.640,-0.920
Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,OAK 18,14,7,Carson Palmer pass incomplete short middle intended for Darrius Heyward-Bey,-0.920,-2.240
2,14:55,4,6,OAK 18,14,7,"Shane Lechler punts 54 yards, returned by Antonio Brown for 72 yards. Penalty on Will Johnson: Illegal Block Above the Waist (Declined), Penalty on PIT: Offensive Holding, 10 yards",-2.240,-0.040
2,14:36,1,10,PIT 18,14,7,Baron Batch up the middle for 2 yards (tackle by Tyvon Branch and Lamarr Houston),0.040,-0.130
2,13:55,2,8,PIT 20,14,7,Ben Roethlisberger pass complete short left to Heath Miller for 7 yards (tackle by Philip Wheeler),-0.130,-0.020
2,13:10,3,1,PIT 27,14,7,Baron Batch left tackle for 3 yards (tackle by Miles Burris),-0.020,0.940
2,12:29,1,10,PIT 30,14,7,Baron Batch right guard for 2 yards (tackle by Lamarr Houston and Rolando McClain),0.940,0.660
2,11:44,2,8,PIT 32,14,7,Ben Roethlisberger pass complete short right to Will Johnson for 4 yards (tackle by Rolando McClain),0.660,0.500
2,11:37,3,4,PIT 36,14,7,"Penalty on Ben Roethlisberger: Delay of Game, 5 yards (no play)",0.500,-0.160
2,10:30,3,9,PIT 31,14,7,Ben Roethlisberger pass incomplete deep middle intended for Heath Miller (defended by Philip Wheeler),-0.160,-1.310
,,,,,,,"OAK challenged the pass completion ruling, and the original play was overturned.",,
2,10:25,4,9,PIT 31,14,7,"Drew Butler punts 29 yards, out of bounds",-1.310,-1.600
2,10:19,1,10,OAK 40,14,7,Darren McFadden right guard for 1 yard (tackle by Jason Worilds),1.600,1.190
2,9:44,2,9,OAK 41,14,7,Carson Palmer pass complete short left to Darren McFadden for 5 yards (tackle by Jason Worilds),1.190,1.160
2,9:11,3,4,OAK 46,14,7,Darren McFadden left end for -2 yards (tackle by Ike Taylor),1.160,-0.460
2,8:39,4,6,OAK 44,14,7,"Shane Lechler punts 41 yards, fair catch by Antonio Brown. Penalty on Jason Worilds: Face Mask (15 Yards), 7 yards",-0.460,0.380
2,8:32,1,10,PIT 8,14,7,Isaac Redman up the middle for 4 yards (tackle by Michael Huff),-0.380,-0.490
2,7:52,2,6,PIT 12,14,7,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Joselio Hanson and Tyvon Branch),-0.490,-0.370
2,7:20,3,1,PIT 17,14,7,Isaac Redman up the middle for 4 yards (tackle by Miles Burris and Rolando McClain),-0.370,0.000
2,6:36,,,,14,7,Timeout #3 by Pittsburgh Steelers,0.000,0.340
2,6:36,1,10,PIT 21,14,7,Ben Roethlisberger pass complete short middle to Isaac Redman for 9 yards (tackle by Miles Burris),0.340,1.020
2,5:52,2,1,PIT 30,14,7,Isaac Redman left tackle for 3 yards (tackle by Matt Giordano),1.020,1.140
2,5:10,1,10,PIT 33,14,7,Ben Roethlisberger pass complete short middle to Jonathan Dwyer for 1 yard (tackle by Philip Wheeler),1.140,0.730
2,4:26,2,9,PIT 34,14,7,"Jonathan Dwyer up the middle for -4 yards (tackle by Desmond Bryant). Jonathan Dwyer fumbles (forced by Desmond Bryant), recovered by Joselio Hanson at PIT-31 and returned for 1 yards (tackle by Marcus Gilbert)",0.730,-3.580
2,4:20,1,10,PIT 30,14,7,Carson Palmer pass complete short right to Marcel Reece for 3 yards (tackle by Lawrence Timmons),3.580,3.440
2,3:52,2,7,PIT 27,14,7,Carson Palmer pass complete short right to David Ausberry for 13 yards (tackle by Ryan Mundy),3.440,4.650
2,3:20,1,10,PIT 14,14,7,Darren McFadden left tackle for 1 yard (tackle by Ryan Clark and Larry Foote),4.650,4.160
2,2:38,2,9,PIT 13,14,7,Carson Palmer right end for 6 yards (tackle by LaMarr Woodley),4.160,4.500
2,2:09,3,3,PIT 7,14,7,Mike Goodson left end for 1 yard (tackle by Cortez Allen),4.500,3.010
2,2:00,4,2,PIT 6,14,7,"Penalty on Evander Hood: Neutral Zone Infraction, 3 yards (no play)",3.010,6.510
2,2:00,1,3,PIT 3,14,13,"Carson Palmer pass complete short right to Darrius Heyward-Bey for 3 yards, touchdown",6.510,7.000
2,2:00,,,PIT 2,14,14,Sebastian Janikowski kicks extra point good,0.000,0.000
2,1:54,,,OAK 35,14,14,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
2,1:54,1,10,PIT 20,14,14,Ben Roethlisberger pass complete short right to Mike Wallace for 7 yards (tackle by Joselio Hanson),0.280,0.680
2,1:48,2,3,PIT 27,14,14,Ben Roethlisberger pass complete short middle to Baron Batch for 5 yards (tackle by Philip Wheeler and Rolando McClain),0.680,1.070
2,1:21,1,10,PIT 32,14,14,Ben Roethlisberger pass complete short left to Baron Batch for 15 yards (tackle by Patrick Lee),1.070,2.060
2,1:12,1,10,PIT 47,14,14,Ben Roethlisberger pass complete short middle to Heath Miller for 7 yards (tackle by Joselio Hanson),2.060,2.460
2,0:48,2,3,OAK 46,14,14,Ben Roethlisberger pass complete deep middle to Emmanuel Sanders for 21 yards (tackle by Matt Giordano),2.460,3.910
2,0:39,1,10,OAK 25,14,14,Ben Roethlisberger spiked the ball,3.910,3.360
2,0:23,2,10,OAK 25,14,14,Ben Roethlisberger pass complete short middle to Chris Rainey for 9 yards (tackle by Philip Wheeler),3.360,4.060
2,0:03,3,1,OAK 16,14,14,Ben Roethlisberger spiked the ball,4.060,0.000
2,0:02,,,,14,14,Timeout #1 by Oakland Raiders,0.000,2.530
2,0:02,4,1,OAK 16,17,14,Shaun Suisham 33 yard field goal good,2.530,3.000
Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,17,14,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,PIT 20,17,14,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",0.280,-0.310
3,15:00,1,15,PIT 15,17,14,Ben Roethlisberger pass incomplete deep left intended for Mike Wallace,-0.310,-1.070
3,14:55,2,15,PIT 15,17,14,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,-1.070,-1.860
3,14:50,3,15,PIT 15,17,14,Ben Roethlisberger pass complete deep middle to Mike Wallace for 22 yards (tackle by Tyvon Branch),-1.860,1.400
3,14:07,1,10,PIT 37,17,14,Baron Batch up the middle for 5 yards (tackle by Desmond Bryant and Rolando McClain),1.400,1.530
3,13:31,2,5,PIT 42,17,14,Ben Roethlisberger pass complete short middle to Antonio Brown for 19 yards (tackle by Joselio Hanson),1.530,2.980
3,12:55,1,10,OAK 39,17,14,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Philip Wheeler),2.980,3.780
3,12:21,1,10,OAK 27,17,14,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,3.780,3.230
3,12:17,2,10,OAK 27,17,14,Ben Roethlisberger pass complete short left to Emmanuel Sanders for 5 yards (tackle by Patrick Lee),3.230,3.200
3,11:50,3,5,OAK 22,23,14,"Ben Roethlisberger pass complete deep middle to Mike Wallace for 22 yards, touchdown",3.200,7.000
3,11:50,,,OAK 2,24,14,Shaun Suisham kicks extra point good,0.000,0.000
3,11:40,,,PIT 35,24,14,"Shaun Suisham kicks off 64 yards, returned by Mike Goodson for 51 yards (tackle by Curtis Brown)",0.000,2.390
3,11:30,1,10,PIT 48,24,14,Darren McFadden left tackle for 16 yards (tackle by Chris Carter),2.390,3.450
3,11:01,1,10,PIT 32,24,14,Carson Palmer pass incomplete deep right intended for Darrius Heyward-Bey,3.450,2.900
3,10:56,2,10,PIT 32,24,14,Darren McFadden right end for 1 yard (tackle by LaMarr Woodley),2.900,2.340
3,10:11,3,9,PIT 31,24,14,Carson Palmer pass complete short middle to Denarius Moore for 12 yards (tackle by Cortez Allen and Larry Foote),2.340,4.310
3,9:25,1,10,PIT 19,24,14,Carson Palmer pass complete short left to Rod Streater for 5 yards (tackle by Ike Taylor),4.310,4.530
3,8:53,2,5,PIT 14,24,14,Carson Palmer pass complete short middle to Denarius Moore for 4 yards (tackle by Larry Foote),4.530,4.690
3,8:09,3,1,PIT 10,24,14,Darren McFadden left tackle for 5 yards (tackle by Ryan Clark and Chris Carter),4.690,6.060
3,7:29,1,5,PIT 5,24,14,Darren McFadden left tackle for 4 yards (tackle by Ryan Mundy and Keenan Lewis),6.060,5.910
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
3,7:10,2,1,PIT 1,24,14,Darren McFadden left tackle for no gain (tackle by Will Allen and Chris Carter),5.910,5.170
3,6:39,3,1,PIT 1,24,20,"Carson Palmer pass complete short middle to Richard Gordon for 1 yard, touchdown",5.170,7.000
3,6:39,,,PIT 2,24,21,Sebastian Janikowski kicks extra point good,0.000,0.000
3,6:35,,,OAK 35,24,21,Sebastian Janikowski kicks onside 13 yards,0.000,2.390
3,6:35,1,10,OAK 48,24,21,Ben Roethlisberger pass complete short left to Antonio Brown for 6 yards (tackle by Philip Wheeler and Tyvon Branch),2.390,2.660
3,5:56,2,4,OAK 42,24,21,Chris Rainey up the middle for 5 yards (tackle by Dave Tollefson),2.660,3.120
3,5:29,1,10,OAK 37,24,21,Ben Roethlisberger pass complete short middle to Heath Miller for 16 yards (tackle by Joselio Hanson and Rolando McClain),3.120,4.170
3,4:51,1,10,OAK 21,24,21,Chris Rainey right tackle for 2 yards (tackle by Tyvon Branch),4.170,3.900
3,4:12,2,8,OAK 19,24,21,"Ben Roethlisberger pass complete short left to Mike Wallace for 7 yards (tackle by Patrick Lee). Penalty on Marcus Gilbert: Illegal Formation, 5 yards (no play)",3.900,3.220
3,3:47,2,13,OAK 24,24,21,Ben Roethlisberger pass complete short left to Mike Wallace for 5 yards (tackle by Tyvon Branch),3.220,3.180
3,3:03,3,8,OAK 19,24,21,Ben Roethlisberger pass complete short right to Heath Miller for 9 yards (tackle by Michael Mitchell),3.180,4.910
3,2:22,1,10,OAK 10,24,21,Isaac Redman up the middle for -1 yards (tackle by Joselio Hanson),4.910,4.020
3,1:32,2,11,OAK 11,30,21,"Ben Roethlisberger pass complete short right to Antonio Brown for 11 yards (tackle by Philip Wheeler). Antonio Brown fumbles (forced by Philip Wheeler), recovered by Antonio Brown at OAK-0, touchdown. Penalty on Tommy Kelly: Unnecessary Roughness, 15 yards",4.020,7.000
,,,,,,,"Replay Assistant challenged the loose ball recovery ruling, and the play was upheld.",,
3,1:32,,,OAK 2,31,21,Shaun Suisham kicks extra point good,0.000,0.000
3,1:31,,,,31,21,"Shaun Suisham kicks off 58 yards, touchback",0.000,0.280
3,1:31,1,10,OAK 20,31,21,Carson Palmer pass complete deep left to Denarius Moore for 18 yards (tackle by Keenan Lewis),0.280,1.470
3,1:07,1,10,OAK 38,31,21,Carson Palmer pass complete short right to Darrius Heyward-Bey for 11 yards (tackle by Ike Taylor),1.470,2.190
3,0:45,1,10,OAK 49,31,21,Carson Palmer pass complete short middle to Brandon Myers for 17 yards (tackle by Ryan Clark),2.190,3.310
3,0:06,1,10,PIT 34,31,21,Carson Palmer pass complete short left to Marcel Reece for 6 yards (tackle by Ryan Mundy),3.310,3.580
Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,PIT 28,31,21,"Penalty on Marcel Reece: False Start, 5 yards (no play)",3.580,2.910
4,15:00,2,9,PIT 33,31,21,Carson Palmer pass incomplete deep left intended for Denarius Moore,2.910,2.210
4,14:55,3,9,PIT 33,31,21,Carson Palmer pass complete deep right to Rod Streater for 17 yards (tackle by Cortez Allen),2.210,4.510
4,14:35,1,10,PIT 16,31,21,Carson Palmer pass incomplete deep middle intended for Darrius Heyward-Bey,4.510,3.900
4,14:31,2,10,PIT 16,31,21,Darren McFadden right tackle for 2 yards (tackle by Lawrence Timmons),3.900,3.370
4,13:51,3,8,PIT 14,31,21,Carson Palmer pass complete short left to Marcel Reece for 10 yards (tackle by Cortez Allen),3.370,6.280
4,13:21,1,4,PIT 4,31,21,Darren McFadden left tackle for 3 yards,6.280,5.910
4,12:41,2,1,PIT 1,31,21,"Penalty on Mike Brisiel: False Start, 5 yards (no play)",5.910,4.950
4,12:19,2,6,PIT 6,31,27,"Carson Palmer pass complete short left to Denarius Moore for 6 yards, touchdown",4.950,7.000
4,12:19,,,PIT 2,31,28,Sebastian Janikowski kicks extra point good,0.000,0.000
4,12:13,,,OAK 35,31,28,"Sebastian Janikowski kicks off 67 yards, returned by Chris Rainey for 24 yards (tackle by Brandian Ross)",0.000,0.410
4,12:07,1,10,PIT 22,31,28,Ben Roethlisberger pass complete short middle to Heath Miller for 7 yards (tackle by Dave Tollefson),0.410,0.810
4,11:35,2,3,PIT 29,31,28,Isaac Redman right tackle for 7 yards (tackle by Rolando McClain and Tyvon Branch),0.810,1.330
4,10:57,1,10,PIT 36,31,28,"Ben Roethlisberger pass complete short middle to Antonio Brown for 20 yards (tackle by Patrick Lee). Antonio Brown fumbles (forced by Patrick Lee), recovered by Philip Wheeler at OAK-36 (tackle by Antonio Brown)",1.330,-1.330
4,10:45,1,10,OAK 36,31,28,Carson Palmer pass complete short middle to Brandon Myers for 7 yards (tackle by Ryan Clark),1.330,1.740
4,10:05,2,3,OAK 43,31,28,Darren McFadden right guard for 5 yards (tackle by Ryan Clark),1.740,2.130
4,9:30,1,10,OAK 48,31,28,"Carson Palmer pass incomplete deep right intended for Denarius Moore. Penalty on Keenan Lewis: Defensive Pass Interference, 21 yards (no play)",2.130,3.510
4,9:26,1,10,PIT 31,31,28,Carson Palmer pass incomplete short left intended for Marcel Reece,3.510,2.970
4,9:21,2,10,PIT 31,31,28,Darren McFadden left tackle for 7 yards (tackle by Ryan Clark),2.970,3.200
4,8:36,3,3,PIT 24,31,28,Carson Palmer pass complete short left to Derek Hagan for 4 yards (tackle by Ike Taylor),3.200,4.240
4,8:18,1,10,PIT 20,31,28,Darren McFadden left tackle for 2 yards (tackle by Larry Foote),4.240,3.960
4,7:54,2,8,PIT 18,31,28,Darren McFadden right end for -1 yards (tackle by LaMarr Woodley),3.960,3.100
4,7:11,3,9,PIT 19,31,28,Carson Palmer pass complete short left to Denarius Moore for 5 yards (tackle by Lawrence Timmons),3.100,2.580
4,6:34,4,4,PIT 14,31,31,Sebastian Janikowski 32 yard field goal good,2.580,3.000
4,6:30,,,OAK 35,31,31,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
4,6:30,1,10,PIT 20,31,31,"Ben Roethlisberger up the middle for no gain. Penalty on Willie Colon: Offensive Holding, 10 yards (no play)",0.280,-0.760
4,6:05,1,20,PIT 10,31,31,"Ben Roethlisberger pass complete short left to Mike Wallace for 17 yards (tackle by Philip Wheeler). Mike Wallace fumbles (forced by Philip Wheeler), recovered by Mike Wallace at PIT-27",-0.760,0.680
4,5:10,2,3,PIT 27,31,31,Isaac Redman right guard for 2 yards (tackle by Lamarr Houston),0.680,0.230
4,4:34,3,1,PIT 29,31,31,Isaac Redman left guard for no gain,0.230,0.000
4,3:51,,,,31,31,Timeout #1 by Pittsburgh Steelers,0.000,-1.440
4,3:51,4,1,PIT 29,31,31,Isaac Redman up the middle for 6 yards (tackle by Philip Wheeler and Matt Giordano),-1.440,1.270
4,3:09,1,10,PIT 35,31,31,Ben Roethlisberger sacked by Richard Seymour for -5 yards,1.270,0.050
4,2:31,2,15,PIT 30,31,31,Ben Roethlisberger pass complete short left to Heath Miller for 6 yards (tackle by Philip Wheeler),0.050,0.170
4,2:00,3,9,PIT 36,31,31,Ben Roethlisberger pass incomplete deep middle intended for Mike Wallace,0.170,-0.980
4,1:43,4,9,PIT 36,31,31,"Drew Butler punts 44 yards, returned by Phillip Adams for 5 yards (tackle by Baron Batch)",-0.980,-0.610
4,1:43,1,10,OAK 25,31,31,Carson Palmer pass incomplete short right intended for Derek Hagan,0.610,0.060
4,1:39,2,10,OAK 25,31,31,Carson Palmer pass incomplete short right intended for Denarius Moore,0.060,-0.620
4,1:23,3,10,OAK 25,31,31,Carson Palmer pass complete short middle to Brandon Myers for 15 yards,-0.620,0.000
4,0:48,,,,31,31,Timeout #1 by Oakland Raiders,0.000,1.600
4,0:48,1,10,OAK 40,31,31,Carson Palmer pass complete deep right to Derek Hagan for 9 yards (tackle by Keenan Lewis),1.600,2.270
4,0:48,2,1,OAK 49,31,31,Carson Palmer pass complete short middle to Marcel Reece for 8 yards (tackle by Ike Taylor),2.270,2.720
4,0:48,1,10,PIT 43,31,31,Carson Palmer pass complete short middle to Derek Hagan for 17 yards (tackle by Cortez Allen),2.720,3.840
4,0:28,1,10,PIT 26,31,31,Darren McFadden left tackle for 1 yard (tackle by Larry Foote),3.840,0.000
4,0:21,,,,31,31,Timeout #2 by Pittsburgh Steelers,0.000,3.430
4,0:21,2,9,PIT 25,31,31,Carson Palmer up the middle for -1 yards (tackle by Ryan Mundy),3.430,0.000
4,0:03,,,,31,31,Timeout #2 by Oakland Raiders,0.000,2.610
4,0:03,3,10,PIT 26,31,34,Sebastian Janikowski 43 yard field goal good,2.610,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
