Unnamed: 0,NYG,DAL
First Downs,17,16
Rush-Yds-TDs,17-35-0,25-138-1
Cmp-Att-Yd-TD-INT,33-44-279-1-0,16-25-160-1-0
Sacked-Yards,6-59,0-0
Net Pass Yards,220,160
Total Yards,255,298
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,3-24,6-47
Third Down Conv.,8-17,3-10
Fourth Down Conv.,2-2,1-1
Time of Possession,32:12,27:48
