Quarter,Time,Tm,Detail,SDG,PIT
1.0,12:59,Chargers,Vincent Jackson 41 yard pass from Philip Rivers (Nate Kaeding kick),7,0
,7:41,Steelers,Santonio Holmes 67 yard punt return (Jeff Reed kick),7,7
2.0,1:56,Chargers,Nate Kaeding 42 yard field goal,10,7
,0:40,Steelers,Willie Parker 3 yard rush (Jeff Reed kick),10,14
3.0,7:04,Steelers,Heath Miller 8 yard pass from Ben Roethlisberger (Jeff Reed kick),10,21
4.0,12:52,Steelers,Gary Russell 1 yard rush (Jeff Reed kick),10,28
,9:09,Chargers,Legedu Naanee 4 yard pass from Philip Rivers (Nate Kaeding kick),17,28
,4:11,Steelers,Willie Parker 16 yard rush (Jeff Reed kick),17,35
,1:53,Chargers,Darren Sproles 62 yard pass from Philip Rivers (Nate Kaeding kick),24,35
