Quarter,Time,Tm,Detail,ARI,CAR
1.0,9:30,Panthers,Graham Gano 45 yard field goal,0,3
,4:31,Panthers,Ted Ginn Jr. 22 yard rush (Graham Gano kick),0,10
,0:49,Panthers,Corey Brown 86 yard pass from Cam Newton (Graham Gano kick),0,17
2.0,5:44,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),7,17
,1:56,Panthers,Cam Newton 1 yard rush (Graham Gano kick),7,24
3.0,7:50,Panthers,Graham Gano 21 yard field goal,7,27
,2:08,Panthers,Cam Newton 12 yard rush (Graham Gano kick),7,34
4.0,14:16,Cardinals,Darren Fells 21 yard pass from Carson Palmer (JJ Nelson run),15,34
,5:26,Panthers,Devin Funchess 5 yard pass from Cam Newton (Mike Tolbert pass from Cam Newton),15,42
,5:11,Panthers,Luke Kuechly 22 yard interception return (Graham Gano kick),15,49
