Unnamed: 0,ARI,CAR
First Downs,21,21
Rush-Yds-TDs,16-60-1,37-152-3
Cmp-Att-Yd-TD-INT,23-41-235-1-4,19-28-335-2-1
Sacked-Yards,3-8,1-11
Net Pass Yards,227,324
Total Yards,287,476
Fumbles-Lost,3-3,0-0
Turnovers,7,1
Penalties-Yards,8-51,5-45
Third Down Conv.,3-10,8-14
Fourth Down Conv.,2-2,0-1
Time of Possession,23:21,36:39
