Quarter,Time,Tm,Detail,CIN,NWE
1.0,12:06,Patriots,Stephen Gostkowski 46 yard field goal,0,3
2.0,3:10,Bengals,Andy Dalton 2 yard rush (Mike Nugent kick),7,3
,1:01,Patriots,James White 15 yard pass from Tom Brady (Stephen Gostkowski kick),7,10
3.0,11:14,Bengals,Brandon LaFell 5 yard pass from Andy Dalton (Mike Nugent kick),14,10
,7:05,Patriots,"Safety, Andy Dalton dont'a Hightower sack in end zone",14,12
,5:00,Patriots,Rob Gronkowski 4 yard pass from Tom Brady (Stephen Gostkowski kick),14,19
,2:58,Patriots,James White 4 yard pass from Tom Brady (Stephen Gostkowski kick failed),14,25
4.0,12:34,Bengals,Mike Nugent 25 yard field goal,17,25
,6:04,Patriots,Stephen Gostkowski 31 yard field goal,17,28
,0:57,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),17,35
