Quarter,Time,Down,ToGo,Location,CIN,NWE,Detail,EPB,EPA
2,3:10,1,10,NWE 25,7,3,Tom Brady pass incomplete short middle intended for Julian Edelman,0.610,0.060
2,3:06,2,10,NWE 25,7,3,Tom Brady sacked by Vontaze Burfict for -8 yards,0.060,-1.930
2,2:31,3,18,NWE 17,7,3,"Tom Brady pass incomplete deep right intended for Chris Hogan. Penalty on Dre Kirkpatrick: Illegal Contact, 5 yards (no play)",-1.930,0.410
2,2:25,1,10,NWE 22,7,3,LeGarrette Blount right guard for 4 yards (tackle by Vontaze Burfict),0.410,0.410
2,2:00,2,6,NWE 26,7,3,Tom Brady pass complete short middle to Julian Edelman for 8 yards (tackle by Vontaze Burfict and Karlos Dansby),0.410,1.200
2,1:42,1,10,NWE 34,7,3,Tom Brady pass complete short right to James White for 7 yards (tackle by Vontaze Burfict),1.200,1.600
2,1:20,2,3,NWE 41,7,3,Tom Brady pass complete short left to James White for 5 yards,1.600,1.990
2,1:16,1,10,NWE 46,7,3,Tom Brady pass complete short middle to Chris Hogan for 39 yards (tackle by Shawn Williams),1.990,4.580
2,1:06,1,10,CIN 15,7,9,"Tom Brady pass complete short right to James White for 15 yards, touchdown",4.580,7.000
2,1:06,,,CIN 15,7,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,1:06,,,NWE 35,7,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
2,1:01,1,10,CIN 25,7,10,Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Devin McCourty),0.610,0.060
2,0:55,2,10,CIN 25,7,10,Giovani Bernard right tackle for no gain (tackle by Barkevious Mingo),0.060,-0.620
2,0:15,3,10,CIN 25,7,10,Andy Dalton pass incomplete deep left intended for Tyler Boyd (defended by Malcolm Butler),-0.620,-1.700
2,0:07,4,10,CIN 25,7,10,"Kevin Huber punts 52 yards, returned by Julian Edelman for 17 yards (tackle by Nick Vigil)",-1.700,0.610
Quarter,Time,Down,ToGo,Location,CIN,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,7,10,"Stephen Gostkowski kicks off 60 yards, returned by Rex Burkhead for 15 yards (tackle by Nate Ebner)",0.000,0.280
3,14:56,1,10,CIN 20,7,10,Giovani Bernard left end for no gain (tackle by Malcom Brown),0.280,-0.270
3,14:24,2,10,CIN 20,7,10,Andy Dalton left tackle for 15 yards (tackle by Logan Ryan),-0.270,1.270
3,13:56,1,10,CIN 35,7,10,Giovani Bernard left guard for 5 yards (tackle by Devin McCourty),1.270,1.400
3,13:23,2,5,CIN 40,7,10,Andy Dalton pass incomplete short right intended for Brandon LaFell (defended by Malcolm Butler),1.400,0.700
3,13:20,3,5,CIN 40,7,10,Andy Dalton pass complete deep left to A.J. Green for 23 yards (tackle by Duron Harmon),0.700,3.120
3,12:58,1,10,NWE 37,7,10,Andy Dalton pass complete deep right to Tyler Boyd for 27 yards (tackle by Malcolm Butler and Devin McCourty),3.120,4.910
3,12:27,1,10,NWE 10,7,10,Giovani Bernard right end for 2 yards (tackle by Dont'a Hightower and Jabaal Sheard),4.910,4.570
3,11:48,2,8,NWE 8,7,10,Andy Dalton pass complete short right to Giovani Bernard for 3 yards (tackle by Dont'a Hightower),4.570,4.260
3,11:19,3,5,NWE 5,13,10,"Andy Dalton pass complete short left to Brandon LaFell for 5 yards, touchdown",4.260,7.000
3,11:19,,,NWE 5,14,10,Mike Nugent kicks extra point good,0.000,0.000
3,11:19,,,CIN 35,14,10,"Mike Nugent kicks off 69 yards, returned by D.J. Foster for 30 yards (tackle by Clayton Fejedelem)",0.000,-0.670
3,11:07,1,10,NWE 26,14,10,Tom Brady pass complete short middle to LeGarrette Blount for 16 yards (tackle by Adam Jones and Karlos Dansby),0.670,1.730
3,10:30,1,10,NWE 42,14,10,LeGarrette Blount left end for -2 yards (tackle by Karlos Dansby),1.730,0.920
3,10:02,2,12,NWE 40,14,10,"Penalty on Julian Edelman: False Start, 5 yards (no play)",0.920,0.240
3,9:41,2,17,NWE 35,14,10,Tom Brady sacked by Michael Johnson for -5 yards,0.240,-1.090
3,8:59,3,22,NWE 30,14,10,Tom Brady pass complete short right to Danny Amendola for 13 yards (tackle by Dre Kirkpatrick),-1.090,-0.520
3,8:22,4,9,NWE 43,14,10,"Ryan Allen punts 52 yards, returned by Alex Erickson for 11 yards (tackle by Nate Ebner)",-0.520,0.140
3,8:11,1,10,CIN 16,14,10,Jeremy Hill left tackle for no gain (tackle by Trey Flowers),-0.140,-0.660
3,7:40,2,10,CIN 16,14,10,"Andy Dalton pass complete short right to A.J. Green for 15 yards (tackle by Logan Ryan). Penalty on Cedric Ogbuehi: Offensive Holding, 8 yards (no play)",-0.660,-1.360
3,7:11,2,18,CIN 8,14,12,"Andy Dalton sacked by Dont'a Hightower for -8 yards, safety",-1.360,-2.000
3,7:11,,,CIN 20,14,12,"Kevin Huber kicks off 64 yards, returned by Julian Edelman for 16 yards (tackle by Josh Shaw)",0.000,-1.070
3,6:59,1,10,NWE 32,14,12,Tom Brady pass complete deep right to Martellus Bennett for 24 yards (tackle by George Iloka and Karlos Dansby),1.070,2.650
3,6:29,1,10,CIN 44,14,12,Tom Brady pass complete short right to Martellus Bennett for 3 yards (tackle by Josh Shaw),2.650,2.520
3,6:03,2,7,CIN 41,14,12,LeGarrette Blount right tackle for -1 yards (tackle by Geno Atkins),2.520,1.690
3,5:26,3,8,CIN 42,14,12,Tom Brady pass complete short right to Rob Gronkowski for 38 yards (tackle by Josh Shaw),1.690,6.280
3,5:04,1,4,CIN 4,14,18,"Tom Brady pass complete short right to Rob Gronkowski for 4 yards, touchdown",6.280,7.000
3,5:04,,,CIN 4,14,19,Stephen Gostkowski kicks extra point good,0.000,0.000
3,5:04,,,NWE 35,14,19,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,5:00,1,10,CIN 25,14,19,Andy Dalton pass incomplete short right intended for A.J. Green,0.610,0.060
3,4:56,2,10,CIN 25,14,19,Andy Dalton pass incomplete short left intended for C.J. Uzomah,0.060,-0.620
3,4:51,3,10,CIN 25,14,19,Andy Dalton pass incomplete short right intended for Giovani Bernard,-0.620,-1.700
3,4:44,4,10,CIN 25,14,19,"Kevin Huber punts 37 yards, returned by Julian Edelman for 9 yards (tackle by Vincent Rey)",-1.700,-2.060
3,4:33,1,10,NWE 47,14,19,Tom Brady pass complete deep right to Rob Gronkowski for 38 yards (tackle by Shawn Williams and Dre Kirkpatrick),2.060,4.580
3,3:49,1,10,CIN 15,14,19,Tom Brady pass complete short right to Martellus Bennett for 11 yards (tackle by Vontaze Burfict and Shawn Williams),4.580,6.280
3,3:13,1,4,CIN 4,14,19,Tom Brady pass incomplete short left intended for Julian Edelman,6.280,5.340
3,3:02,2,4,CIN 4,14,25,"Tom Brady pass complete short right to James White for 4 yards, touchdown",5.340,7.000
3,3:02,,,CIN 4,14,25,Stephen Gostkowski kicks extra point no good,0.000,-1.000
3,3:02,,,NWE 35,14,25,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,2:58,1,10,CIN 25,14,25,Giovani Bernard left guard for 4 yards (tackle by Woodrow Hamilton and Trey Flowers),0.610,0.600
3,2:21,2,6,CIN 29,14,25,Andy Dalton pass complete short left to Tyler Kroft for 13 yards (tackle by Patrick Chung),0.600,1.730
3,1:52,1,10,CIN 42,14,25,Andy Dalton pass incomplete deep left intended for Brandon LaFell (defended by Malcolm Butler),1.730,1.190
3,1:41,2,10,CIN 42,14,25,Giovani Bernard left tackle for 8 yards (tackle by Dont'a Hightower and Patrick Chung),1.190,1.550
3,0:59,3,2,,14,25,Andy Dalton pass complete short left to James Wright for 1 yard (tackle by Eric Rowe),1.550,0.000
3,0:24,4,1,NWE 49,14,25,Jeremy Hill left guard for 3 yards (tackle by Logan Ryan),0.000,2.520
Quarter,Time,Down,ToGo,Location,CIN,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 46,14,25,Jeremy Hill left guard for 1 yard (tackle by Elandon Roberts and Dont'a Hightower),2.520,2.110
4,14:28,2,9,NWE 45,14,25,Andy Dalton pass complete deep middle to Tyler Boyd for 30 yards (tackle by Logan Ryan),2.110,4.580
4,13:52,1,10,NWE 15,14,25,Jeremy Hill middle for 8 yards (tackle by Dont'a Hightower and Patrick Chung),4.580,5.410
4,13:27,2,2,NWE 7,14,25,Jeremy Hill right guard for no gain (tackle by Rob Ninkovich),5.410,4.680
4,12:42,3,2,NWE 7,14,25,Andy Dalton pass incomplete short left intended for A.J. Green (defended by Eric Rowe),4.680,3.000
4,12:37,4,2,NWE 7,17,25,Mike Nugent 25 yard field goal good,3.000,3.000
4,12:37,,,CIN 35,17,25,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
4,12:34,1,10,NWE 25,17,25,Tom Brady pass complete short middle to Martellus Bennett for 5 yards (tackle by Josh Shaw and Vontaze Burfict),0.610,0.740
4,12:06,2,5,NWE 30,17,25,Tom Brady pass complete short left to Julian Edelman for 3 yards (tackle by Josh Shaw),0.740,0.430
4,11:22,3,2,NWE 33,17,25,Tom Brady pass complete short middle to Danny Amendola for 17 yards (tackle by Shawn Williams),0.430,2.260
4,10:48,1,10,,17,25,James White left end for 2 yards (tackle by Geno Atkins),2.260,1.980
4,10:22,2,8,CIN 48,17,25,James White left tackle for 1 yard (tackle by Adam Jones and Vontaze Burfict),1.980,1.420
4,9:45,3,7,CIN 47,17,25,"Penalty on Rob Gronkowski: False Start, 5 yards (no play)",1.420,0.760
4,9:23,3,12,NWE 48,17,25,"Tom Brady pass incomplete short middle intended for Chris Hogan. Penalty on Adam Jones: Defensive Holding, 5 yards (no play)",0.760,0.760
4,9:15,3,12,NWE 48,17,25,Timeout #1 by Cincinnati Bengals,0.760,2.460
4,9:15,1,10,CIN 47,17,25,LeGarrette Blount right guard for -2 yards (tackle by Michael Johnson),2.460,1.640
4,8:46,2,12,CIN 49,17,25,Tom Brady pass complete deep middle to Rob Gronkowski for 29 yards (tackle by Adam Jones),1.640,4.240
4,8:14,1,10,CIN 20,17,25,"Tom Brady pass complete short middle to Rob Gronkowski for 12 yards (tackle by Josh Shaw). Penalty on Rob Gronkowski: Taunting, 15 yards",4.240,4.040
4,7:41,1,23,CIN 23,17,25,Tom Brady pass complete short left to James White for 5 yards (tackle by Derron Smith),4.040,3.150
4,6:56,2,18,CIN 18,17,25,Tom Brady pass complete short left to Martellus Bennett for 5 yards (tackle by Karlos Dansby and Shawn Williams),3.150,3.060
4,6:13,3,13,CIN 13,17,25,Tom Brady pass incomplete short left intended for Rob Gronkowski,3.060,2.570
4,6:08,4,13,CIN 13,17,28,Stephen Gostkowski 31 yard field goal good,2.570,3.000
4,6:08,,,NWE 35,17,28,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
4,6:04,1,10,CIN 25,17,28,"Penalty on C.J. Uzomah: False Start, 5 yards (no play)",0.610,0.280
4,6:04,1,15,CIN 20,17,28,Andy Dalton pass complete short left to A.J. Green for 9 yards,0.280,0.600
4,5:37,2,6,CIN 29,17,28,Giovani Bernard left tackle for 11 yards (tackle by Devin McCourty),0.600,1.600
4,5:04,1,10,CIN 40,17,28,Giovani Bernard right guard for -3 yards (tackle by Alan Branch),1.600,0.650
4,4:28,2,13,CIN 37,17,28,Andy Dalton pass incomplete deep right intended for Brandon LaFell,0.650,-0.030
4,4:23,3,13,CIN 37,17,28,Andy Dalton sacked by Jabaal Sheard and Dont'a Hightower for -9 yards,-0.030,-1.500
4,3:43,4,22,CIN 28,17,28,"Kevin Huber punts 45 yards, returned by Julian Edelman for 23 yards (tackle by Clayton Fejedelem)",-1.500,-2.260
4,3:32,1,10,,17,28,Julian Edelman for 8 yards,2.260,2.790
4,3:25,2,2,CIN 42,17,28,LeGarrette Blount middle for 9 yards (tackle by Shawn Williams),2.790,2.790
4,3:10,2,2,CIN 42,17,28,Timeout #2 by Cincinnati Bengals,2.790,3.380
4,3:10,1,10,CIN 33,17,28,LeGarrette Blount left guard for 3 yards (tackle by Karlos Dansby and Michael Johnson),3.380,3.380
4,3:04,1,10,CIN 33,17,28,Timeout #3 by Cincinnati Bengals,3.380,3.240
4,3:04,2,7,CIN 30,17,28,James White middle for 2 yards (tackle by Rey Maualuga and Karlos Dansby),3.240,2.810
4,2:22,3,5,CIN 28,17,28,"Tom Brady pass complete short middle to Julian Edelman for 13 yards (tackle by Dre Kirkpatrick). Penalty on Dre Kirkpatrick: Face Mask (15 Yards), 8 yards",2.810,2.810
4,2:15,3,5,CIN 28,17,28,Timeout #1 by New England Patriots,2.810,5.600
4,2:15,1,7,CIN 7,17,28,LeGarrette Blount middle for 2 yards (tackle by Geno Atkins and Pat Sims),5.600,5.150
4,2:00,2,5,CIN 5,17,28,LeGarrette Blount left tackle for 4 yards (tackle by George Iloka),5.150,5.170
4,1:40,3,1,CIN 1,17,28,Tom Brady middle for no gain (tackle by Rey Maualuga),5.170,3.550
4,1:05,4,1,CIN 1,17,34,"LeGarrette Blount middle for 1 yard, touchdown. Penalty on LeGarrette Blount: Unnecessary Roughness, 15 yards",3.550,7.000
4,1:05,,,CIN 1,17,35,Stephen Gostkowski kicks extra point good,0.000,0.000
4,1:05,,,NWE 20,17,35,"Stephen Gostkowski kicks off 79 yards, returned by Alex Erickson for 26 yards (tackle by Jordan Richards)",0.000,-0.740
4,0:51,1,10,CIN 27,17,35,Rex Burkhead middle for 4 yards (tackle by Anthony Johnson),0.740,0.740
4,0:21,2,6,CIN 31,17,35,Rex Burkhead middle for 12 yards (tackle by Chris Long and Patrick Chung),0.740,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
