Unnamed: 0,CIN,NWE
First Downs,20,25
Rush-Yds-TDs,32-120-1,23-79-1
Cmp-Att-Yd-TD-INT,21-31-254-1-0,29-35-376-3-0
Sacked-Yards,2-17,3-18
Net Pass Yards,237,358
Total Yards,357,437
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,7-46,6-55
Third Down Conv.,5-12,4-10
Fourth Down Conv.,1-2,1-1
Time of Possession,32:03,27:57
