Unnamed: 0,MIA,SFO
First Downs,22,19
Rush-Yds-TDs,33-94-1,19-131-1
Cmp-Att-Yd-TD-INT,22-28-350-3-0,16-35-171-1-2
Sacked-Yards,2-8,5-43
Net Pass Yards,342,128
Total Yards,436,259
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,7-69,7-75
Third Down Conv.,4-12,2-10
Fourth Down Conv.,2-2,0-2
Time of Possession,36:53,23:07
