Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
1,5:24,3,3,SFO 21,7,0,"Ryan Fitzpatrick pass complete short left to Jakeem Grant for 6 yards (tackle by Jason Verrett). Penalty on Fred Warner: Roughing the Passer, 8 yards",3.400,5.600
1,4:54,1,7,SFO 7,7,0,Ryan Fitzpatrick pass complete short left to Myles Gaskin for 6 yards (tackle by Jimmie Ward and Fred Warner),5.600,5.910
1,4:17,2,1,SFO 1,13,0,"Myles Gaskin left tackle for 1 yard, touchdown",5.910,7.000
1,4:14,,,SFO 15,14,0,Jason Sanders kicks extra point good,0.000,0.000
1,4:14,,,MIA 35,14,0,"Jason Sanders kicks off 71 yards, returned by Kevin White for 20 yards (tackle by Mack Hollins)",0.000,-0.280
1,4:09,1,10,SFO 14,14,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 15 yards (tackle by Bobby McCain),-0.280,0.870
1,3:40,1,10,SFO 29,14,0,Raheem Mostert up the middle for 5 yards (tackle by Davon Godchaux),0.870,1.000
1,3:03,2,5,SFO 34,14,0,Raheem Mostert left tackle for 5 yards (tackle by Jerome Baker),1.000,1.530
1,2:16,1,10,SFO 39,14,0,Jimmy Garoppolo sacked by Elandon Roberts for -8 yards,1.530,-0.090
1,1:31,2,18,SFO 31,14,0,Jimmy Garoppolo pass complete short middle to George Kittle for 11 yards (tackle by Kamu Grugier-Hill),-0.090,0.700
1,0:54,3,7,SFO 42,14,0,Jimmy Garoppolo pass incomplete short left intended for Kendrick Bourne (defended by Nik Needham),0.700,-0.590
1,0:49,4,7,SFO 42,14,0,"Penalty on Ross Dwelley: False Start, 5 yards (no play)",-0.590,-0.910
1,0:49,4,12,SFO 37,14,0,"Mitch Wishnowsky punts 58 yards, muffed catch by Jakeem Grant, recovered by Jakeem Grant at MIA-5, returned by Jakeem Grant for no gain (tackle by Ken Webster)",-0.910,0.380
1,0:39,1,10,MIA 5,14,0,Myles Gaskin up the middle for -2 yards (tackle by Jamar Taylor),-0.380,-0.930
Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,MIA 3,14,0,Myles Gaskin up the middle for 2 yards (tackle by Kwon Alexander and Kevin Givens),-0.930,-1.420
2,14:18,3,10,MIA 5,14,0,Ryan Fitzpatrick pass complete short left to Preston Williams for 8 yards (tackle by Brian Allen),-1.420,-2.490
2,13:40,4,2,MIA 13,14,0,"Matt Haack punts 53 yards, returned by Trent Taylor for 17 yards (tackle by Jerome Baker)",-2.490,-2.320
2,13:25,1,10,MIA 49,14,0,Raheem Mostert left end for 37 yards (tackle by Eric Rowe),2.320,4.780
2,12:43,1,10,MIA 12,14,0,Raheem Mostert right tackle for 5 yards (tackle by Bobby McCain),4.780,5.020
2,12:10,2,5,MIA 7,14,6,"Kyle Juszczyk up the middle for 7 yards, touchdown",5.020,7.000
2,12:07,,,MIA 15,14,7,Robbie Gould kicks extra point good,0.000,0.000
2,12:07,,,SFO 35,14,7,"Mitch Wishnowsky kicks off 58 yards, returned by Jakeem Grant for 15 yards (tackle by Jimmie Ward)",0.000,0.410
2,12:00,1,10,MIA 22,14,7,Ryan Fitzpatrick up the middle for 17 yards (tackle by Fred Warner),0.410,1.530
2,11:18,1,10,MIA 39,14,7,Ryan Fitzpatrick pass complete short right to Mike Gesicki for 12 yards (tackle by Dre Greenlaw),1.530,2.320
2,10:39,1,10,SFO 49,14,7,Ryan Fitzpatrick pass complete short left to Preston Williams for 19 yards (tackle by Brian Allen),2.320,3.580
2,10:06,1,10,SFO 30,14,7,Matt Breida right tackle for 5 yards (tackle by Kentavius Street and Alex Barrett),3.580,3.710
2,9:26,2,5,SFO 25,14,7,"Ryan Fitzpatrick pass incomplete deep right intended for Preston Williams (defended by Brian Allen). Penalty on Brian Allen: Defensive Pass Interference, 22 yards (no play)",3.710,6.510
2,9:21,1,3,SFO 3,14,7,Ryan Fitzpatrick pass complete short right to Myles Gaskin for 2 yards (tackle by Fred Warner),6.510,5.910
2,8:49,2,1,SFO 1,14,7,"Myles Gaskin left tackle for no gain (tackle by Marcell Harris). Penalty on Ted Karras: Clipping, 15 yards (no play)",5.910,3.340
2,8:20,2,16,SFO 16,14,7,Ryan Fitzpatrick sacked by Kerry Hyder for -6 yards,3.340,2.080
2,7:35,3,22,SFO 22,20,7,"Ryan Fitzpatrick pass complete deep left to DeVante Parker for 22 yards, touchdown",2.080,7.000
2,7:29,,,SFO 15,21,7,Jason Sanders kicks extra point good,0.000,0.000
2,7:29,,,MIA 35,21,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,7:29,1,10,SFO 25,21,7,Raheem Mostert up the middle for 11 yards (tackle by Xavien Howard and Davon Godchaux),0.610,1.330
2,7:06,1,10,SFO 36,21,7,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel (defended by Xavien Howard),1.330,0.790
2,7:02,,,,,,Timeout #1 by Miami Dolphins,,
2,7:02,2,10,SFO 36,21,7,Jimmy Garoppolo pass complete deep left to Brandon Aiyuk for 20 yards (tackle by Eric Rowe),0.790,2.650
2,6:23,1,10,MIA 44,21,7,Jeff Wilson left end for 4 yards (tackle by Andrew Van Ginkel),2.650,2.650
2,5:41,2,6,MIA 40,21,7,"Jimmy Garoppolo sacked by Andrew Van Ginkel for -8 yards. Jimmy Garoppolo fumbles (forced by Andrew Van Ginkel), recovered by Jeff Wilson at MIA-48",2.650,0.890
2,4:55,3,14,MIA 48,21,7,Jimmy Garoppolo pass incomplete deep left intended for Deebo Samuel,0.890,0.070
2,4:49,4,14,MIA 48,21,7,"Mitch Wishnowsky punts 32 yards, returned by Jakeem Grant for 5 yards (tackle by Dre Greenlaw)",0.070,-0.340
2,4:40,1,10,MIA 21,21,7,Myles Gaskin right guard for -1 yards (tackle by Fred Warner),0.340,-0.340
2,4:01,2,11,MIA 20,21,7,Ryan Fitzpatrick pass complete deep left to Mike Gesicki for 70 yards (tackle by Jimmie Ward),-0.340,4.910
2,3:11,1,10,SFO 10,21,7,Myles Gaskin up the middle for 4 yards (tackle by Dre Greenlaw and D.J. Jones),4.910,4.950
2,2:54,2,6,SFO 6,21,7,Ryan Fitzpatrick sacked by Kwon Alexander for -2 yards,4.950,3.580
2,2:07,3,8,SFO 8,21,7,Ryan Fitzpatrick pass incomplete short middle intended for Mike Gesicki,3.580,2.950
2,2:04,4,8,SFO 8,24,7,Jason Sanders 26 yard field goal good,2.950,3.000
2,2:00,,,MIA 35,24,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,2:00,1,10,SFO 25,24,7,Jimmy Garoppolo pass incomplete short right intended for George Kittle (defended by Emmanuel Ogbah),0.610,0.060
2,1:56,2,10,SFO 25,24,7,Jimmy Garoppolo pass incomplete short middle intended for Kendrick Bourne (defended by Eric Rowe),0.060,-0.620
2,1:50,3,10,SFO 25,24,7,Jimmy Garoppolo pass deep left intended for Jerick McKinnon is intercepted by Bobby McCain at MIA-44 and returned for 19 yards,-0.620,-3.120
2,1:41,1,10,SFO 37,24,7,Ryan Fitzpatrick pass complete short right to Mike Gesicki for 4 yards (tackle by Fred Warner and Jaquiski Tartt),3.120,3.110
2,1:16,2,6,SFO 33,24,7,Ryan Fitzpatrick pass complete short left to Mike Gesicki for 1 yard (tackle by Jimmie Ward),3.110,2.540
2,0:48,3,5,SFO 32,24,7,Ryan Fitzpatrick pass incomplete deep left intended for Preston Williams,2.540,1.260
2,0:43,4,5,SFO 32,27,7,Jason Sanders 50 yard field goal good,1.260,3.000
2,0:38,,,MIA 35,27,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,0:38,1,10,SFO 25,27,7,Jimmy Garoppolo pass complete short left to Jerick McKinnon for no gain (tackle by Andrew Van Ginkel),0.610,0.060
2,0:30,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:30,2,10,SFO 25,27,7,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Eric Rowe),0.060,-0.620
2,0:26,3,10,SFO 25,27,7,Jimmy Garoppolo pass deep right intended for Deebo Samuel is intercepted by Xavien Howard at SF-48 and returned for 29 yards,-0.620,-4.310
2,0:14,1,10,SFO 19,27,7,Ryan Fitzpatrick pass complete short right to Isaiah Ford for 8 yards (tackle by Jamar Taylor and Jaquiski Tartt),4.310,5.140
2,0:09,,,,,,Timeout #2 by Miami Dolphins,,
2,0:09,2,2,SFO 11,27,7,Ryan Fitzpatrick pass incomplete short middle,5.140,4.430
2,0:05,3,2,SFO 11,30,7,Jason Sanders 29 yard field goal good,4.430,3.000
Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,30,7,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,30,7,Matt Breida up the middle for 4 yards (tackle by Fred Warner and Arik Armstead),0.610,0.600
3,14:21,2,6,MIA 29,30,7,Lynn Bowden up the middle for 3 yards (tackle by Fred Warner),0.600,0.300
3,13:38,3,3,MIA 32,30,7,Ryan Fitzpatrick pass complete short right to Mike Gesicki for 4 yards (tackle by Jaquiski Tartt),0.300,1.330
3,12:58,1,10,MIA 36,30,7,Matt Breida right end for no gain (tackle by Kwon Alexander),1.330,0.790
3,12:15,2,10,MIA 36,30,7,Ryan Fitzpatrick pass complete short left to Myles Gaskin for 7 yards (tackle by Dre Greenlaw),0.790,1.030
3,11:41,3,3,MIA 43,30,7,Ryan Fitzpatrick pass incomplete short left intended for Jakeem Grant,1.030,-0.520
3,11:37,4,3,MIA 43,30,7,Matt Haack punts 31 yards downed by Calvin Munson,-0.520,-0.670
3,11:27,1,10,SFO 26,30,7,Raheem Mostert right end for 9 yards (tackle by Xavien Howard),0.670,1.350
3,10:53,2,1,SFO 35,30,7,Kyle Juszczyk up the middle for 4 yards (tackle by Andrew Van Ginkel and Zach Sieler),1.350,1.530
3,10:19,1,10,SFO 39,30,7,C.J. Beathard pass incomplete short middle intended for Deebo Samuel,1.530,0.990
3,10:15,2,10,SFO 39,30,7,C.J. Beathard pass incomplete deep left intended for Brandon Aiyuk,0.990,0.300
3,10:10,3,10,SFO 39,30,7,"C.J. Beathard sacked by and Emmanuel Ogbah for no gain and Kamu Grugier-Hill for no gain. Penalty on Nik Needham: Illegal Contact, 5 yards (no play)",0.300,1.860
3,9:40,1,10,SFO 44,30,7,Deebo Samuel left end for 3 yards (tackle by Christian Wilkins),1.860,1.720
3,9:04,2,7,SFO 47,30,7,C.J. Beathard pass incomplete deep left intended for Brandon Aiyuk,1.720,1.030
3,8:58,3,7,SFO 47,30,7,"C.J. Beathard pass incomplete short right intended for Kendrick Bourne (defended by Nik Needham). Penalty on Kamu Grugier-Hill: Roughing the Passer, 15 yards (no play)",1.030,3.050
3,8:53,1,10,MIA 38,30,7,Raheem Mostert up the middle for 7 yards (tackle by Jerome Baker and Emmanuel Ogbah),3.050,3.450
3,8:26,2,3,MIA 31,30,7,C.J. Beathard pass complete short left to George Kittle for 12 yards (tackle by Nik Needham),3.450,4.310
3,8:16,1,10,MIA 19,30,13,"C.J. Beathard pass complete short right to Kendrick Bourne for 19 yards, touchdown",4.310,7.000
3,8:07,,,MIA 15,30,14,Robbie Gould kicks extra point good,0.000,0.000
3,8:07,,,SFO 35,30,14,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,8:07,1,10,MIA 25,30,14,Ryan Fitzpatrick pass complete short left to Chandler Cox for 6 yards (tackle by Ahkello Witherspoon),0.610,0.870
3,7:32,2,4,MIA 31,30,14,Jakeem Grant left end for -12 yards (tackle by Kevin Givens),0.870,-1.510
3,6:49,3,16,MIA 19,30,14,Ryan Fitzpatrick pass complete short middle to Myles Gaskin for 15 yards (tackle by Jaquiski Tartt),-1.510,-1.110
3,6:33,4,1,MIA 34,30,14,Clayton Fejedelem up the middle for 1 yard (tackle by Arik Armstead),-1.110,1.270
3,6:03,1,10,MIA 35,30,14,Ryan Fitzpatrick pass complete short left to Matt Breida for 31 yards (tackle by Jimmie Ward),1.270,3.310
3,5:30,1,10,SFO 34,30,14,Myles Gaskin right guard for 2 yards (tackle by Kentavius Street),3.310,3.040
3,4:48,2,8,SFO 32,36,14,"Ryan Fitzpatrick pass complete deep middle to Preston Williams for 32 yards, touchdown, touchdown",3.040,7.000
3,4:42,,,SFO 15,37,14,Jason Sanders kicks extra point good,0.000,0.000
3,4:42,,,MIA 35,37,14,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
3,4:42,1,10,SFO 25,37,14,C.J. Beathard pass complete short right to Raheem Mostert for 15 yards (tackle by Bobby McCain),0.610,1.600
3,4:03,1,10,SFO 40,37,14,C.J. Beathard pass incomplete short left intended for Jeff Wilson,1.600,1.050
3,3:57,2,10,SFO 40,37,14,"C.J. Beathard pass incomplete short middle intended for Brandon Aiyuk. Penalty on Nik Needham: Defensive Pass Interference, 10 yards (no play)",1.050,2.260
3,3:54,1,10,SFO 50,37,14,"C.J. Beathard pass incomplete short right. Penalty on Jamal Perry: Defensive Holding, 5 yards (no play)",2.260,2.590
3,3:46,1,10,MIA 45,37,14,Jeff Wilson left tackle for 9 yards (tackle by Kyle Van Noy),2.590,3.260
3,3:20,2,1,MIA 36,37,14,Jeff Wilson right guard for 9 yards (tackle by Kamu Grugier-Hill),3.260,3.780
3,2:52,1,10,MIA 27,37,14,C.J. Beathard pass complete short middle to George Kittle for 12 yards (tackle by Eric Rowe),3.780,4.580
3,2:25,,,,,,Timeout #1 by Miami Dolphins,,
3,2:25,1,10,MIA 15,37,14,C.J. Beathard pass incomplete short left intended for Kyle Juszczyk,4.580,3.950
3,2:18,2,10,MIA 15,37,14,C.J. Beathard sacked by Jerome Baker for -9 yards,3.950,2.150
3,1:34,,,,,,Timeout #1 by San Francisco 49ers,,
3,1:34,3,19,MIA 24,37,14,C.J. Beathard pass complete short left to Jerick McKinnon for 5 yards (tackle by Jerome Baker),2.150,2.180
3,0:51,4,14,MIA 19,37,17,Robbie Gould 37 yard field goal good,2.180,3.000
3,0:46,,,SFO 35,37,17,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,0:46,1,10,MIA 25,37,17,Myles Gaskin up the middle for 5 yards (tackle by Ahkello Witherspoon),0.610,0.740
Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,MIA 30,37,17,Myles Gaskin right guard for 4 yards (tackle by Kwon Alexander),0.740,0.560
4,14:19,3,1,MIA 34,37,17,"Lynn Bowden right guard for 6 yards (tackle by Jimmie Ward). Penalty on Adam Shaheen: Offensive Holding, 9 yards (no play)",0.560,-0.620
4,13:47,,,,,,Timeout #2 by Miami Dolphins,,
4,13:47,3,10,MIA 25,37,17,"Ryan Fitzpatrick pass incomplete short left intended for Mike Gesicki (defended by Ahkello Witherspoon). Penalty on Ahkello Witherspoon: Defensive Pass Interference, 16 yards (no play)",-0.620,1.660
4,13:42,1,10,MIA 41,37,17,Myles Gaskin left guard for 21 yards (tackle by Jaquiski Tartt),1.660,3.050
4,12:57,1,10,SFO 38,37,17,Matt Breida up the middle for 2 yards (tackle by Javon Kinlaw),3.050,2.780
4,12:13,2,8,SFO 36,37,17,"Penalty on Javon Kinlaw: Neutral Zone Infraction, 5 yards (no play)",2.780,3.450
4,11:47,2,3,SFO 31,37,17,Matt Breida up the middle for 12 yards (tackle by Dre Greenlaw),3.450,4.310
4,11:02,1,10,SFO 19,37,17,Matt Breida right guard for 1 yard (tackle by Ahkello Witherspoon and Dion Jordan),4.310,3.880
4,10:16,2,9,SFO 18,37,17,Ryan Fitzpatrick pass complete short middle to Myles Gaskin for 4 yards (tackle by Fred Warner and Dre Greenlaw),3.880,3.760
4,9:29,3,5,SFO 14,37,17,Myles Gaskin right guard for 1 yard (tackle by Javon Kinlaw),3.760,2.640
4,8:45,4,4,SFO 13,40,17,Jason Sanders 31 yard field goal good,2.640,3.000
4,8:40,,,MIA 35,40,17,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,8:40,1,10,SFO 25,40,17,C.J. Beathard pass complete short right to Raheem Mostert for 9 yards (tackle by Kamu Grugier-Hill and Nik Needham),0.610,1.280
4,8:21,2,1,SFO 34,40,17,C.J. Beathard pass incomplete short right intended for Deebo Samuel,1.280,0.560
4,8:14,3,1,SFO 34,40,17,Raheem Mostert up the middle for -1 yards (tackle by Kyle Van Noy and Andrew Van Ginkel),0.560,-1.180
4,7:36,4,2,SFO 33,40,17,C.J. Beathard pass incomplete deep middle intended for Brandon Aiyuk,-1.180,-3.380
4,7:32,1,10,SFO 33,40,17,Matt Breida right guard for no gain (tackle by Jason Verrett),3.380,2.840
4,6:47,2,10,SFO 33,40,17,Matt Breida up the middle for no gain (tackle by Kwon Alexander),2.840,2.150
4,6:02,3,10,SFO 33,40,17,Myles Gaskin up the middle for 2 yards (tackle by Dre Greenlaw),2.150,1.320
4,5:57,,,,,,Timeout #2 by San Francisco 49ers,,
4,5:57,4,8,SFO 31,43,17,Jason Sanders 49 yard field goal good,1.320,3.000
4,5:52,,,MIA 35,43,17,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
4,5:52,1,10,SFO 25,43,17,C.J. Beathard pass complete short right to George Kittle for 9 yards (tackle by Jerome Baker and Brandon Jones),0.610,1.280
4,5:34,2,1,SFO 34,43,17,C.J. Beathard pass complete short right to Deebo Samuel for 4 yards (tackle by Samuel Eguavoen),1.280,1.470
4,5:14,1,10,SFO 38,43,17,C.J. Beathard pass incomplete short middle intended for George Kittle,1.470,0.920
4,5:11,2,10,SFO 38,43,17,C.J. Beathard pass complete short right to Brandon Aiyuk for 9 yards (tackle by Brandon Jones),0.920,1.420
4,4:50,3,1,SFO 47,43,17,Jeff Wilson right tackle for 5 yards (tackle by Samuel Eguavoen),1.420,2.390
4,4:33,1,10,MIA 48,43,17,"C.J. Beathard pass complete short left to George Kittle for 6 yards (tackle by Jamal Perry). Penalty on Trent Williams: Offensive Holding, 10 yards (no play)",2.390,1.730
4,4:26,1,20,SFO 42,43,17,C.J. Beathard pass incomplete short left intended for George Kittle,1.730,0.500
4,4:17,2,20,SFO 42,43,17,"C.J. Beathard sacked by Emmanuel Ogbah for -11 yards. C.J. Beathard fumbles (forced by Emmanuel Ogbah), recovered by Christian Wilkins at SF-31",0.500,-3.510
4,4:09,1,10,SFO 31,43,17,Myles Gaskin right end for 9 yards (tackle by Jimmie Ward),3.510,4.180
4,3:22,2,1,SFO 22,43,17,Myles Gaskin up the middle for no gain (tackle by Fred Warner),4.180,3.470
4,2:38,3,1,SFO 22,43,17,Myles Gaskin left guard for no gain (tackle by Fred Warner),3.470,2.140
4,2:00,4,1,SFO 22,43,17,Lynn Bowden left tackle for 2 yards (tackle by Jimmie Ward),2.140,4.240
4,1:15,1,10,SFO 20,43,17,Ryan Fitzpatrick kneels for -1 yards,4.240,3.560
4,0:35,2,11,SFO 21,43,17,Ryan Fitzpatrick kneels for no gain,3.560,2.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
