Quarter,Time,Tm,Detail,DEN,HOU
1.0,8:50,Broncos,Matt Prater 32 yard field goal,3,0
,2:02,Texans,Randy Bullock 45 yard field goal,3,3
2.0,14:54,Broncos,Demaryius Thomas 36 yard pass from Peyton Manning (Matt Prater kick),10,3
,6:06,Texans,Randy Bullock 35 yard field goal,10,6
,0:56,Broncos,Matt Prater 25 yard field goal,13,6
,0:00,Broncos,Matt Prater 44 yard field goal,16,6
3.0,10:33,Texans,Keshawn Martin 15 yard pass from Matt Schaub (Randy Bullock kick),16,13
4.0,13:26,Broncos,Eric Decker 10 yard pass from Peyton Manning (Matt Prater kick),23,13
,6:57,Broncos,Eric Decker 20 yard pass from Peyton Manning (Matt Prater kick),30,13
,4:28,Broncos,Julius Thomas 25 yard pass from Peyton Manning (Matt Prater kick),37,13
