#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:28,DEN 8,12,4:38,78,Field Goal
2,1,7:38,DEN 30,5,2:32,44,Downs
3,1,2:02,DEN 36,5,2:08,64,Touchdown
4,2,11:36,DEN 11,4,1:45,22,Punt
5,2,6:06,DEN 25,13,5:10,69,Field Goal
6,2,0:26,DEN 31,4,0:26,43,Field Goal
7,3,15:00,DEN 17,3,1:13,5,Punt
8,3,10:33,DEN 22,3,0:53,-3,Punt
9,3,7:05,DEN 24,3,0:59,4,Punt
10,3,2:45,DEN 20,5,2:24,22,Punt
11,4,14:11,HOU 28,2,0:45,28,Touchdown
12,4,10:00,DEN 45,8,3:03,55,Touchdown
13,4,5:16,DEN 44,3,0:48,56,Touchdown
14,4,3:13,DEN 22,3,2:09,6,Punt
