Unnamed: 0,SFO,DAL
First Downs,19,26
Rush-Yds-TDs,30-127-1,23-127-1
Cmp-Att-Yd-TD-INT,16-23-201-2-0,23-37-281-1-3
Sacked-Yards,1-9,3-26
Net Pass Yards,192,255
Total Yards,319,382
Fumbles-Lost,0-0,3-1
Turnovers,0,4
Penalties-Yards,11-78,10-72
Third Down Conv.,7-12,5-9
Fourth Down Conv.,0-0,1-1
Time of Possession,28:36,31:24
