Quarter,Time,Tm,Detail,NWE,NYJ
1.0,14:12,Patriots,David Givens 35 yard pass from Tom Brady (Adam Vinatieri kick),7,0
,4:52,Jets,Chad Pennington 1 yard rush (Doug Brien kick),7,7
2.0,13:24,Patriots,Willie McGinest 15 yard interception return (Adam Vinatieri kick),14,7
,0:01,Jets,Doug Brien 29 yard field goal,14,10
3.0,10:53,Patriots,David Givens 5 yard pass from Tom Brady (Adam Vinatieri kick),21,10
4.0,12:11,Jets,Chad Pennington 10 yard rush (pass failed),21,16
