Quarter,Time,Tm,Detail,CLE,BAL
1,8:30,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),0,7
,3:11,Browns,Travis Coons 43 yard field goal,3,7
,0:16,Ravens,Kyle Juszczyk 8 yard pass from Joe Flacco (Justin Tucker kick),3,14
2,4:05,Browns,Travis Coons 43 yard field goal,6,14
,0:00,Browns,Travis Coons 37 yard field goal,9,14
3,7:47,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),9,21
,1:06,Browns,Josh McCown 10 yard rush (Travis Coons kick),16,21
4,12:23,Browns,Gary Barnidge 18 yard pass from Josh McCown (pass failed),22,21
,5:56,Ravens,Justin Forsett 1 yard rush (pass failed),22,27
,3:03,Browns,Isaiah Crowell 22 yard pass from Josh McCown (Andrew Hawkins pass from Josh McCown),30,27
,0:25,Ravens,Justin Tucker 23 yard field goal,30,30
OT,6:43,Browns,Travis Coons 32 yard field goal,33,30
