Unnamed: 0,CLE,BAL
First Downs,25,22
Rush-Yds-TDs,25-83-1,31-181-3
Cmp-Att-Yd-TD-INT,36-51-457-2-0,19-35-210-1-0
Sacked-Yards,4-35,1-14
Net Pass Yards,422,196
Total Yards,505,377
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,9-74,12-98
Third Down Conv.,12-19,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,39:16,29:01
