Quarter,Time,Tm,Detail,DEN,OAK
1.0,8:07,Raiders,Tim Dwight 15 yard pass from Josh McCown (Sebastian Janikowski kick),0,7
,0:46,Broncos,Travis Henry 4 yard rush (Jason Elam kick),7,7
2.0,0:50,Raiders,Zach Miller 13 yard pass from Josh McCown (Sebastian Janikowski kick),7,14
3.0,12:40,Raiders,Sebastian Janikowski 38 yard field goal,7,17
,10:55,Raiders,Jerry Porter 13 yard pass from Josh McCown (Sebastian Janikowski kick),7,24
,7:25,Broncos,Jason Elam 29 yard field goal,10,24
,1:37,Broncos,Jason Elam 44 yard field goal,13,24
4.0,11:21,Broncos,Travis Henry 3 yard rush (Jason Elam kick),20,24
,8:56,Raiders,Sebastian Janikowski 44 yard field goal,20,27
,3:04,Raiders,Justin Fargas 5 yard rush (Sebastian Janikowski kick),20,34
