Unnamed: 0,DEN,OAK
First Downs,14,20
Rush-Yds-TDs,29-86-2,41-175-1
Cmp-Att-Yd-TD-INT,16-32-214-0-2,18-28-197-3-0
Sacked-Yards,1-8,0-0
Net Pass Yards,206,197
Total Yards,292,372
Fumbles-Lost,2-2,4-1
Turnovers,4,1
Penalties-Yards,5-25,3-20
Third Down Conv.,7-15,6-15
Fourth Down Conv.,0-1,0-2
Time of Possession,25:40,34:20
