Quarter,Time,Tm,Detail,MIN,NOR
1.0,12:56,Saints,Devery Henderson 29 yard pass from Drew Brees (Garrett Hartley kick),0,7
2.0,5:28,Vikings,Ryan Longwell 41 yard field goal,3,7
,0:34,Vikings,Visanthe Shiancoe 20 yard pass from Brett Favre (Ryan Longwell kick failed),9,7
3.0,6:13,Saints,Pierre Thomas 1 yard rush (Garrett Hartley kick),9,14
