Quarter,Time,Tm,Detail,WAS,SEA
2.0,8:59,Redskins,John Hall 26 yard field goal,3,0
,3:22,Seahawks,Darrell Jackson 29 yard pass from Matt Hasselbeck (Josh Brown kick),3,7
3.0,9:35,Seahawks,Matt Hasselbeck 6 yard rush (Josh Brown kick),3,14
4.0,14:16,Seahawks,Josh Brown 33 yard field goal,3,17
,11:59,Redskins,Santana Moss 20 yard pass from Mark Brunell (John Hall kick),10,17
,2:54,Seahawks,Josh Brown 31 yard field goal,10,20
