Unnamed: 0,WAS,SEA
First Downs,11,15
Rush-Yds-TDs,25-59-0,33-119-1
Cmp-Att-Yd-TD-INT,22-38-242-1-0,16-26-215-1-0
Sacked-Yards,2-12,0-0
Net Pass Yards,230,215
Total Yards,289,334
Fumbles-Lost,1-1,5-3
Turnovers,1,3
Penalties-Yards,7-50,2-10
Third Down Conv.,5-19,7-14
Fourth Down Conv.,2-4,0-0
Time of Possession,32:15,27:45
