Quarter,Time,Tm,Detail,IND,NWE
1.0,10:15,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),0,7
,1:20,Patriots,James Develin 1 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2.0,4:54,Colts,Zurlon Tipton 1 yard rush (Adam Vinatieri kick),7,14
,0:09,Patriots,Stephen Gostkowski 21 yard field goal,7,17
3.0,10:03,Patriots,Nate Solder 16 yard pass from Tom Brady (Stephen Gostkowski kick),7,24
,3:19,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),7,31
,2:08,Patriots,LeGarrette Blount 13 yard rush (Stephen Gostkowski kick),7,38
4.0,10:05,Patriots,LeGarrette Blount 2 yard rush (Stephen Gostkowski kick),7,45
