Unnamed: 0,IND,NWE
First Downs,17,28
Rush-Yds-TDs,19-83-1,40-177-3
Cmp-Att-Yd-TD-INT,12-33-126-0-2,23-35-226-3-1
Sacked-Yards,0-0,1-6
Net Pass Yards,126,220
Total Yards,209,397
Fumbles-Lost,1-1,1-0
Turnovers,3,1
Penalties-Yards,3-23,6-45
Third Down Conv.,3-11,12-18
Fourth Down Conv.,0-0,2-2
Time of Possession,22:11,37:49
