Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 35 yards, returned by Jared DeVries for 5 yards (tackle by William Henderson)",0.000,1.600
1,14:55,1,10,DET 40,0,0,Kevin Jones left tackle for 4 yards (tackle by Darren Sharper and Nick Barnett),1.600,1.590
1,14:21,2,6,DET 44,0,0,Kevin Jones left end for 6 yards (tackle by Al Harris and Paris Lenon). Penalty on Ahmad Carroll: Defensive Offside (Declined),1.590,2.260
1,13:57,1,10,GNB 50,0,0,Joey Harrington pass incomplete intended for Tai Streets (defended by Ahmad Carroll),2.260,1.710
1,13:53,2,10,GNB 50,0,0,Kevin Jones for 9 yards (tackle by Hannibal Navies),1.710,2.210
1,13:27,3,1,GNB 41,0,0,Kevin Jones right guard for no gain (tackle by Aaron Kampman and Paris Lenon),2.210,0.530
1,12:50,4,1,GNB 41,0,0,"Nick Harris punts 41 yards, touchback",0.530,-0.280
1,12:42,1,10,GNB 20,0,0,Ahman Green right end for 8 yards (tackle by Bracy Walker),0.280,0.810
1,12:07,2,2,GNB 28,0,0,Brett Favre pass incomplete intended for Ahman Green,0.810,0.100
1,12:02,3,2,GNB 28,0,0,Brett Favre pass incomplete intended for Donald Driver,0.100,-1.500
1,11:58,4,2,GNB 28,0,0,Bryan Barker punts 36 yards (tackle by Rob Davis),-1.500,-1.600
1,11:50,1,10,DET 40,0,0,Kevin Jones left guard for -1 yards (tackle by Kenny Peterson),1.600,0.920
1,11:10,2,11,DET 39,0,0,"Joey Harrington pass complete to Cory Schlesinger for 8 yards (tackle by Ahmad Carroll). Penalty on Al Harris: Illegal Use of Hands, 5 yards (no play)",0.920,1.860
1,10:42,1,10,DET 44,0,0,"Joey Harrington pass incomplete intended for Tai Streets. Penalty on Ahmad Carroll: Defensive Pass Interference, 27 yards (no play)",1.860,3.640
