Quarter,Time,Tm,Detail,JAX,HOU
1.0,10:57,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),7,0
2.0,7:57,Jaguars,Josh Scobee 30 yard field goal,10,0
,0:29,Texans,Randy Bullock 49 yard field goal,10,3
3.0,8:26,Texans,Randy Bullock 20 yard field goal,10,6
4.0,6:44,Jaguars,Josh Scobee 53 yard field goal,13,6
