Unnamed: 0,CIN,BUF
First Downs,26,20
Rush-Yds-TDs,41-165-0,32-130-1
Cmp-Att-Yd-TD-INT,26-40-337-3-1,19-32-216-2-0
Sacked-Yards,3-19,5-24
Net Pass Yards,318,192
Total Yards,483,322
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,8-78,4-27
Third Down Conv.,7-18,8-17
Fourth Down Conv.,1-1,1-2
Time of Possession,42:52,25:24
