Quarter,Time,Down,ToGo,Location,CIN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 74 yards, touchback",0.000,-0.280
1,15:00,1,10,CIN 20,0,0,Andy Dalton pass complete short right to A.J. Green for 8 yards (tackle by Da'Norris Searcy),0.280,0.810
1,14:23,2,2,CIN 28,0,0,BenJarvus Green-Ellis left tackle for 6 yards (tackle by Alan Branch and Kiko Alonso),0.810,1.200
1,13:47,1,10,CIN 34,0,0,Marvin Jones left end for 34 yards (tackle by Jairus Byrd and Da'Norris Searcy),1.200,3.450
1,12:59,1,10,BUF 32,0,0,Andy Dalton left end for 4 yards (tackle by Manny Lawson),3.450,3.440
1,12:27,2,6,BUF 28,0,0,Andy Dalton pass incomplete short left intended for Marvin Jones (defended by Aaron Williams),3.440,2.740
1,12:23,3,6,BUF 28,0,0,Andy Dalton pass incomplete short right intended for Marvin Jones (defended by Leodis McKelvin),2.740,1.610
1,12:19,4,6,BUF 28,3,0,Mike Nugent 46 yard field goal good,1.610,3.000
1,12:19,,,CIN 35,3,0,"Mike Nugent kicks off 45 yards, returned by Jay Ross for 7 yards (tackle by Dre Kirkpatrick)",0.000,-0.740
1,12:12,1,10,BUF 27,3,0,Fred Jackson up the middle for 8 yards (tackle by George Iloka and Domata Peko),0.740,1.280
1,11:46,2,2,BUF 35,3,0,Fred Jackson right tackle for -2 yards (tackle by Carlos Dunlap and Geno Atkins),1.280,0.300
1,11:13,3,4,BUF 33,3,0,Thaddeus Lewis pass complete deep left to T.J. Graham for 47 yards,0.300,4.240
1,10:42,1,10,CIN 20,3,0,"Thaddeus Lewis left tackle for 4 yards (tackle by Wallace Gilberry). Penalty on Vontaze Burfict: Unnecessary Roughness, 8 yards",4.240,5.370
1,10:29,1,8,CIN 8,3,0,Thaddeus Lewis pass complete short left to Tashard Choice for 5 yards,5.370,5.530
1,10:05,2,3,CIN 3,3,6,"Thaddeus Lewis left guard for 3 yards, touchdown",5.530,7.000
1,10:05,,,CIN 2,3,7,Dan Carpenter kicks extra point good,0.000,0.000
1,10:05,,,BUF 35,3,7,"Dan Carpenter kicks off 69 yards, returned by Brandon Tate for 21 yards (tackle by Marcus Easley)",0.000,0.060
1,9:57,1,10,CIN 17,3,7,Giovani Bernard left tackle for 3 yards (tackle by Stephon Gilmore),-0.060,-0.060
1,9:28,2,7,CIN 20,3,7,Andy Dalton pass complete short right to Giovani Bernard for 15 yards (tackle by Leodis McKelvin and Kiko Alonso),-0.060,1.270
1,8:48,1,10,CIN 35,3,7,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",1.270,1.270
1,8:19,1,10,CIN 35,3,7,Timeout #1 by Cincinnati Bengals,1.270,0.940
1,8:18,1,15,CIN 30,3,7,BenJarvus Green-Ellis up the middle for no gain (tackle by Jerry Hughes and Kyle Williams),0.940,0.050
1,7:40,2,15,CIN 30,3,7,Andy Dalton pass complete short left to Marvin Jones for 42 yards (tackle by Da'Norris Searcy),0.050,3.710
1,7:00,1,10,BUF 28,3,7,Andy Dalton pass complete short left to Jermaine Gresham for 4 yards (tackle by Da'Norris Searcy),3.710,3.710
1,6:18,2,6,BUF 24,3,7,Andy Dalton pass incomplete short middle intended for Jermaine Gresham (defended by Jairus Byrd),3.710,3.010
1,6:14,3,6,BUF 24,3,7,Andy Dalton up the middle for 6 yards (tackle by Kiko Alonso and Jerry Hughes),3.010,4.370
1,5:32,1,10,BUF 18,9,7,"Andy Dalton pass complete deep right to A.J. Green for 18 yards, touchdown",4.370,7.000
1,5:32,,,BUF 2,10,7,Mike Nugent kicks extra point good,0.000,0.000
1,5:32,,,CIN 35,10,7,"Mike Nugent kicks off 67 yards, returned by Marquise Goodwin for 25 yards (tackle by Reggie Nelson)",0.000,-0.480
1,5:21,1,10,BUF 23,10,7,Marquise Goodwin left tackle for -1 yards (tackle by James Harrison),0.480,-0.200
1,5:01,2,11,BUF 22,10,7,C.J. Spiller left tackle for 10 yards,-0.200,0.430
1,4:37,3,1,BUF 32,10,7,Thaddeus Lewis up the middle for 2 yards (tackle by Vontaze Burfict),0.430,1.200
1,4:09,1,10,BUF 34,10,7,Thaddeus Lewis pass incomplete short left intended for T.J. Graham,1.200,0.660
1,4:04,2,10,BUF 34,10,7,C.J. Spiller left tackle for 9 yards,0.660,1.160
1,3:43,3,1,BUF 43,10,7,Fred Jackson up the middle for 11 yards (tackle by Reggie Nelson),1.160,2.520
1,3:17,1,10,CIN 46,10,7,"Thaddeus Lewis pass complete short middle to Fred Jackson for no gain. Penalty on Vontaze Burfict: Face Mask (15 Yards), 15 yards",2.520,3.510
1,3:07,1,10,CIN 31,10,7,C.J. Spiller up the middle for 2 yards (tackle by Wallace Gilberry and Brandon Thompson),3.510,3.240
1,2:39,2,8,CIN 29,10,7,C.J. Spiller left tackle for 7 yards,3.240,3.470
1,2:07,3,1,CIN 22,10,7,Tashard Choice up the middle for 3 yards (tackle by Wallace Gilberry and Devon Still),3.470,4.310
1,1:40,1,10,CIN 19,10,7,Tashard Choice up the middle for 4 yards (tackle by Devon Still and Michael Johnson),4.310,4.350
1,1:11,2,6,CIN 15,10,7,Tashard Choice up the middle for 13 yards (tackle by George Iloka and Terence Newman),4.350,6.740
1,0:35,1,2,CIN 2,10,7,Fred Jackson right guard for 1 yard (tackle by Geno Atkins and Vincent Rey),6.740,5.910
Quarter,Time,Down,ToGo,Location,CIN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,CIN 1,10,7,Fred Jackson right guard for no gain (tackle by Vontaze Burfict and James Harrison),5.910,5.170
2,14:26,3,1,CIN 1,10,7,Fred Jackson right guard for no gain (tackle by Taylor Mays and Vincent Rey),5.170,3.550
2,13:46,4,1,CIN 1,10,7,Thaddeus Lewis sacked by James Harrison and Vincent Rey for -1 yards,3.550,0.380
2,13:41,1,10,CIN 2,10,7,BenJarvus Green-Ellis up the middle for 2 yards (tackle by Marcell Dareus and Nigel Bradham),-0.380,-0.630
2,12:59,2,8,CIN 4,10,7,BenJarvus Green-Ellis left tackle for 7 yards (tackle by Kiko Alonso),-0.630,-0.370
2,12:24,3,1,CIN 11,10,7,BenJarvus Green-Ellis right guard for 3 yards (tackle by Kyle Williams),-0.370,-0.280
2,11:39,1,10,CIN 14,10,7,Giovani Bernard right guard for 1 yard (tackle by Kiko Alonso and Nigel Bradham),-0.280,-0.640
2,11:00,2,9,CIN 15,10,7,Andy Dalton pass complete short left to A.J. Green for 54 yards (tackle by Da'Norris Searcy),-0.640,3.510
2,10:26,1,10,BUF 31,10,7,Giovani Bernard left tackle for 3 yards (tackle by Alan Branch and Kiko Alonso),3.510,3.370
2,9:49,2,7,BUF 28,10,7,Andy Dalton pass complete short right to Brandon Tate for 6 yards (tackle by Leodis McKelvin),3.370,3.470
2,9:20,3,1,BUF 22,10,7,Giovani Bernard up the middle for 2 yards (tackle by Da'Norris Searcy and Manny Lawson),3.470,4.240
2,8:42,1,10,BUF 20,16,7,"Andy Dalton pass complete short middle to Giovani Bernard for 20 yards, touchdown",4.240,7.000
2,8:42,,,BUF 2,17,7,Mike Nugent kicks extra point good,0.000,0.000
2,8:42,,,CIN 35,17,7,"Mike Nugent kicks off 66 yards, returned by Marquise Goodwin for 23 yards (tackle by Cedric Peerman)",0.000,-0.410
2,8:27,1,10,BUF 22,17,7,Thaddeus Lewis pass complete short right to C.J. Spiller for 8 yards (tackle by Terence Newman),0.410,0.950
2,7:50,2,2,BUF 30,17,7,C.J. Spiller left tackle for 1 yard (tackle by Leon Hall and Rey Maualuga),0.950,0.370
2,7:16,3,1,BUF 31,17,7,Thaddeus Lewis pass complete short right to Robert Woods for 3 yards (tackle by George Iloka),0.370,1.200
2,6:46,1,10,BUF 34,17,7,Tashard Choice up the middle for 4 yards (tackle by George Iloka and Vontaze Burfict),1.200,1.200
2,6:12,2,6,BUF 38,17,7,Thaddeus Lewis pass complete short middle to C.J. Spiller for 3 yards (tackle by Leon Hall),1.200,0.890
2,5:43,3,3,BUF 41,17,7,"Thaddeus Lewis pass complete short middle to T.J. Graham for 4 yards (tackle by Vontaze Burfict). Penalty on Vontaze Burfict: Unnecessary Roughness, 15 yards",0.890,2.920
2,5:33,1,10,CIN 40,17,7,Fred Jackson up the middle for 2 yards (tackle by Carlos Dunlap and Rey Maualuga),2.920,2.640
2,5:04,2,8,CIN 38,17,7,Thaddeus Lewis up the middle for 5 yards (tackle by Vontaze Burfict),2.640,2.610
2,4:22,3,3,CIN 33,17,7,Thaddeus Lewis pass incomplete short right intended for Chris Hogan (defended by Terence Newman),2.610,1.190
2,4:19,4,3,CIN 33,17,10,Dan Carpenter 51 yard field goal good,1.190,3.000
2,4:19,,,BUF 35,17,10,"Dan Carpenter kicks off 66 yards, returned by Brandon Tate for 28 yards (tackle by Jamaal Westerman)",0.000,-0.740
2,4:08,1,10,CIN 27,17,10,BenJarvus Green-Ellis up the middle for 8 yards (tackle by Manny Lawson and Jairus Byrd),0.740,1.280
2,3:28,2,2,CIN 35,17,10,BenJarvus Green-Ellis up the middle for 25 yards (tackle by Da'Norris Searcy and Aaron Williams),1.280,2.920
2,2:51,1,10,BUF 40,17,10,Andy Dalton pass complete short left to Mohamed Sanu for 10 yards (tackle by Jerry Hughes and Kiko Alonso),2.920,3.580
2,2:08,1,10,BUF 30,17,10,Giovani Bernard left guard for 3 yards (tackle by Nigel Bradham and Kiko Alonso),3.580,3.440
2,2:00,2,7,BUF 27,17,10,Andy Dalton pass incomplete deep right intended for Tyler Eifert,3.440,3.440
2,1:54,2,7,BUF 27,17,10,Timeout #1 by Buffalo Bills,3.440,2.740
2,1:54,3,7,BUF 27,17,10,Andy Dalton pass incomplete short right intended for A.J. Green is intercepted by Jim Leonhard at BUF-21 and returned for 41 yards (tackle by BenJarvus Green-Ellis),2.740,-3.050
2,1:44,1,10,CIN 38,17,10,Thaddeus Lewis pass complete short left to Fred Jackson for -3 yards (tackle by Vontaze Burfict),3.050,2.100
2,1:18,2,13,CIN 41,17,10,Thaddeus Lewis sacked by Domata Peko and Geno Atkins for -7 yards,2.100,0.500
2,0:43,3,20,CIN 48,17,10,Thaddeus Lewis pass incomplete short left intended for Scott Chandler,0.500,0.070
2,0:39,4,20,CIN 48,17,10,"Brian Moorman punts 47 yards, out of bounds",0.070,0.380
,,,,,,,"Replay Assistant challenged the touchback ruling, and the original play was overturned.",,
