Unnamed: 0,CLE,NYG
First Downs,15,30
Rush-Yds-TDs,19-84-1,34-243-2
Cmp-Att-Yd-TD-INT,22-35-291-2-2,25-37-259-3-1
Sacked-Yards,0-0,0-0
Net Pass Yards,291,259
Total Yards,375,502
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,10-91,3-25
Third Down Conv.,3-12,6-11
Fourth Down Conv.,2-2,0-0
Time of Possession,24:36,35:24
