Quarter,Time,Tm,Detail,CLE,NYG
1.0,14:08,Browns,Trent Richardson 15 yard rush (Phil Dawson kick),7,0
,10:03,Browns,Josh Gordon 62 yard pass from Brandon Weeden (Phil Dawson kick),14,0
,3:22,Giants,Victor Cruz 3 yard pass from Eli Manning (Lawrence Tynes kick),14,7
2.0,13:39,Browns,Phil Dawson 32 yard field goal,17,7
,6:46,Giants,Lawrence Tynes 29 yard field goal,17,10
,2:52,Giants,Ahmad Bradshaw 4 yard rush (Lawrence Tynes kick),17,17
,1:10,Giants,Victor Cruz 7 yard pass from Eli Manning (Lawrence Tynes kick),17,24
,0:00,Giants,Lawrence Tynes 40 yard field goal,17,27
3.0,5:06,Giants,Victor Cruz 28 yard pass from Eli Manning (Lawrence Tynes kick),17,34
,3:27,Browns,Phil Dawson 41 yard field goal,20,34
4.0,5:41,Giants,David Wilson 40 yard rush (Lawrence Tynes kick),20,41
,3:56,Browns,Josh Gordon 20 yard pass from Brandon Weeden (Phil Dawson kick),27,41
