Unnamed: 0,WAS,CAR
First Downs,13,17
Rush-Yds-TDs,22-54-0,35-110-2
Cmp-Att-Yd-TD-INT,16-35-150-2-1,20-30-317-0-2
Sacked-Yards,3-23,0-0
Net Pass Yards,127,317
Total Yards,181,427
Fumbles-Lost,2-1,3-2
Turnovers,2,4
Penalties-Yards,0-0,4-69
Third Down Conv.,5-16,5-15
Fourth Down Conv.,0-1,2-2
Time of Possession,25:44,34:16
