Unnamed: 0,NYG,SEA
First Downs,13,21
Rush-Yds-TDs,31-190-1,22-111-0
Cmp-Att-Yd-TD-INT,13-22-105-1-1,27-43-263-1-1
Sacked-Yards,2-5,5-47
Net Pass Yards,100,216
Total Yards,290,327
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,6-35,6-41
Third Down Conv.,3-12,4-13
Fourth Down Conv.,0-0,0-2
Time of Possession,29:49,30:11
