Quarter,Time,Tm,Detail,NYG,SEA
1.0,11:50,Seahawks,Jason Myers 31 yard field goal,0,3
2.0,0:28,Seahawks,"Safety, blocked punt out of bounds in end zone",0,5
3.0,7:40,Giants,Alfred Morris 4 yard rush (Sterling Shepard pass from Colt McCoy),8,5
,2:29,Giants,Alfred Morris 6 yard pass from Colt McCoy (Graham Gano kick failed),14,5
4.0,9:50,Giants,Graham Gano 48 yard field goal,17,5
,6:09,Seahawks,Chris Carson 28 yard pass from Russell Wilson (Jason Myers kick),17,12
