Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
2,6:06,3,1,NYG 47,0,3,"Russell Wilson aborted snap, recovered by Niko Lalos at NYG-48",1.820,-2.130
2,6:02,1,10,NYG 48,0,3,Colt McCoy pass incomplete short right intended for Sterling Shepard,2.130,1.580
2,5:56,2,10,NYG 48,0,3,Alfred Morris left end for 5 yards (tackle by Poona Ford and Jordyn Brooks),1.580,1.550
2,5:12,3,5,SEA 47,0,3,Colt McCoy pass complete short right to C.J. Board for -2 yards (tackle by Shaquill Griffin),1.550,0.000
2,4:28,4,7,SEA 49,0,3,Riley Dixon punts 41 yards downed by Brandon Williams,0.000,0.380
2,4:18,1,10,SEA 8,0,3,Russell Wilson pass complete short left to D.K. Metcalf for 18 yards (tackle by Isaac Yiadom),-0.380,0.670
2,3:44,1,10,SEA 26,0,3,Russell Wilson left end for 7 yards (tackle by Tae Crowder),0.670,1.070
2,2:59,2,3,SEA 33,0,3,Chris Carson right guard for 3 yards (tackle by Niko Lalos and Dexter Lawrence),1.070,1.330
2,2:20,1,10,SEA 36,0,3,Russell Wilson pass complete short right to Jacob Hollister for 6 yards (tackle by Jabaal Sheard and James Bradberry),1.330,1.600
2,2:00,2,4,SEA 42,0,3,Carlos Hyde right guard for 1 yard (tackle by Blake Martinez),1.600,1.030
2,1:22,3,3,SEA 43,0,3,Russell Wilson pass complete short left to D.K. Metcalf for 21 yards (tackle by Jabrill Peppers),1.030,3.180
2,1:16,1,10,NYG 36,0,3,"Russell Wilson pass complete short left to Carlos Hyde for -6 yards (tackle by Blake Martinez). Carlos Hyde fumbles, ball out of bounds at NYG-42 (forced by Blake Martinez). Penalty on Damien Lewis: Ineligible Downfield Pass (Declined)",3.180,1.830
2,1:07,2,16,NYG 42,0,3,Russell Wilson pass incomplete short left intended for Tyler Lockett,1.830,1.160
2,1:02,3,16,NYG 42,0,3,Russell Wilson pass incomplete short left intended for DeeJay Dallas,1.160,0.460
2,0:56,4,16,NYG 42,0,3,Michael Dickson punts 37 yards downed by Ben Burr-Kirven,0.460,0.380
2,0:48,1,10,NYG 5,0,3,Dion Lewis right guard for 3 yards (tackle by Poona Ford),-0.380,-0.560
2,0:43,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:43,2,7,NYG 8,0,3,Dion Lewis up the middle for 3 yards (tackle by Jordyn Brooks and L.J. Collier),-0.560,-0.720
2,0:38,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:38,3,4,NYG 11,0,3,Dion Lewis right end for no gain (tackle by Jamal Adams),-0.720,-2.490
2,0:33,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:33,4,4,NYG 11,0,5,"Riley Dixon punts blocked by Ryan Neal, safety.",-2.490,-2.000
2,0:28,,,NYG 20,0,5,"Riley Dixon kicks off 50 yards, returned by D.J. Reed for 22 yards (tackle by Riley Dixon)",0.000,2.390
2,0:24,1,10,NYG 48,0,5,"Penalty on Jacob Hollister: False Start, 5 yards (no play)",2.390,2.060
2,0:24,1,15,SEA 47,0,5,"Russell Wilson pass incomplete deep left. Penalty on Russell Wilson: Intentional Grounding, 11 yards",2.060,-0.310
2,0:07,2,26,SEA 36,0,5,Russell Wilson up the middle for 19 yards (tackle by Logan Ryan),-0.310,1.550
Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,0,5,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYG 25,0,5,Wayne Gallman up the middle for 5 yards (tackle by Jarran Reed),0.610,0.740
3,14:25,2,5,NYG 30,0,5,Wayne Gallman left guard for 9 yards (tackle by Jamal Adams and Jordyn Brooks),0.740,1.530
3,13:47,1,10,NYG 39,0,5,Wayne Gallman right guard for 2 yards (tackle by Bobby Wagner),1.530,1.260
3,13:09,2,8,NYG 41,0,5,Elijhaa Penny right guard for 3 yards (tackle by D.J. Reed and Jordyn Brooks),1.260,0.960
3,12:26,3,5,NYG 44,0,5,Colt McCoy pass incomplete short middle intended for Sterling Shepard (defended by K.J. Wright),0.960,-0.460
3,12:21,4,5,NYG 44,0,5,"Penalty on Levine Toilolo: False Start, 5 yards (no play)",-0.460,-0.780
3,12:21,4,10,NYG 39,0,5,"Riley Dixon punts 40 yards, fair catch by David Moore at SEA-21",-0.780,-0.340
3,12:15,1,10,SEA 21,0,5,Chris Carson left end for 11 yards (tackle by Logan Ryan),0.340,1.070
3,11:35,1,10,SEA 32,0,5,Russell Wilson left end for 3 yards (tackle by Tae Crowder),1.070,0.930
3,10:56,2,7,SEA 35,0,5,"Russell Wilson pass complete short right to Tyler Lockett for 5 yards (tackle by James Bradberry and Cam Brown). Tyler Lockett fumbles (forced by James Bradberry), recovered by Freddie Swain at SEA-40",0.930,0.890
3,10:07,3,2,SEA 40,0,5,Chris Carson right end for no gain (tackle by Cam Brown). Penalty on Damien Lewis: Offensive Holding (Declined),0.890,-0.720
3,9:54,4,2,SEA 40,0,5,"Michael Dickson punts 60 yards, touchback.",-0.720,-0.280
3,9:47,1,10,NYG 20,0,5,Colt McCoy pass complete short right to Kaden Smith for 3 yards (tackle by Jamal Adams),0.280,0.140
3,9:04,2,7,NYG 23,0,5,Wayne Gallman left end for 60 yards (tackle by Jordyn Brooks),0.140,4.440
3,8:18,1,10,SEA 17,0,5,Alfred Morris left guard for 13 yards (tackle by D.J. Reed and Quandre Diggs),4.440,6.280
3,7:43,1,4,SEA 4,6,5,"Alfred Morris left guard for 4 yards, touchdown",6.280,7.000
3,7:40,,,SEA 2,8,5,"Two Point Attempt: Colt McCoy pass complete to Sterling Shepard, conversion succeeds",1.000,1.000
3,7:40,,,NYG 35,8,5,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,7:40,1,10,SEA 25,8,5,Russell Wilson pass complete short left to D.K. Metcalf for 14 yards (tackle by James Bradberry),0.610,1.530
3,7:06,1,10,SEA 39,8,5,Russell Wilson pass complete short right to Tyler Lockett for 1 yard (tackle by Isaac Yiadom),1.530,1.120
3,6:24,2,9,SEA 40,8,5,Russell Wilson pass complete short left to Carlos Hyde for 5 yards (tackle by Blake Martinez),1.120,1.090
3,5:45,3,4,SEA 45,8,5,Russell Wilson pass complete short right to Will Dissly for 3 yards (tackle by Darnay Holmes),1.090,-0.190
3,5:14,4,1,SEA 48,8,5,Russell Wilson pass incomplete short left intended for Chris Carson (defended by Isaac Yiadom),-0.190,-2.390
3,5:06,1,10,SEA 48,8,5,Wayne Gallman left tackle for 3 yards (tackle by Carlos Dunlap and L.J. Collier),2.390,2.250
3,4:29,2,7,SEA 45,8,5,Wayne Gallman right tackle for 13 yards (tackle by Shaquill Griffin),2.250,3.450
3,3:51,1,10,SEA 32,8,5,Wayne Gallman left guard for 23 yards (tackle by Quandre Diggs and D.J. Reed),3.450,5.140
3,3:11,1,9,SEA 9,8,5,Alfred Morris left guard for 3 yards (tackle by Jamal Adams and Jordyn Brooks),5.140,4.950
3,2:33,2,6,SEA 6,14,5,"Colt McCoy pass complete short right to Alfred Morris for 6 yards, touchdown",4.950,7.000
3,2:29,,,SEA 15,14,5,Graham Gano kicks extra point no good wide left,0.000,-1.000
3,2:29,,,NYG 35,14,5,"Graham Gano kicks off 63 yards, returned by Freddie Swain for 23 yards (tackle by David Mayo)",0.000,0.610
3,2:23,1,10,SEA 25,14,5,Chris Carson left guard for 1 yard (tackle by Jabaal Sheard),0.610,0.200
3,1:49,2,9,SEA 26,14,5,Russell Wilson pass complete short middle to Will Dissly for 10 yards (tackle by Blake Martinez and Jabrill Peppers),0.200,1.330
3,1:18,1,10,SEA 36,14,5,"Chris Carson left end for 1 yard (tackle by Darnay Holmes). Penalty on B.J. Hill: Defensive Holding, 5 yards",1.330,1.730
3,0:52,1,10,SEA 42,14,5,Russell Wilson sacked by Leonard Williams for -15 yards,1.730,-0.840
3,0:04,2,25,SEA 27,14,5,"Russell Wilson pass complete short right to Freddie Swain for 13 yards (tackle by Blake Martinez). Penalty on Jamarco Jones: Illegal Formation, 5 yards (no play)",-0.840,-1.510
Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,30,SEA 22,14,5,Russell Wilson pass complete short middle to Carlos Hyde for 11 yards (tackle by Blake Martinez and Logan Ryan),-1.510,-0.690
4,14:17,3,19,SEA 33,14,5,Russell Wilson right end for 1 yard (tackle by Carter Coughlin),-0.690,-1.110
4,13:41,4,18,SEA 34,14,5,"Michael Dickson punts 66 yards, touchback.",-1.110,-0.280
4,13:33,1,10,NYG 20,14,5,Alfred Morris right guard for 4 yards (tackle by Poona Ford),0.280,0.270
4,12:56,2,6,NYG 24,14,5,Alfred Morris right guard for no gain (tackle by Jordyn Brooks and Shaquill Griffin),0.270,-0.430
4,12:10,3,6,NYG 24,14,5,Colt McCoy left end for 3 yards (tackle by Jamal Adams),-0.430,-1.570
4,11:34,4,3,NYG 27,14,5,Riley Dixon punts 43 yards out of bounds,-1.570,-0.940
4,11:27,1,10,SEA 30,14,5,Russell Wilson pass short middle intended for Chris Carson is intercepted by Darnay Holmes at SEA-39 and returned for no gain,0.940,-2.980
4,11:21,1,10,SEA 39,14,5,Colt McCoy pass incomplete deep right intended for Evan Engram (defended by Bobby Wagner),2.980,2.440
4,11:16,2,10,SEA 39,14,5,Wayne Gallman left guard for 1 yard (tackle by Bobby Wagner),2.440,1.880
4,10:28,3,9,SEA 38,14,5,Colt McCoy pass complete short middle to Evan Engram for 8 yards (tackle by Jamal Adams),1.880,1.520
4,9:55,,,,,,Timeout #1 by Seattle Seahawks,,
4,9:55,4,1,SEA 30,17,5,Graham Gano 48 yard field goal good,1.520,3.000
4,9:50,,,NYG 35,17,5,"Graham Gano kicks off 65 yards, returned by Freddie Swain for 18 yards (tackle by Carter Coughlin)",0.000,0.040
4,9:45,1,10,SEA 18,17,5,Russell Wilson pass incomplete short middle intended for Chris Carson,0.040,-0.490
4,9:40,2,10,SEA 18,17,5,Russell Wilson pass complete short left to Will Dissly for 9 yards (tackle by Niko Lalos),-0.490,-0.020
4,9:16,3,1,SEA 27,17,5,Chris Carson left guard for 5 yards (tackle by Jabaal Sheard),-0.020,1.070
4,8:53,1,10,SEA 32,17,5,Russell Wilson pass incomplete short middle intended for Will Dissly (defended by Blake Martinez),1.070,0.530
4,8:49,2,10,SEA 32,17,5,Russell Wilson pass complete short left to DeeJay Dallas for 5 yards (tackle by Jabrill Peppers and Logan Ryan),0.530,0.500
4,8:35,3,5,SEA 37,17,5,Russell Wilson pass complete deep middle to Tyler Lockett for 21 yards (tackle by Darnay Holmes),0.500,2.790
4,8:11,,,,,,Timeout #1 by New York Giants,,
4,8:11,1,10,NYG 42,17,5,Chris Carson up the middle for 2 yards (tackle by Dalvin Tomlinson and Blake Martinez),2.790,2.510
4,7:51,2,8,NYG 40,17,5,Russell Wilson pass complete short middle to Chris Carson for 12 yards (tackle by Blake Martinez),2.510,3.710
4,7:09,1,10,NYG 28,17,5,Russell Wilson pass incomplete deep middle intended for D.K. Metcalf,3.710,3.170
4,7:03,2,10,NYG 28,17,5,Russell Wilson sacked by and Leonard Williams for -5 yards and Jabaal Sheard for -5 yards,3.170,1.820
4,6:21,3,15,NYG 33,17,5,"Russell Wilson pass incomplete short middle intended for Tyler Lockett. Penalty on Darnay Holmes: Defensive Holding, 5 yards (no play)",1.820,3.710
4,6:15,1,10,NYG 28,17,11,"Russell Wilson pass complete deep left to Chris Carson for 28 yards, touchdown",3.710,7.000
4,6:09,,,NYG 15,17,12,Jason Myers kicks extra point good,0.000,0.000
4,6:09,,,SEA 35,17,12,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,6:09,1,10,NYG 25,17,12,Colt McCoy pass incomplete short right intended for Evan Engram (defended by Quandre Diggs),0.610,0.060
4,6:04,2,10,NYG 25,17,12,Wayne Gallman left guard for 5 yards (tackle by Jordyn Brooks),0.060,0.040
4,5:24,3,5,NYG 30,17,12,Colt McCoy pass complete short left to Evan Engram for 6 yards (tackle by Jamal Adams),0.040,1.330
4,4:39,1,10,NYG 36,17,12,Wayne Gallman right tackle for 3 yards (tackle by Damon Harrison),1.330,1.200
4,3:58,2,7,NYG 39,17,12,Colt McCoy pass complete short middle to Darius Slayton for 14 yards (tackle by Shaquill Griffin),1.200,2.460
4,3:15,1,10,SEA 47,17,12,Wayne Gallman right tackle for 6 yards (tackle by Rasheem Green and Bobby Wagner),2.460,2.720
4,2:30,2,4,SEA 41,17,12,Wayne Gallman left end for -1 yards (tackle by Bobby Wagner),2.720,1.880
4,2:00,3,5,SEA 42,17,12,Colt McCoy pass incomplete deep left intended for Sterling Shepard,1.880,0.460
4,1:55,4,5,SEA 42,17,12,"Riley Dixon punts 42 yards, touchback.",0.460,-0.280
4,1:48,1,10,SEA 20,17,12,Russell Wilson pass complete short right to DeeJay Dallas for 6 yards (tackle by Darnay Holmes),0.280,0.540
4,1:42,2,4,SEA 26,17,12,Russell Wilson pass complete short left to D.K. Metcalf for 15 yards (tackle by James Bradberry),0.540,1.660
4,1:22,1,10,SEA 41,17,12,Russell Wilson left end for 3 yards (tackle by Carter Coughlin),1.660,1.530
4,1:15,2,7,SEA 44,17,12,Russell Wilson pass complete short middle to Jacob Hollister for 10 yards (tackle by Tae Crowder),1.530,2.520
4,1:04,,,,,,Timeout #2 by Seattle Seahawks,,
4,1:04,1,10,NYG 46,17,12,Russell Wilson pass incomplete deep left intended for Freddie Swain,2.520,1.980
4,0:58,2,10,NYG 46,17,12,Russell Wilson pass incomplete short middle intended for Tyler Lockett (defended by Jabrill Peppers),1.980,1.290
4,0:54,3,10,NYG 46,17,12,Russell Wilson sacked by Leonard Williams for -8 yards,1.290,-0.320
4,0:48,,,,,,Timeout #3 by Seattle Seahawks,,
4,0:48,,,,,,Timeout #2 by New York Giants,,
4,0:48,4,18,SEA 46,17,12,Russell Wilson pass incomplete deep right (defended by James Bradberry),-0.320,-2.520
4,0:37,1,10,SEA 46,17,12,Colt McCoy kneels for -1 yards,2.520,1.840
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
