Quarter,Time,Down,ToGo,Location,PHI,OAK,Detail,EPB,EPA
1,2:21,1,10,OAK 14,3,6,"JaMarcus Russell pass complete deep middle to Zach Miller for 86 yards, touchdown",-0.280,7.000
1,,,,PHI 2,3,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 30,3,7,"Sebastian Janikowski kicks off 65 yards, returned by Quintin Demps for 17 yards (tackle by Michael Huff)",0.000,0.410
1,1:59,1,10,PHI 22,3,7,"Donovan McNabb pass incomplete short left intended for Jeremy Maclin is intercepted by Stanford Routt at PHI-28 and returned for 28 yards. Penalty on Stanford Routt: Defensive Pass Interfere, 3 yards, Penalty on OAK: Unsportsmanlike Conduct, 15 yards (no play)",0.410,1.600
1,1:51,1,10,PHI 40,3,7,Brian Westbrook right end for -1 yards (tackle by Tommy Kelly),1.600,0.920
1,1:13,2,11,PHI 39,3,7,Donovan McNabb pass complete short right to Brian Westbrook for 18 yards (tackle by Kirk Morrison),0.920,2.720
1,0:30,1,10,OAK 43,3,7,Donovan McNabb pass complete short left to Brian Westbrook for no gain,2.720,2.180
Quarter,Time,Down,ToGo,Location,PHI,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,OAK 43,3,7,Donovan McNabb pass incomplete short middle intended for Brian Westbrook,2.180,1.490
2,14:58,3,10,OAK 43,3,7,Donovan McNabb pass incomplete deep right intended for DeSean Jackson,1.490,0.400
2,14:51,4,10,OAK 43,3,7,"Saverio Rocca punts 30 yards, fair catch by Johnnie Lee Higgins",0.400,0.320
2,14:43,1,10,OAK 13,3,7,JaMarcus Russell pass complete short left to Zach Miller for 9 yards (tackle by Chris Gocong),-0.320,0.490
2,14:15,2,1,OAK 22,3,7,Justin Fargas middle for no gain (tackle by Chris Gocong),0.490,-0.350
2,13:40,3,1,OAK 22,3,7,Justin Fargas middle for 3 yards (tackle by Chris Gocong),-0.350,0.610
2,13:01,1,10,OAK 25,3,7,Justin Fargas left tackle for 10 yards (tackle by Chris Gocong),0.610,1.270
2,12:17,1,10,OAK 35,3,7,JaMarcus Russell middle for 12 yards (tackle by Chris Gocong),1.270,2.060
2,11:33,1,10,OAK 47,3,7,JaMarcus Russell pass complete deep middle to Zach Miller for 21 yards (tackle by Victor Harris),2.060,3.450
2,10:52,1,10,PHI 32,3,7,Justin Fargas middle for 5 yards (tackle by Quintin Mikell),3.450,3.580
2,10:15,2,5,PHI 27,3,7,"Justin Fargas middle for 2 yards (tackle by Chris Gocong). Penalty on Asante Samuel: Unnecessary Roughness, 13 yards",3.580,4.780
2,9:44,1,10,PHI 12,3,7,JaMarcus Russell pass complete short right to Tony Stewart for 3 yards (tackle by Akeem Jordan),4.780,4.640
2,9:03,2,7,PHI 9,3,7,Justin Fargas left guard for -1 yards (tackle by Omar Gaither),4.640,3.480
2,8:32,3,8,PHI 10,3,7,"JaMarcus Russell pass incomplete short middle intended for Javon Walker. Penalty on Zach Miller: Offensive Holding (Offsetting), Penalty on Victor Abiamiri: Roughing the Passer (Offsetting) (no play)",3.480,3.480
2,8:32,,,,3,7,Timeout #1 by Oakland Raiders,0.000,3.480
2,8:24,3,8,PHI 10,3,7,Darrius Heyward-Bey right end for -1 yards (tackle by Victor Harris),3.480,2.700
2,8:24,,,,3,7,Timeout #1 by Philadelphia Eagles,0.000,2.700
2,7:50,4,9,PHI 11,3,10,Sebastian Janikowski 29 yard field goal good,2.700,3.000
2,,,,OAK 30,3,10,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
2,7:45,1,10,PHI 20,3,10,LeSean McCoy right tackle for -2 yards (tackle by Richard Seymour),0.280,-0.630
2,7:20,2,12,PHI 18,3,10,Donovan McNabb pass incomplete short middle intended for LeSean McCoy,-0.630,-1.330
2,7:05,3,12,PHI 18,3,10,Donovan McNabb pass complete short left to DeSean Jackson for 11 yards (tackle by Stanford Routt),-1.330,-1.440
2,6:35,4,1,PHI 29,3,10,Donovan McNabb middle for 2 yards,-1.440,1.000
2,6:09,1,10,PHI 31,3,10,LeSean McCoy middle for 8 yards (tackle by Tommy Kelly),1.000,1.540
2,5:19,2,2,PHI 39,3,10,Donovan McNabb pass incomplete short left intended for Jason Avant (defended by Richard Seymour),1.540,0.830
2,5:16,3,2,PHI 39,3,10,Donovan McNabb pass complete short middle to Brian Westbrook for 34 yards (tackle by Tyvon Branch). Penalty on Nnamdi Asomugha: Illegal Contact (Declined),0.830,3.780
2,4:41,1,10,OAK 27,3,10,Donovan McNabb pass incomplete short middle intended for LeSean McCoy,3.780,3.230
2,4:38,,,,3,10,Timeout #2 by Philadelphia Eagles,0.000,3.230
2,4:38,2,10,OAK 27,3,10,Donovan McNabb pass incomplete short right intended for Brent Celek,3.230,2.540
2,4:30,,,,3,10,Timeout #3 by Philadelphia Eagles,0.000,2.540
2,4:30,3,10,OAK 27,3,10,Donovan McNabb sacked by Richard Seymour for -8 yards,2.540,0.970
2,3:53,,,,3,10,Timeout #2 by Oakland Raiders,0.000,0.970
2,3:53,4,18,OAK 35,3,10,"Saverio Rocca punts 35 yards, touchback",0.970,-0.280
2,3:44,1,10,OAK 20,3,10,JaMarcus Russell pass complete short right to Gary Russell for 5 yards (tackle by Victor Harris),0.280,0.410
2,3:18,2,5,OAK 25,3,10,Justin Fargas middle for 3 yards (tackle by Brodrick Bunkley),0.410,0.100
2,2:42,3,2,OAK 28,3,10,JaMarcus Russell pass complete short middle to Tony Stewart for 8 yards (tackle by Victor Harris),0.100,1.330
2,2:03,1,10,OAK 36,3,10,JaMarcus Russell pass incomplete deep middle intended for Zach Miller is intercepted by Quintin Mikell at PHI-44 and returned for 16 yards,1.330,-2.920
2,1:53,1,10,OAK 40,3,10,Donovan McNabb pass complete short middle to Brent Celek for 14 yards (tackle by Kirk Morrison),2.920,3.840
2,1:28,1,10,OAK 26,3,10,Donovan McNabb pass complete short right to Leonard Weaver for 3 yards (tackle by Michael Huff),3.840,3.700
2,1:04,2,7,OAK 23,3,10,Brian Westbrook middle for 4 yards (tackle by Kirk Morrison),3.700,3.570
2,0:35,3,3,OAK 19,3,10,Donovan McNabb pass complete short right to DeSean Jackson for 4 yards,3.570,4.580
2,0:35,1,10,OAK 15,3,10,"Penalty on Donovan McNabb: Delay of Game, 5 yards (no play)",4.580,4.240
2,0:27,1,15,OAK 20,3,10,Donovan McNabb sacked by Richard Seymour for -5 yards,4.240,2.670
2,0:12,2,20,OAK 25,3,10,Donovan McNabb spiked the ball,2.670,2.010
2,0:10,3,20,OAK 25,6,10,David Akers 43 yard field goal good,2.010,3.000
2,,,,PHI 30,6,10,"David Akers kicks off 37 yards, returned by Sam Williams for 4 yards",0.000,1.400
2,0:02,1,10,OAK 37,6,10,Justin Fargas left guard for 20 yards (tackle by Joselio Hanson),1.400,2.720
Quarter,Time,Down,ToGo,Location,PHI,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,6,10,"Sebastian Janikowski kicks off 59 yards, returned by Quintin Demps for 13 yards (tackle by Hiram Eugene)",0.000,0.540
3,14:53,1,10,PHI 24,6,10,Donovan McNabb pass complete short right to Jeremy Maclin for 6 yards (tackle by Chris Johnson),0.540,0.810
3,14:16,2,4,PHI 30,6,10,Brian Westbrook middle for 25 yards (tackle by Hiram Eugene),0.810,2.590
3,13:38,1,10,OAK 45,6,10,Brian Westbrook middle for 9 yards (tackle by Tyvon Branch),2.590,3.260
3,13:02,2,1,OAK 36,6,10,Donovan McNabb pass complete short middle to DeSean Jackson for 8 yards (tackle by Kirk Morrison),3.260,3.710
3,12:21,1,10,OAK 28,6,10,Donovan McNabb pass incomplete short right intended for Jeremy Maclin (defended by Chris Johnson),3.710,3.170
3,12:18,2,10,OAK 28,6,10,Donovan McNabb pass complete short left to Brian Westbrook for -1 yards (tackle by Thomas Howard),3.170,2.340
3,11:58,3,11,OAK 29,6,10,Donovan McNabb pass incomplete deep left intended for Jeremy Maclin,2.340,1.500
3,11:30,4,11,OAK 29,6,10,David Akers 47 yard field goal no good,1.500,-1.400
3,11:25,1,10,OAK 37,6,10,Justin Fargas left end for 14 yards (tackle by Quintin Mikell),1.400,2.320
3,10:49,1,10,PHI 49,6,10,Michael Bush right guard for 9 yards (tackle by Sean Jones),2.320,3.000
3,10:12,2,1,PHI 40,6,10,"Penalty on Chris Morris: False Start, 5 yards (no play)",3.000,2.320
3,9:54,2,6,PHI 45,6,10,Michael Bush right end for 5 yards (tackle by Mike Patterson and Sean Jones),2.320,2.280
3,9:32,3,1,PHI 40,6,10,Michael Bush right guard for no gain (tackle by Mike Patterson),2.280,0.590
3,9:32,4,1,PHI 40,6,10,JaMarcus Russell pass incomplete deep right intended for Louis Murphy,0.590,-1.600
3,8:54,1,10,PHI 40,6,10,Donovan McNabb pass complete short middle to DeSean Jackson for 8 yards (tackle by Kirk Morrison),1.600,2.130
3,8:19,2,2,PHI 48,6,10,Donovan McNabb sacked by Jay Richardson for -13 yards,2.130,-0.300
3,7:39,3,15,PHI 35,6,10,Donovan McNabb pass complete short middle to Brent Celek for 11 yards (tackle by Michael Huff and Kirk Morrison),-0.300,-0.320
3,7:01,4,4,PHI 46,6,10,"Saverio Rocca punts 40 yards, returned by Johnnie Lee Higgins for no gain",-0.320,0.280
3,6:57,1,10,OAK 14,6,10,JaMarcus Russell pass complete short right to Zach Miller for 6 yards (tackle by Chris Gocong),-0.280,0.150
3,6:22,2,4,OAK 20,6,10,Justin Fargas right tackle for 8 yards (tackle by Darren Howard),0.150,0.810
3,5:38,1,10,OAK 28,6,10,Justin Fargas left tackle for no gain (tackle by Antonio Dixon),0.810,0.260
3,5:01,2,10,OAK 28,6,10,JaMarcus Russell pass complete short right to Justin Fargas for 11 yards (tackle by Omar Gaither and Quintin Mikell),0.260,1.530
3,4:23,1,10,OAK 39,6,10,JaMarcus Russell pass incomplete short right intended for Zach Miller,1.530,0.990
3,4:18,2,10,OAK 39,6,10,JaMarcus Russell pass complete short left to Michael Bush for 2 yards (tackle by Omar Gaither),0.990,0.560
3,3:34,3,8,OAK 41,6,10,JaMarcus Russell pass incomplete short right intended for Zach Miller,0.560,-0.650
3,3:28,4,8,OAK 41,6,10,"Shane Lechler punts 45 yards, returned by DeSean Jackson for 11 yards (tackle by Isaiah Ekejiuba)",-0.650,-0.610
3,3:18,1,10,PHI 25,6,10,Brian Westbrook middle for 2 yards (tackle by Tommy Kelly),0.610,0.330
3,2:44,,,,6,10,Timeout #1 by Oakland Raiders,0.000,0.330
3,2:44,2,8,PHI 27,6,10,Donovan McNabb pass incomplete short middle intended for Brent Celek,0.330,-0.360
3,2:39,3,8,PHI 27,6,10,Donovan McNabb pass incomplete deep right intended for Jeremy Maclin,-0.360,-1.570
3,2:34,4,8,PHI 27,6,10,"Saverio Rocca punts 45 yards, muffed catch by Johnnie Lee Higgins, ball out of bounds at OAK-18",-1.570,-0.040
3,2:26,1,10,OAK 18,6,10,"Penalty on Quintin Mikell: Illegal Contact, 5 yards (no play)",0.040,0.480
3,1:56,1,10,OAK 23,6,10,Justin Fargas right tackle for 8 yards (tackle by Omar Gaither),0.480,1.010
3,1:18,2,2,OAK 31,6,10,Justin Fargas right guard for 1 yard (tackle by Brodrick Bunkley),1.010,0.430
3,1:00,3,1,OAK 32,6,10,JaMarcus Russell middle for 1 yard,0.430,1.140
3,0:20,1,10,OAK 33,6,10,JaMarcus Russell pass incomplete short middle intended for Zach Miller,1.140,0.590
3,0:16,2,10,OAK 33,6,10,JaMarcus Russell pass complete short middle to Zach Miller for 8 yards (tackle by Omar Gaither and Trevor Laws),0.590,0.960
Quarter,Time,Down,ToGo,Location,PHI,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,OAK 41,6,10,JaMarcus Russell sacked by Juqua Parker for -5 yards,0.960,-0.980
4,14:36,4,7,OAK 36,6,10,"Shane Lechler punts 58 yards, returned by DeSean Jackson for 8 yards (tackle by Todd Watkins)",-0.980,0.280
4,14:25,1,10,PHI 14,6,10,Donovan McNabb pass incomplete short right intended for Brian Westbrook (defended by Tyvon Branch),-0.280,-0.750
4,14:21,2,10,PHI 14,6,10,LeSean McCoy right end for 1 yard (tackle by Kirk Morrison),-0.750,-1.280
4,13:41,3,9,PHI 15,6,10,Donovan McNabb pass incomplete deep left intended for Jeremy Maclin (defended by Stanford Routt),-1.280,-2.440
4,13:34,4,9,PHI 15,6,10,Saverio Rocca punts 45 yards,-2.440,-1.600
4,13:27,1,10,OAK 40,6,10,Justin Fargas right end for 14 yards (tackle by Sheldon Brown),1.600,2.520
4,12:46,1,10,PHI 46,6,10,Justin Fargas left end for -3 yards,2.520,1.570
4,12:07,2,13,PHI 49,6,10,JaMarcus Russell pass complete short right to Gary Russell for 18 yards (tackle by Chris Gocong),1.570,3.510
4,11:58,1,10,PHI 31,6,10,Justin Fargas right guard for 2 yards (tackle by Trevor Laws),3.510,3.240
4,11:18,2,8,PHI 29,6,10,Justin Fargas right tackle for 1 yard (tackle by Sheldon Brown),3.240,2.680
4,10:35,3,7,PHI 28,6,10,JaMarcus Russell pass incomplete short left intended for Johnnie Lee Higgins,2.680,1.590
4,10:35,4,7,PHI 28,6,13,Sebastian Janikowski 46 yard field goal good,1.590,3.000
4,,,,OAK 30,6,13,"Sebastian Janikowski kicks off 72 yards, returned by Quintin Demps for 25 yards (tackle by Tony Stewart)",0.000,0.480
4,10:19,1,10,PHI 23,6,13,Donovan McNabb pass complete short middle to Brian Westbrook for 3 yards (tackle by Matt Shaughnessy and Jon Alston),0.480,0.340
4,9:44,2,7,PHI 26,6,13,Donovan McNabb pass incomplete short middle intended for Leonard Weaver,0.340,-0.360
4,9:41,3,7,PHI 26,6,13,Donovan McNabb sacked by Thomas Howard and Kirk Morrison for -8 yards,-0.360,-2.240
4,9:10,4,15,PHI 18,6,13,"Saverio Rocca punts 58 yards, returned by Johnnie Lee Higgins for 2 yards (tackle by Jason Avant). Johnnie Lee Higgins fumbles, recovered by Johnnie Lee Higgins at OAK-26",-2.240,-0.670
4,8:54,1,10,OAK 26,6,13,Justin Fargas right end for no gain (tackle by Akeem Jordan),0.670,0.130
4,8:11,2,10,OAK 26,6,13,JaMarcus Russell pass incomplete short left intended for Louis Murphy (defended by Sheldon Brown),0.130,-0.560
4,8:05,,,,6,13,Timeout #2 by Oakland Raiders,0.000,-0.560
4,8:05,3,10,OAK 26,6,13,JaMarcus Russell pass incomplete deep middle intended for Zach Miller (defended by Sean Jones),-0.560,-1.630
4,8:00,4,10,OAK 26,6,13,"Shane Lechler punts 53 yards, returned by DeSean Jackson for 10 yards (tackle by Tony Stewart)",-1.630,-1.000
4,7:49,1,10,PHI 31,6,13,Donovan McNabb pass complete deep middle to Brent Celek for 42 yards (tackle by Tyvon Branch),1.000,3.780
4,7:07,1,10,OAK 27,6,13,Donovan McNabb pass incomplete deep left intended for DeSean Jackson,3.780,3.230
4,7:02,2,10,OAK 27,6,13,Donovan McNabb pass incomplete deep right intended for DeSean Jackson,3.230,2.540
4,6:54,3,10,OAK 27,6,13,Donovan McNabb pass complete short right to Leonard Weaver for no gain,2.540,1.670
4,6:10,4,10,OAK 27,9,13,David Akers 45 yard field goal good,1.670,3.000
4,,,,PHI 30,9,13,"David Akers kicks off 70 yards, touchback",0.000,0.280
4,6:06,1,10,OAK 20,9,13,JaMarcus Russell pass complete short right to Gary Russell for 19 yards (tackle by Omar Gaither),0.280,1.530
4,5:23,1,10,OAK 39,9,13,Justin Fargas right tackle for 2 yards (tackle by Chris Gocong),1.530,1.260
4,4:37,2,8,OAK 41,9,13,Justin Fargas left end for 1 yard (tackle by Mike Patterson),1.260,0.700
4,3:54,3,7,OAK 42,9,13,JaMarcus Russell pass incomplete short right intended for Todd Watkins,0.700,-0.590
4,3:49,4,7,OAK 42,9,13,"Shane Lechler punts 38 yards, fair catch by DeSean Jackson",-0.590,-0.280
4,3:42,1,10,PHI 20,9,13,Donovan McNabb pass complete short middle to Brian Westbrook for 8 yards (tackle by Thomas Howard),0.280,0.810
4,3:17,2,2,PHI 28,9,13,Brian Westbrook left tackle for 11 yards (tackle by Michael Huff),0.810,1.530
4,2:52,1,10,PHI 39,9,13,Donovan McNabb pass complete short middle to DeSean Jackson for 12 yards (tackle by Tyvon Branch),1.530,2.320
4,2:45,1,10,OAK 49,9,13,Donovan McNabb pass incomplete deep right intended for DeSean Jackson,2.320,1.780
4,2:36,2,10,OAK 49,9,13,Donovan McNabb pass incomplete deep middle intended for Jason Avant,1.780,1.090
4,2:32,3,10,OAK 49,9,13,Donovan McNabb middle for 6 yards (tackle by Michael Huff),1.090,0.400
4,2:21,,,,9,13,Timeout #1 by Philadelphia Eagles,0.000,0.400
4,2:21,4,4,OAK 43,9,13,Donovan McNabb pass incomplete deep left intended for DeSean Jackson,0.400,-1.860
4,2:14,1,10,OAK 44,9,13,Justin Fargas right tackle for 2 yards (tackle by Brodrick Bunkley),1.860,1.590
4,2:10,,,,9,13,Timeout #2 by Philadelphia Eagles,0.000,1.590
4,2:10,2,8,OAK 46,9,13,Justin Fargas middle for -2 yards (tackle by Trent Cole),1.590,0.630
4,2:02,,,,9,13,Timeout #3 by Philadelphia Eagles,0.000,0.630
4,2:02,3,10,OAK 44,9,13,JaMarcus Russell pass complete short right to Gary Russell for 13 yards (tackle by Jeremiah Trotter),0.630,2.720
4,1:55,1,10,PHI 43,9,13,Justin Fargas left tackle for -3 yards (tackle by Trevor Laws),2.720,1.770
4,1:13,2,13,PHI 46,9,13,"JaMarcus Russell kneels for -1 yards. Penalty on Darren Howard: Unnecessary Roughness, 15 yards",1.770,3.450
4,1:01,1,10,PHI 32,9,13,JaMarcus Russell kneels for -1 yards,3.450,2.770
4,0:24,2,11,PHI 33,9,13,JaMarcus Russell kneels for -3 yards,2.770,1.690
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
