Quarter,Time,Tm,Detail,PHI,OAK
1.0,2:27,Eagles,David Akers 45 yard field goal,3,0
,2:05,Raiders,Zach Miller 86 yard pass from JaMarcus Russell (Sebastian Janikowski kick),3,7
2.0,7:45,Raiders,Sebastian Janikowski 29 yard field goal,3,10
,0:06,Eagles,David Akers 43 yard field goal,6,10
4.0,10:25,Raiders,Sebastian Janikowski 46 yard field goal,6,13
,6:06,Eagles,David Akers 45 yard field goal,9,13
