Unnamed: 0,PHI,OAK
First Downs,14,18
Rush-Yds-TDs,14-67-0,35-116-0
Cmp-Att-Yd-TD-INT,22-46-269-0-0,17-28-224-1-2
Sacked-Yards,6-53,2-15
Net Pass Yards,216,209
Total Yards,283,325
Fumbles-Lost,1-0,2-0
Turnovers,0,2
Penalties-Yards,4-38,3-23
Third Down Conv.,2-16,4-14
Fourth Down Conv.,1-2,0-1
Time of Possession,26:58,33:02
