Unnamed: 0,JAX,HOU
First Downs,16,18
Rush-Yds-TDs,28-122-1,28-78-2
Cmp-Att-Yd-TD-INT,15-25-224-2-1,22-30-228-1-1
Sacked-Yards,5-25,4-34
Net Pass Yards,199,194
Total Yards,321,272
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,7-62,5-40
Third Down Conv.,4-12,2-11
Fourth Down Conv.,1-1,1-2
Time of Possession,28:52,31:08
