Quarter,Time,Tm,Detail,TAM,NOR
1,9:46,Saints,Shayne Graham 30 yard field goal,0,3
,0:21,Saints,Shayne Graham 29 yard field goal,0,6
2,10:14,Saints,Pierre Thomas 15 yard pass from Drew Brees (Shayne Graham kick),0,13
,1:54,Buccaneers,Patrick Murray 55 yard field goal,3,13
,0:20,Buccaneers,Louis Murphy 20 yard pass from Mike Glennon (Patrick Murray kick),10,13
3,11:59,Buccaneers,Bobby Rainey 9 yard rush (Patrick Murray kick),17,13
,11:20,Buccaneers,Danny Lansanah 33 yard interception return (Patrick Murray kick),24,13
,4:57,Saints,Travaris Cadet 5 yard pass from Drew Brees (Shayne Graham kick),24,20
4,13:28,Buccaneers,Robert Herron 9 yard pass from Mike Glennon (Patrick Murray kick),31,20
,9:28,Saints,Pierre Thomas 27 yard rush (pass failed),31,26
,6:44,Saints,"Safety, Mike Glennon sacked in end zone by Junior Galette.",31,28
,2:30,Saints,Shayne Graham 44 yard field goal,31,31
OT,9:24,Saints,Khiry Robinson 18 yard rush,31,37
