Unnamed: 0,TAM,NOR
First Downs,20,34
Rush-Yds-TDs,21-66-1,29-140-2
Cmp-Att-Yd-TD-INT,19-32-249-2-1,35-57-371-2-3
Sacked-Yards,1-1,0-0
Net Pass Yards,248,371
Total Yards,314,511
Fumbles-Lost,2-0,0-0
Turnovers,1,3
Penalties-Yards,15-113,6-50
Third Down Conv.,3-9,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:04,38:32
