Unnamed: 0,PIT,MIA
First Downs,22,20
Rush-Yds-TDs,36-202-0,25-99-1
Cmp-Att-Yd-TD-INT,18-28-220-3-1,20-30-223-2-3
Sacked-Yards,3-19,3-19
Net Pass Yards,201,204
Total Yards,403,303
Fumbles-Lost,2-1,1-0
Turnovers,2,3
Penalties-Yards,5-40,3-45
Third Down Conv.,7-14,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,32:09,27:51
