Quarter,Time,Tm,Detail,PIT,MIA
1.0,8:02,Steelers,Santonio Holmes 5 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
,3:18,Dolphins,Lex Hilliard 11 yard pass from Chad Henne (Dan Carpenter kick),7,7
,0:25,Steelers,Mike Wallace 54 yard pass from Ben Roethlisberger (Jeff Reed kick),14,7
2.0,9:21,Dolphins,Dan Carpenter 25 yard field goal,14,10
,5:32,Steelers,Jeff Reed 22 yard field goal,17,10
3.0,3:42,Steelers,Heath Miller 3 yard pass from Ben Roethlisberger (Jeff Reed kick),24,10
4.0,13:57,Steelers,Jeff Reed 21 yard field goal,27,10
,11:24,Dolphins,Brian Hartline 16 yard rush (Dan Carpenter kick),27,17
,8:37,Dolphins,Davone Bess 34 yard pass from Tyler Thigpen (Dan Carpenter kick),27,24
,0:40,Steelers,Jeff Reed 33 yard field goal,30,24
