Unnamed: 0,SDG,KAN
First Downs,19,25
Rush-Yds-TDs,34-104-1,22-115-1
Cmp-Att-Yd-TD-INT,18-23-209-2-1,24-42-251-2-3
Sacked-Yards,3-20,2-17
Net Pass Yards,189,234
Total Yards,293,349
Fumbles-Lost,2-0,4-3
Turnovers,1,6
Penalties-Yards,7-75,9-80
Third Down Conv.,3-12,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,33:52,26:08
