Quarter,Time,Tm,Detail,SDG,KAN
1.0,10:04,Chargers,Eddie Royal 4 yard pass from Philip Rivers (Nick Novak kick),7,0
,6:26,Chargers,Nick Novak 24 yard field goal,10,0
,5:28,Chargers,Jackie Battle 1 yard rush (Nick Novak kick),17,0
2.0,8:09,Chargers,Nick Novak 47 yard field goal,20,0
,5:09,Chiefs,Jamaal Charles 37 yard rush (pass failed),20,6
,2:51,Chargers,Donald Butler 21 yard interception return (Nick Novak kick),27,6
3.0,8:40,Chiefs,Jamaal Charles 13 yard pass from Matt Cassel (Ryan Succop kick),27,13
4.0,7:54,Chargers,Jackie Battle 4 yard pass from Philip Rivers (Nick Novak kick),34,13
,5:29,Chiefs,Dwayne Bowe 29 yard pass from Matt Cassel (Ryan Succop kick),34,20
,1:56,Chargers,Nick Novak 45 yard field goal,37,20
