Unnamed: 0,NYG,WAS
First Downs,19,20
Rush-Yds-TDs,30-128-1,26-159-0
Cmp-Att-Yd-TD-INT,21-32-160-0-0,17-29-249-1-0
Sacked-Yards,0-0,3-21
Net Pass Yards,160,228
Total Yards,288,387
Fumbles-Lost,1-0,4-2
Turnovers,0,2
Penalties-Yards,5-30,6-40
Third Down Conv.,2-10,1-10
Fourth Down Conv.,1-1,1-2
Time of Possession,30:30,29:30
