Unnamed: 0,BUF,MIA
First Downs,16,26
Rush-Yds-TDs,22-67-2,42-256-2
Cmp-Att-Yd-TD-INT,14-28-221-1-0,15-25-204-1-0
Sacked-Yards,4-21,1-6
Net Pass Yards,200,198
Total Yards,267,454
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-45,13-116
Third Down Conv.,3-13,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,22:58,37:02
