Quarter,Time,Tm,Detail,BUF,MIA
1.0,7:28,Dolphins,Andrew Franks 36 yard field goal,0,3
,0:49,Bills,Dan Carpenter 29 yard field goal,3,3
2.0,11:47,Bills,Tyrod Taylor 10 yard rush (Dan Carpenter kick),10,3
,3:47,Dolphins,Andrew Franks 33 yard field goal,10,6
3.0,5:51,Bills,Marquise Goodwin 67 yard pass from Tyrod Taylor (Dan Carpenter kick),17,6
,0:18,Dolphins,Jay Ajayi 4 yard rush (Jarvis Landry pass from Ryan Tannehill),17,14
4.0,3:56,Dolphins,Damien Williams 12 yard rush (Andrew Franks kick),17,21
,2:24,Dolphins,Kenny Stills 66 yard pass from Ryan Tannehill (Andrew Franks kick),17,28
,0:14,Bills,Reggie Bush 1 yard rush (Reggie Bush pass from Tyrod Taylor),25,28
