Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,Mike Glennon pass incomplete short left,0.610,0.060
1,14:56,2,10,JAX 25,0,0,Mike Glennon pass complete short middle to Chris Conley for 15 yards (tackle by Anthony Walker and Kenny Moore),0.060,1.600
1,14:22,1,10,JAX 40,0,0,Dare Ogunbowale right end for -2 yards (tackle by Grover Stewart),1.600,0.780
1,13:45,2,12,JAX 38,0,0,Mike Glennon pass incomplete short middle intended for Dare Ogunbowale (defended by Anthony Walker),0.780,0.100
1,13:42,3,12,JAX 38,0,0,Mike Glennon pass complete short right to Dare Ogunbowale for 6 yards (tackle by Darius Leonard),0.100,-0.460
1,13:10,4,6,JAX 44,0,0,"Logan Cooke punts 41 yards, returned by Nyheim Hines for 7 yards (tackle by Dakota Allen)",-0.460,-0.410
1,12:59,1,10,IND 22,0,0,Jonathan Taylor left end for 11 yards (tackle by Jarrod Wilson),0.410,1.140
1,12:25,1,10,IND 33,0,0,Philip Rivers pass incomplete short left intended for Ashton Dulin,1.140,0.590
1,12:22,2,10,IND 33,0,0,Jonathan Taylor left tackle for 56 yards (tackle by Chris Claybrooks),0.590,4.840
1,11:42,1,10,JAX 11,0,0,Jonathan Taylor right tackle for 3 yards (tackle by Chris Claybrooks),4.840,4.700
1,11:04,2,7,JAX 8,0,0,Jonathan Taylor right tackle for 2 yards (tackle by Joe Schobert and K'Lavon Chaisson),4.700,4.210
1,10:20,3,5,JAX 6,0,6,"Philip Rivers pass complete short right to T.Y. Hilton for 6 yards, touchdown",4.210,7.000
1,10:16,,,JAX 15,0,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,10:16,,,IND 35,0,7,"Rigoberto Sanchez kicks off 65 yards, returned by Chris Claybrooks for 25 yards (tackle by E.J. Speed and Zaire Franklin)",0.000,0.610
1,10:10,1,10,JAX 25,0,7,Terry Godwin right end for 3 yards (tackle by Tavon Wilson),0.610,0.470
1,9:36,2,7,JAX 28,0,7,Dare Ogunbowale left guard for 4 yards (tackle by Kenny Moore),0.470,0.300
1,8:54,3,3,JAX 32,0,7,Mike Glennon pass incomplete short right intended for Laviska Shenault,0.300,-1.240
1,8:50,4,3,JAX 32,0,7,"Logan Cooke punts 52 yards, fair catch by Nyheim Hines at IND-16",-1.240,0.140
1,8:42,1,10,IND 16,0,7,Philip Rivers pass incomplete short left intended for Zach Pascal,-0.140,-0.660
1,8:38,2,10,IND 16,0,7,Philip Rivers pass complete short right to Nyheim Hines for 11 yards (tackle by Joe Schobert and Jarrod Wilson),-0.660,0.740
1,7:57,1,10,IND 27,0,7,Jonathan Taylor up the middle for 20 yards (tackle by Tre Herndon),0.740,2.060
1,7:14,1,10,IND 47,0,7,Jonathan Taylor right tackle for 6 yards (tackle by Dawuane Smoot),2.060,2.330
1,6:34,2,4,JAX 47,0,7,Jonathan Taylor right tackle for 3 yards (tackle by Chris Claybrooks and Joe Schobert),2.330,2.020
1,5:52,3,1,JAX 44,0,7,Jacoby Brissett left guard for 1 yard (tackle by Josh Jones),2.020,2.720
1,5:07,1,10,JAX 43,0,7,Philip Rivers pass complete short left to T.Y. Hilton for 15 yards (tackle by Greg Mabin),2.720,3.710
1,4:24,1,10,JAX 28,0,7,Philip Rivers pass complete short right to Nyheim Hines for 1 yard (tackle by Tre Herndon),3.710,3.300
1,3:45,2,9,JAX 27,0,7,Nyheim Hines up the middle for 20 yards (tackle by Jarrod Wilson),3.300,5.600
1,2:56,1,7,JAX 7,0,7,Jonathan Taylor up the middle for 5 yards (tackle by Greg Mabin),5.600,5.720
1,2:19,2,2,JAX 2,0,7,"Jonathan Taylor right end for 2 yards. Penalty on Jared Veldheer: Face Mask (15 Yards), 15 yards (no play)",5.720,3.240
1,2:14,2,17,JAX 17,0,7,Philip Rivers pass complete short right to Nyheim Hines for 13 yards (tackle by Chris Claybrooks),3.240,4.490
1,1:24,3,4,JAX 4,0,7,Philip Rivers pass incomplete short right intended for Nyheim Hines (defended by Myles Jack),4.490,3.030
1,1:19,4,4,JAX 4,0,10,Rodrigo Blankenship 22 yard field goal good,3.030,3.000
1,1:16,,,IND 35,0,10,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,1:16,1,10,JAX 25,0,10,Dare Ogunbowale right guard for 2 yards (tackle by Darius Leonard),0.610,0.330
1,0:41,2,8,JAX 27,0,10,Dare Ogunbowale up the middle for 4 yards (tackle by Justin Houston and DeForest Buckner),0.330,0.170
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,JAX 31,0,10,Mike Glennon pass complete short middle to Tyler Eifert for 10 yards (tackle by Bobby Okereke),0.170,1.660
2,14:22,1,10,JAX 41,0,10,Dare Ogunbowale up the middle for 4 yards (tackle by Anthony Walker),1.660,1.660
2,13:46,2,6,JAX 45,0,10,Mike Glennon sacked by Kenny Moore for no gain,1.660,0.960
2,13:06,3,6,JAX 45,0,10,"Mike Glennon sacked by Darius Leonard for -5 yards. Mike Glennon fumbles, ball out of bounds at JAC-36 (forced by Darius Leonard), recovered by T.J. Carrie at JAC-40 and returned for 25 yards (tackle by Laviska Shenault). T.J. Carrie fumbles, ball out of bounds at JAC-15 (forced by Laviska Shenault)",0.960,-4.580
2,12:57,1,10,JAX 15,0,10,Jonathan Taylor up the middle for 1 yard (tackle by Joe Schobert and Andrew Wingard),4.580,4.110
2,12:23,2,9,JAX 14,0,10,Jonathan Taylor right end for 13 yards (tackle by Jarrod Wilson and Chris Claybrooks),4.110,6.970
2,11:43,1,1,JAX 1,0,16,"Jonathan Taylor up the middle for 1 yard, touchdown",6.970,7.000
2,11:40,,,JAX 15,0,17,Rodrigo Blankenship kicks extra point good,0.000,0.000
2,11:40,,,IND 35,0,17,"Rigoberto Sanchez kicks off 65 yards, returned by Chris Claybrooks for 22 yards (tackle by Tavon Wilson)",0.000,0.410
2,11:34,1,10,JAX 22,0,17,Mike Glennon pass incomplete short right intended for Laviska Shenault,0.410,-0.130
2,11:29,2,10,JAX 22,0,17,Dare Ogunbowale up the middle for 1 yard (tackle by Al-Quadin Muhammad and Darius Leonard),-0.130,-0.690
2,10:53,3,9,JAX 23,0,17,Mike Glennon sacked by DeForest Buckner for -8 yards,-0.690,-2.440
2,10:23,4,17,JAX 15,0,17,"Logan Cooke punts 61 yards, returned by Nyheim Hines for 8 yards (tackle by Joe Giles-Harris and Nathan Cottrell)",-2.440,-1.070
2,10:11,1,10,IND 32,0,17,Philip Rivers pass complete short left to Jack Doyle for 7 yards (tackle by Joe Giles-Harris),1.070,1.470
2,9:46,2,3,IND 39,0,17,Jonathan Taylor up the middle for -3 yards (tackle by Andrew Wingard),1.470,0.370
2,9:01,3,6,IND 36,0,17,Philip Rivers pass complete short left to Nyheim Hines for 2 yards,0.370,-0.850
2,8:33,4,4,IND 38,0,17,"Rigoberto Sanchez punts 53 yards, returned by Chris Claybrooks for 13 yards (tackle by Trey Burton)",-0.850,-0.410
2,8:21,1,10,JAX 22,0,17,Mike Glennon pass complete deep left to Laviska Shenault for 18 yards (tackle by T.J. Carrie),0.410,1.600
2,7:49,1,10,JAX 40,0,17,Dare Ogunbowale left end for 8 yards (tackle by Julian Blackmon and Darius Leonard),1.600,2.130
2,7:11,2,2,JAX 48,0,17,Mike Glennon pass incomplete short left intended for Dare Ogunbowale,2.130,1.420
2,7:06,3,2,JAX 48,0,17,Dare Ogunbowale left guard for 1 yard (tackle by Grover Stewart),1.420,-0.130
2,6:27,4,1,JAX 49,0,17,Mike Glennon pass incomplete short right intended for Laviska Shenault (defended by Kenny Moore),-0.130,-2.320
2,6:21,1,10,JAX 49,0,17,Philip Rivers pass incomplete short left intended for T.Y. Hilton,2.320,1.780
2,6:18,2,10,JAX 49,0,17,"Philip Rivers pass incomplete deep right intended for T.Y. Hilton. Penalty on Andrew Wingard: Defensive Pass Interference, 24 yards (no play)",1.780,3.910
2,6:12,1,10,JAX 25,0,17,Nyheim Hines right end for -3 yards (tackle by Andrew Wingard),3.910,2.960
2,5:29,2,13,JAX 28,0,17,Philip Rivers pass complete short middle to Michael Pittman for 15 yards (tackle by Chris Claybrooks),2.960,4.710
2,4:45,1,10,JAX 13,0,17,Michael Pittman left end for 2 yards (tackle by K'Lavon Chaisson),4.710,4.390
2,4:05,2,8,JAX 11,0,17,Jonathan Taylor left end for 5 yards (tackle by Myles Jack),4.390,4.560
2,3:26,3,3,JAX 6,0,17,Jonathan Taylor right guard for no gain (tackle by Myles Jack and Joe Giles-Harris),4.560,3.010
2,2:41,4,3,JAX 6,0,20,Rodrigo Blankenship 24 yard field goal good,3.010,3.000
2,2:38,,,IND 35,0,20,"Rodrigo Blankenship kicks off 65 yards, touchback.",0.000,0.610
2,2:38,1,10,JAX 25,0,20,Mike Glennon pass complete short left to Chris Conley for 17 yards (tackle by Xavier Rhodes),0.610,1.730
2,2:12,1,10,JAX 42,0,20,Mike Glennon pass complete short right to Chris Conley for 9 yards (tackle by T.J. Carrie),1.730,2.400
2,2:00,2,1,IND 49,0,20,Mike Glennon pass complete short middle to Keelan Cole for 8 yards (tackle by Julian Blackmon),2.400,2.850
2,1:37,1,10,IND 41,0,20,Mike Glennon pass complete short right to Terry Godwin for 5 yards (tackle by Xavier Rhodes and Kenny Moore),2.850,2.980
2,1:18,2,5,IND 36,0,20,Mike Glennon pass complete short middle to Terry Godwin for 6 yards (tackle by Kenny Moore),2.980,3.580
2,0:55,1,10,IND 30,0,20,Mike Glennon pass complete deep middle to Terry Godwin for 21 yards (tackle by Julian Blackmon),3.580,5.140
2,0:31,1,9,IND 9,6,20,"Mike Glennon pass complete short middle to Laviska Shenault for 9 yards, touchdown",5.140,7.000
2,0:27,,,IND 15,7,20,Aldrick Rosas kicks extra point good,0.000,0.000
2,0:27,,,JAX 35,7,20,"Aldrick Rosas kicks off 65 yards, touchback.",0.000,0.610
2,0:27,1,10,IND 25,7,20,Jonathan Taylor up the middle for 14 yards (tackle by Jarrod Wilson),0.610,1.530
2,0:22,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:22,1,10,IND 39,7,20,Philip Rivers pass complete short left to Nyheim Hines for 14 yards (tackle by Dawuane Smoot),1.530,2.460
2,0:14,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:14,1,10,JAX 47,7,20,Philip Rivers pass complete short right to Nyheim Hines for 9 yards (tackle by Myles Jack),2.460,3.130
2,0:06,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:06,2,1,JAX 38,7,20,Philip Rivers pass incomplete short right,3.130,2.410
2,0:03,3,1,JAX 38,7,20,Rodrigo Blankenship 56 yard field goal no good,2.410,1.930
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 35,7,20,"Aldrick Rosas kicks off 55 yards, returned by Zach Pascal for 23 yards (tackle by Brandon Watson)",0.000,1.140
3,14:56,1,10,IND 33,7,20,Jonathan Taylor left end for 29 yards (tackle by Myles Jack),1.140,3.050
3,14:13,1,10,JAX 38,7,20,Jonathan Taylor left end for -1 yards (tackle by Doug Costin and Joe Schobert),3.050,2.370
3,13:32,2,11,JAX 39,7,20,Jonathan Taylor up the middle for 6 yards (tackle by Greg Mabin),2.370,2.480
3,12:51,3,5,JAX 33,7,20,Jacoby Brissett right tackle for 2 yards (tackle by Tre Herndon and Jarrod Wilson),2.480,1.380
3,12:11,,,,,,Timeout #1 by Jacksonville Jaguars,,
3,12:11,4,3,JAX 31,7,20,Rodrigo Blankenship 49 yard field goal no good,1.380,-1.530
